Key	German	English
info.production-fake-wine-upgraded.name	Hinterzimmer-Kellerei	Backroom Winery
info.production-fake-wine-upgraded.desc	"<indent=10>Produziert gefälschten Wein aus Trauben, Etiketten und Flaschen.\n<b><sprite name=""res grapes""> + <sprite name=""res bottles""> + <sprite name=""res labels""> <sprite name=""ui arr sm right""> <sprite name=""res fake-wine""></b>\n\n<b>Benötigt:</b>\n<sprite name=""skill fake-wine""> <link=""fake-wine-skill"">Hinterzimmerwein-Produktion</link> und <sprite name=""skill grape-press""> <link=""grape-press"">Traubenpresse</link>, <sprite name=""res cat materials""> Baumaterialien</indent>\n\nDiese Aufwertung installiert direkt auf deiner <link=""production-fake-wine"">Hinterzimmer-Weinkellerei</link> eine Weinpresse, die <link=""fake-wine"">gefälschten Wein</link> direkt aus <link=""grapes"">Trauben</link> anstelle von <link=""brick-wine"">Klinkerwein</link> herstellen kann.\n\n<i><indent=30>Le vin n'est pas une fabrication régie par des règles scientifiques, mais un art dépendant uniquement du goût.</i>\n</indent><indent=40>– Raymond Dumay</indent>"	"<indent=10>Creates counterfeit wine from grapes, labels and bottles.\n<b><sprite name=""res grapes""> + <sprite name=""res bottles""> + <sprite name=""res labels""> <sprite name=""ui arr sm right""> <sprite name=""res fake-wine""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fake-wine""> <link=""fake-wine-skill"">Backroom Winemaking</link> and <sprite name=""skill grape-press""> <link=""grape-press"">Grape Presses</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a wine press directly onto your <link=""production-fake-wine"">Backroom Wine Operation</link> that can produce <link=""fake-wine"">counterfeit wine</link> directly from <link=""grapes"">grapes</link> instead of <link=""brick-wine"">brick wine</link>.\n\n<i><indent=30>Le vin n'est pas une fabrication régie par des règles scientifiques, mais un art dépendant uniquement du goût.</i>\n</indent><indent=40>—Raymond Dumay</indent>"
info.production-sparkling-cider.name	Apfelschaumwein-Kellerei	Sparkling Cider Operation
info.production-sparkling-cider.desc	"<indent=10>Produziert Apfelschaumwein aus Apfelwein, Zucker und kleinen Flaschen.\n<b><sprite name=""res cider""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Benötigt:</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">Apfelschaumwein</link>,  <sprite name=""res cash"">2.000,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 4,  <sprite name=""res bricks""> 8</indent>\n\n<link=""homemade-booze"">Selbstgemachter Alkohol</link> kann direkt verkauft oder als Basis für <link=""refined-booze"">raffinierten Alkohol</link> verwendet werden, der deutlich profitabler ist. Dieser Betrieb produziert <link=""sparkling-cider"">Apfelschaumwein</link>, indem Töpfe mit <link=""cider"">Apfelwein</link> in <link=""small-bottles"">kleine Flaschen</link> abgefüllt und mit <link=""sugar"">Zucker</link> vermischt werden – genug Zucker für Sprudel, aber nicht genug für Explosionen. Das Resultat kann an diverse Geschäfte in der Stadt oder in deinen eigenen <link=""corner-speakeasy"">Eckflüsterkneipen</link> oder Dinnerclubs verkauft werden. Kann zu einem <link=""production-sparkling-cider-upgraded"">Apfelschaumwein-Fermenter</link> aufgewertet werden, um Apfelschaumwein direkt aus <link=""apples"">Äpfeln</link> herzustellen.\n\n<i><indent=30>Was für eine Energie, was für eine industrielle Kraft! Ganz Pittsburgh bei der Arbeit, noch ehe der Tag anbricht! Das übertrifft Chicago. Was würde das luxuriöse St. Louis zu solch einer rücksichtslosen Hingabe an das Geschäft sagen?</i>\n</indent><indent=40>– James Parton</indent>"	"<indent=10>Creates sparkling cider from hard cider, sugar and small bottles.\n<b><sprite name=""res cider""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Requires:</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">Sparkling Cider</link>,  <sprite name=""res cash"">2000,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 4,  <sprite name=""res bricks""> 8</indent>\n\n<link=""homemade-booze"">Homemade booze</link> can be sold directly or it can be used as the basis for <link=""refined-booze"">refined booze</link> that is considerably more profitable. This operation makes <link=""sparkling-cider"">sparkling cider</link> by taking crocks of <link=""cider"">cider</link>, putting it into <link=""small-bottles"">small bottles</link> and mixing some <link=""sugar"">sugar</link> into each one - enough sugar to cause some fizz, but not so much to cause some explosions. The resulting product can be sold to numerous businesses around the city or you can move it yourself at one of your own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. Can be upgraded to a <link=""production-sparkling-cider-upgraded"">Sparkling Cider Fermenter</link> to make sparkling cider directly from <link=""apples"">apples</link>.\n\n<i><indent=30>What energy, what a fury of industry! All Pittsburgh at work before the dawn of day! This surpasses Chicago. What would luxurious St. Louis say of such reckless devotion to business as this?</i>\n</indent><indent=40>—James Parton</indent>"
info.production-sparkling-cider-upgraded.name	Apfelschaumwein-Fermenter	Sparkling Cider Fermenter
info.production-sparkling-cider-upgraded.desc	"<indent=10>Produziert Apfelschaumwein aus Äpfeln, Zucker und kleinen Flaschen.\n<b><sprite name=""res apples""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Benötigt:</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">Apfelschaumwein</link> und <sprite name=""skill apple-press""> <link=""apple-press"">Apfelpresse</link>, <sprite name=""res cat materials""> Baumaterialien</indent>\n\nDiese Aufwertung installiert direkt auf deiner <link=""production-sparkling-cider"">Apfelschaumwein-Kellerei</link> eine Apfelweinpresse, die <link=""sparkling-cider"">Apfelschaumwein</link> direkt aus <link=""apples"">Äpfeln</link> anstelle von <link=""cider"">Apfelwein</link> herstellen kann.\n\n<i><indent=30>Was für eine Energie, was für eine industrielle Kraft! Ganz Pittsburgh bei der Arbeit, noch ehe der Tag anbricht! Das übertrifft Chicago. Was würde das luxuriöse St. Louis zu solch einer rücksichtslosen Hingabe an das Geschäft sagen?</i>\n</indent><indent=40>– James Parton</indent>"	"<indent=10>Creates sparkling cider from apples, sugar and small bottles.\n<b><sprite name=""res apples""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Requires:</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">Sparkling Cider</link> and <sprite name=""skill apple-press""> <link=""apple-press"">Apple Presses</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a cider press directly onto your <link=""production-sparkling-cider"">Sparkling Cider Operation</link> that can produce <link=""sparkling-cider"">sparkling cider</link> directly from <link=""apples"">grapes</link> instead of <link=""cider"">cider</link>.\n\n<i><indent=30>What energy, what a fury of industry! All Pittsburgh at work before the dawn of day! This surpasses Chicago. What would luxurious St. Louis say of such reckless devotion to business as this?</i>\n</indent><indent=40>—James Parton</indent>"
info.production-fake-beer.name	Hinterzimmer-Bierbrauerei	Backroom Beer Operation
info.production-fake-beer.desc	"<indent=10>Produziert Hinterzimmerbier aus Heimbräu, Hopfen und kleinen Flaschen.\n<b><sprite name=""res home-brew""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Benötigt:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Hinterzimmerbier-Produktion</link>,  <sprite name=""res cash"">1.600,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 5,  <sprite name=""res bricks""> 4</indent>\n\n<link=""homemade-booze"">Selbstgemachter Alkohol</link> kann direkt verkauft oder als Basis für <link=""refined-booze"">raffinierten Alkohol</link> verwendet werden, der deutlich profitabler ist. Dieser Betrieb produziert <link=""fake-beer"">Hinterzimmerbier</link>, indem Töpfe mit <link=""home-brew"">Heimbräu</link> in <link=""small-bottles"">kleine Flaschen</link> abgefüllt und mit <link=""hops"">Hopfen</link> versehen werden, um das Gebräu mit dem Aroma und dem Geschmack von echtem Bier zu versorgen. Das Resultat kann an diverse Geschäfte in der Stadt oder in deinen eigenen <link=""corner-speakeasy"">Eckflüsterkneipen</link> oder Dinnerclubs verkauft werden. Kann zu einer <link=""production-fake-beer-upgraded"">Hinterzimmerbrauerei</link> aufgewertet werden, um Hinterzimmerbier direkt aus <link=""barley"">Gerste</link> herzustellen.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, dass man sich ans Bier gewöhne.</i>\n</indent><indent=40>– Wilhelm Busch</indent>"	"<indent=10>Creates backroom beer from homemade beer, hops and small bottles.\n<b><sprite name=""res home-brew""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Backroom Brewing</link>,  <sprite name=""res cash"">1600,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 5,  <sprite name=""res bricks""> 4</indent>\n\n<link=""homemade-booze"">Homemade booze</link> can be sold directly or it can be used as the basis for <link=""refined-booze"">refined booze</link> that is considerably more profitable. This operation makes <link=""fake-beer"">backroom beer</link> by taking crocks of <link=""home-brew"">homemade beer</link>, putting it into <link=""small-bottles"">small bottles</link> and mixing some <link=""hops"">hops</link> in beforehand to infuse the concoction with the aroma and flavor of real beer. The resulting product can be sold to numerous businesses around the city or you can move it yourself at one of your own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. Can be upgraded to a <link=""production-fake-beer-upgraded"">Backroom Brewery</link> to make backroom beer directly from <link=""barley"">barley</link>.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>"
info.production-fake-beer-upgraded.name	Hinterzimmerbrauerei	Backroom Brewery
info.production-fake-beer-upgraded.desc	"<indent=10>Produziert Hinterzimmerbier aus Gerste, Hopfen und kleinen Flaschen.\n<b><sprite name=""res barley""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Benötigt:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Hinterzimmerbier-Produktion</link> und <sprite name=""skill malt-making""> <link=""malt-making"">Malzproduktion</link>, <sprite name=""res cat materials""> Baumaterialien</indent>\n\nDiese Aufwertung installiert direkt auf deiner <link=""production-fake-beer"">Hinterzimmer-Bierbrauerei</link> einen kleinen Brauereitank, der <link=""fake-beer"">Hinterzimmerbier</link> direkt aus <link=""barley"">Gerste</link> anstelle von <link=""home-brew"">Heimbräu</link> herstellen kann.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, dass man sich ans Bier gewöhne.</i>\n</indent><indent=40>– Wilhelm Busch</indent>"	"<indent=10>Creates backroom beer from barley, hops and small bottles.\n<b><sprite name=""res barley""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Backroom Brewing</link> and <sprite name=""skill malt-making""> <link=""malt-making"">Malt Making</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a small brewing tank directly onto your <link=""production-fake-beer"">Backroom Beer Operation</link> that can produce <link=""fake-beer"">backroom beer</link> directly from <link=""barley"">barley</link> instead of <link=""home-brew"">homemade beer</link>.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>"
info.production-bathtub-gin.name	Badewannen-Gin-Brennerei	Bathtub Gin Operation
info.production-bathtub-gin.desc	"<indent=10>Produziert Badewannen-Gin aus Schwarzgebranntem, Gewürzen und kleinen Flaschen.\n<b><sprite name=""res moonshine""> + <sprite name=""res small-bottles""> + <sprite name=""res spices""> <sprite name=""ui arr sm right""> <sprite name=""res bathtub-gin""></b>\n\n<b>Benötigt:</b>\n<sprite name=""skill bathtub-gin""> <link=""bathtub-gin-skill"">Badewannen-Ginwerk</link>,  <sprite name=""res cash"">2.500,  <sprite name=""res half-barrel""> 25,  <sprite name=""res pipes""> 4,  <sprite name=""res bricks""> 4</indent>\n\n<link=""homemade-booze"">Selbstgemachter Alkohol</link> kann direkt verkauft oder als Basis für <link=""refined-booze"">raffinierten Alkohol</link> verwendet werden, der deutlich profitabler ist. Dieser Betrieb produziert <link=""bathtub-gin"">Badewannen-Gin</link>, indem Töpfe mit <link=""moonshine"">Schwarzgebranntem</link> in <link=""small-bottles"">kleine Flaschen</link> abgefüllt und mit <link=""spices"">Gewürzen</link> versehen werden, um ein Gebräu zu kreieren, das für diverse Cocktails geeignet ist. Das Resultat kann an diverse Geschäfte in der Stadt oder in deinen eigenen <link=""corner-speakeasy"">Eckflüsterkneipen</link> oder Dinnerclubs verkauft werden. Kann zu einer <link=""production-bathtub-gin-upgraded"">Badewannen-Gin-Brennblase</link> aufgewertet werden, um Badewannen-Gin direkt aus <link=""corn-syrup"">Maissirup</link> herzustellen.\n\n<i><indent=30>When I was down in Georgia, I was doing mighty well. Since I been here in Chicago, I been catching a plenty hell.</i>\n</indent><indent=40>– Kokomo Arnold aus „Red Beans and Rice“</indent>"	"<indent=10>Creates bathtub-gin from moonshine, spices and small bottles.\n<b><sprite name=""res moonshine""> + <sprite name=""res small-bottles""> + <sprite name=""res spices""> <sprite name=""ui arr sm right""> <sprite name=""res bathtub-gin""></b>\n\n<b>Requires:</b>\n<sprite name=""skill bathtub-gin""> <link=""bathtub-gin-skill"">Bathtub Ginworks</link>,  <sprite name=""res cash"">2500,  <sprite name=""res half-barrel""> 25,  <sprite name=""res pipes""> 4,  <sprite name=""res bricks""> 4</indent>\n\n<link=""homemade-booze"">Homemade booze</link> can be sold directly or it can be used as the basis for <link=""refined-booze"">refined booze</link> that is considerably more profitable. This operation makes <link=""bathtub-gin"">bathtub gin</link> by taking crocks of <link=""moonshine"">moonshine</link>, putting it into <link=""small-bottles"">small bottles</link> and mixing some <link=""spices"">spices</link> in beforehand to create a quaff suitable for many different cocktails. The resulting product can be sold to numerous businesses around the city or you can move it yourself at one of your own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. Can be upgraded to a <link=""production-bathtub-gin-upgraded""> Bathtub Gin Still</link> to make bathtub gin directly from <link=""corn-syrup"">corn syrup</link>.\n\n<i><indent=30>When I was down in Georgia, I was doing mighty well. Since I been here in Chicago, I been catching a plenty hell.</i>\n</indent><indent=40>—Kokomo Arnold from ""Red Beans and Rice""</indent>"
info.production-bathtub-gin-upgraded.name	Badewannen-Gin-Brennblase	Bathtub Gin Still
info.production-bathtub-gin-upgraded.desc	"<indent=10>Produziert Badewannen-Gin aus Maissirup, Hopfen und kleinen Flaschen.\n<b><sprite name=""res corn-syrup""> + <sprite name=""res small-bottles""> + <sprite name=""res spices""> <sprite name=""ui arr sm right""> <sprite name=""res bathtub-gin""></b>\n\n<b>Benötigt:</b>\n<sprite name=""skill bathtub-gin""> <link=""bathtub-gin-skill"">Badewannen-Ginwerk</link> und <sprite name=""skill backroom-distillation""> <link=""backroom-distillation"">Provisorische Brennblase</link>, <sprite name=""res cat materials""> Baumaterialien</indent>\n\nDiese Aufwertung installiert direkt auf deiner <link=""production-bathtub-gin"">Badewannen-Gin-Brennerei</link> eine kleine Brennblase, die <link=""bathtub-gin"">Badewannen-Gin</link> direkt aus<link=""corn-syrup"">Maissirup</link> anstelle von <link=""moonshine"">Schwarzgebranntem</link> herstellen kann.\n\n<i><indent=30>When I was down in Georgia, I was doing mighty well. Since I been here in Chicago, I been catching a plenty hell.</i>\n</indent><indent=40>– Kokomo Arnold aus „Red Beans and Rice“</indent>"	"<indent=10>Creates bathtub gin from corn syrup, hops and small bottles.\n<b><sprite name=""res corn-syrup""> + <sprite name=""res small-bottles""> + <sprite name=""res spices""> <sprite name=""ui arr sm right""> <sprite name=""res bathtub-gin""></b>\n\n<b>Requires:</b>\n<sprite name=""skill bathtub-gin""> <link=""bathtub-gin-skill"">Bathtub Ginworks</link> and <sprite name=""skill backroom-distillation""> <link=""backroom-distillation"">Makeshift Stills</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a small still directly onto your <link=""production-bathtub-gin"">Bathtub Gin Operation</link> that can produce <link=""bathtub-gin"">bathtub gin</link> directly from <link=""corn-syrup"">corn syrup</link> instead of <link=""moonshine"">moonshine</link>.\n\n<i><indent=30>When I was down in Georgia, I was doing mighty well. Since I been here in Chicago, I been catching a plenty hell.</i>\n</indent><indent=40>—Kokomo Arnold from ""Red Beans and Rice""</indent>"
info.backroom-bootlegger.name	Hinterzimmer-Alkoholschmuggelei	Backroom Bootlegger
info.backroom-bootlegger.desc	"<indent=10>Kann eine Sorte selbstgemachten Alkohol verkaufen.\n<b><sprite name=""res brick-wine""> <sprite name=""res cider""> <sprite name=""res home-brew""> <sprite name=""res moonshine""> <sprite name=""res apple-jack""> <sprite name=""res fruit-wine""></b>\n\n<b>Benötigt:</b>\n<sprite name=""ui skills"">Hinterzimmer-Alkoholschmuggelei,  <sprite name=""res cash"">1.000,  <sprite name=""res lumber""> 10</indent>\n\nDieser relativ einfache Vertrieb ermöglicht den Verkauf von einer Sorte selbstgemachtem Alkohol direkt an Kunden, anstatt damit ein anderes Geschäft zu beliefern. Es ist profitabler und eine gute Möglichkeit, zusätzlichen Alkohol zu transportieren, den deine Stammkunden nicht brauchen. Wenn du Erweiterte Alkoholschmuggelei erlernt hast, kannst du den Betrieb aufwerten, um eine zweite Sorte selbstgemachten Alkohol zu verkaufen.\n\n<i><indent=30>Don't try me nobody ’cause you will never win. I’ll fight the army, navy just me and my gin. Any bootlegger sure is a pal of mine.</i>\n</indent><indent=40>– Bessie Smith, aus „Me and My Gin“</indent>"	"<indent=10>Can sell one kind of homemade booze.\n<b><sprite name=""res brick-wine""> <sprite name=""res cider""> <sprite name=""res home-brew""> <sprite name=""res moonshine""> <sprite name=""res apple-jack""> <sprite name=""res fruit-wine""></b>\n\n<b>Requires:</b>\n<sprite name=""ui skills"">Backroom Bootlegging,  <sprite name=""res cash"">1,000,  <sprite name=""res lumber""> 10</indent>\n\nThis fairly simple distribution operation allows you to sell one kind of homemade booze directly to customers instead of supplying another business. It's more profitable and it's a good way of moving extra booze that your regulars don't need. by learning Expanded Bootlegging, you can upgrade your operation to sell a second type of homemade booze.\n\n<i><indent=30>Don't try me nobody 'cause you will never win. I'll fight the army, navy just me and my gin. Any bootlegger sure is a pal of mine.</i>\n</indent><indent=40>—Bessie Smith from ""Me and My Gin""</indent>"
info.corner-speakeasy.name	Eckflüsterkneipe	Corner Speakeasy
info.corner-speakeasy.desc	"<indent=10>Kann alle Sorten von selbstgemachtem Alkohol verkaufen.\n<b><sprite name=""res brick-wine""> <sprite name=""res cider""> <sprite name=""res home-brew""> <sprite name=""res apple-jack""> <sprite name=""res fruit-wine""> <sprite name=""res moonshine""></b>\nKann eine Sorte von raffiniertem Alkohol verkaufen.\n<sprite name=""res fake-wine""> <sprite name=""res fake-beer""> <sprite name=""res sparkling-cider""> <sprite name=""res bathtub-gin""> <sprite name=""res rakija""> <sprite name=""res corn whiskey"">\n\n<b>Benötigt:</b>\n<sprite name=""ui skills""> Eckflüsterkneipen,  <sprite name=""res cash"">5.000,  <sprite name=""res lumber""> 20,  <sprite name=""res furniture""> 30</indent>\n\nEine einfache Holztheke, ein paar Gläser und ein Ort, an dem der Alkohol außer Sichtweite gelagert werden kann – mehr braucht man nicht für eine einfache Flüsterkneipe. Dieser Betrieb kann alle Sorten von selbstgemachtem Alkohol und eine Sorte von raffiniertem selbstgemachtem Alkohol verkaufen.\n\n<i><indent=30>Late last night, I sold away and cried; Had the blues for Chicago, I just can't be satisfied.</i>\n</indent><indent=40>—Bessie Smith, aus „Chicago Bound Blues“</indent>"	"<indent=10>Can sell all varieties of homemade booze.\n<b><sprite name=""res brick-wine""> <sprite name=""res cider""> <sprite name=""res home-brew""> <sprite name=""res apple-jack""> <sprite name=""res fruit-wine""> <sprite name=""res moonshine""></b>\nand one type of refined booze\n<sprite name=""res fake-wine""> <sprite name=""res fake-beer""> <sprite name=""res sparkling-cider""> <sprite name=""res bathtub-gin""> <sprite name=""res rakija""> <sprite name=""res corn whiskey"">\n\n<b>Requires:</b>\n<sprite name=""ui skills""> Corner Speakeasies,  <sprite name=""res cash"">5,000,  <sprite name=""res lumber""> 20,  <sprite name=""res furniture""> 30</indent>\n\nA simple wooden bar, some random glassware and a place to stash booze out of sight is all that's necessary for this basic speakeasy. This operation can sell every type of homemade booze and one kind of refined homemade booze.\n\n<i><indent=30>Late last night, I sold away and cried; Had the blues for Chicago, I just can't be satisfied.</i>\n</indent><indent=40>—Bessie Smith from ""Chicago Bound Blues""</indent>"
info.homemade-booze.icon	"<sprite name=""res cat booze"">"	"<sprite name=""res cat booze"">"
info.homemade-booze.name	Homemade Booze	Homemade Booze
info.homemade-booze.desc	"<indent=10>Einfacher selbstgemachter Alkohol in Steintöpfen</indent>\n\nEinfache alkoholische Getränke, die in <link=""crocks"">Steintöpfen</link> aus einfachen,weithin verfügbaren Zutaten hergestellt werden. Kann in anderen Geschäften in der Stadt oder in deiner eigenen <link=""backroom-bootlegger"">Hinterzimmer-Alkoholschmuggelei</link> oder <link=""corner-speakeasy"">Eckflüsterkneipe</link> verkauft werden. Kann außerdem als Rohmaterial für <link=""refined-booze"">raffinierten Alkohol</link> verwendet werden, der profitabler ist.\n\n<indent=10><b>Sorten von selbstgemachtem Alkohol:</b>\n<sprite name=""res brick-wine""><link=""homebooze-brick-wine"">Klinkerwein</link>\n<sprite name=""res cider""><link=""cider"">Apfelwein</link>\n<sprite name=""res home-brew""><link=""home-brew"">Heimbräu</link>\n<sprite name=""res moonshine""><link=""moonshine"">Schwarzgebrannter</link>\n<sprite name=""res apple-jack""><link=""applejack"">Applejack</link> <i>(regional)</i>\n\n<i><indent=30>Il y a plus de vieux ivrognes qu’il y a de vieux medecins.</i></indent>\n<indent=40>– Rabelais</indent>"	"<indent=10>Basic homemade alcohol made in stoneware crocks</indent>\n\nSimple alcoholic beverages made in <link=""crocks"">stoneware crocks</link> made from basic, widely available ingredients. These can be sold to other businesses in the city or on your own at a <link=""backroom-bootlegger"">backroom bootlegger</link> or at a <link=""corner-speakeasy"">corner speakeasy</link>. They can also serve as raw materials for <link=""refined-booze"">refined booze</link> that is more profitable.\n\n<indent=10><b>Types of homemade booze:</b>\n<sprite name=""res brick-wine""><link=""homebooze-brick-wine"">Brick wine</link>\n<sprite name=""res cider""><link=""cider"">Hard cider</link>\n<sprite name=""res home-brew""><link=""home-brew"">Homemade beer</link>\n<sprite name=""res moonshine""><link=""moonshine"">Moonshine</link>\n<sprite name=""res apple-jack""><link=""applejack"">Applejack</link> <i>(regional)</i>\n\n<i><indent=30>Il y a plus de vieux ivrognes qu'il y a de vieux medecins.</i></indent>\n<indent=40>—Rabelais</indent>"
info.refined-booze.icon	"<sprite name=""module produce general"">"	"<sprite name=""module produce general"">"
info.refined-booze.name	Raffinierter Alkohol	Refined Booze
info.refined-booze.desc	"<indent=10>Selbstgemachter Alkohol, der weiter verarbeitet wurde und nun profitabler ist</indent>\n\nDiese komplexeren Alkoholsorten werden hergestellt, indem <link=""homemade-booze"">selbstgemachter Alkohol</link> mit anderen Zutaten kombiniert und in <link=""bottles"">Falschen</link> oder <link=""small-bottles"">kleine Flaschen</link> abgefüllt wird. Diese Spirituosen können an andere Geschäfte oder in deinen eigenen <link=""corner-speakeasy"">Eckflüsterkneipen</link> oder Dinnerclubs verkauft werden. Mit den entsprechenden Kompetenzen kannst du deine Betriebe für raffinierten Alkohol auch so aufwerten, dass sie direkt aus Ausgangskomponenten und nicht aus selbstgemachtem Alkohol produzieren.\n\n<indent=10><b>Sorten von raffiniertem Alkohol:</b>\n<sprite name=""res fake-wine""><link=""fake-wine"">Gefälschter Wein</link>\n<sprite name=""res sparkling-cider""><link=""sparkling-cider"">Apfelschaumwein</link>\n<sprite name=""res fake-beer""><link=""fake-beer"">Hinterzimmerbier</link>\n<sprite name=""res bathtub-gin""><link=""bathtub-gin"">Badewannen-Gin</link>\n<sprite name=""res rakija""><link=""rakija"">Rakija</link> <i>(regional)</i>\n<sprite name=""res corn whiskey""><link=""corn-whiskey"">Maiswhisky</link> <i>(regional)</i></indent>\n\n<indent=30><i>Mäßigung ist Mäßigung in den Dingen, die gut sind, und völlige Enthaltsamkeit von den Dingen, die unrein sind.</i></indent>\n<indent=40>– Frances E. Willard</indent>"	"<indent=10>Homemade booze that has been further processed to make it more profitable</indent>\n\nThese more complicated types of booze are made by combining <link=""homemade-booze"">homemade booze</link> with other ingredients and then putting them into <link=""bottles"">bottles</link> or <link=""small-bottles"">small bottles</link>. These concoctions can be sold to other businesses or at your outfit's own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. With the proper skills, you can also upgrade your refined booze operations to produce directly from source components rather than homemade booze.\n\n<indent=10><b>Types of refined booze:</b>\n<sprite name=""res fake-wine""><link=""fake-wine"">Counterfeit wine</link>\n<sprite name=""res sparkling-cider""><link=""sparkling-cider"">Sparkling cider</link>\n<sprite name=""res fake-beer""><link=""fake-beer"">Backroom beer</link>\n<sprite name=""res bathtub-gin""><link=""bathtub-gin"">Bathtub gin</link>\n<sprite name=""res rakija""><link=""rakija"">Rakija</link> <i>(regional)</i>\n<sprite name=""res corn whiskey""><link=""corn-whiskey"">Corn Whiskey</link> <i>(regional)</i></indent>\n\n<indent=30><i>Temperance is moderation in the things that are good and total abstinence from the things that are foul.</i></indent>\n<indent=40>—Frances E. Willard</indent>"
info.brick-wine-making.icon	"<sprite name=""skill brick-wine"">"	"<sprite name=""skill brick-wine"">"
info.brick-wine-making.name	Klinkerweinproduktion	Brick Wine Production
info.brick-wine-making.desc	"Das Erlernen dieser Kompetenz erlaubt dir den <b>Bau</b> einer <link=""homebooze-brick-wine"">Hinterzimmer-Klinkerweinkellerei</link> in einem von deinem Syndikat kontrollierten Gebäude. Wenn du die Grundlagen der Herstellung von <sprite name=""res brick-wine""> <link=""brick-wine"">Klinkerwein</link>, kannst du mit <sprite name=""res jugs""> <link=""crocks"">Steintöpfen</link> und kleinen Fässern <sprite name=""res grape-juice""> <link=""grape-juice"">Traubenkonzentrat</link> Klinkerwein herstellen.\n\n<indent=30><i>ARBEIT, Subst. Einer der Prozesse, durch den A Eigentum für B erwirbt.</i></indent>\n<indent=40>– Ambrose Bierce</indent>"	"Acquiring this skill allows you to <b>build</b> a <link=""homebooze-brick-wine"">backroom brick wine</link> operation in a building controlled by your outfit. Once you've learned about the basics of making <sprite name=""res brick-wine""> <link=""brick-wine"">brick wine</link>, you will be able to use <sprite name=""res jugs""> <link=""crocks"">stoneware crocks</link> and small barrels of <sprite name=""res grape-juice""> <link=""grape-juice"">grape concentrate</link> to make brick wine.\n\n<indent=30><i>LABOR, n. One of the processes by which A acquires property for B.</i></indent>\n<indent=40>—Ambrose Bierce</indent>"
info.cider-making.icon	"<sprite name=""skill cider"">"	"<sprite name=""skill cider"">"
info.cider-making.name	Apfelweinproduktion	Cider Making
