Key	Simplified Chinese	English
info.rum-bottled.icon	"<sprite name=""res rum"">"	"<sprite name=""res rum"">"
info.rum-bottled.name	瓶装朗姆酒	Bottled Rum
info.rum-bottled.desc	"以糖浆和其他糖类副产品为材料酿造的朗姆酒人气十分火爆。\n\n新大陆的糖类生产原本只出于一个目的，那就是酿造朗姆酒。这种口感辛辣的酒水成为了许多时髦鸡尾酒和饮料的主要材料。你可以通过临时朗姆酒蒸馏设备生产少量瓶装朗姆酒。如果你能弄到一些<sprite name=""res barrel-rum""><link=""rum-barrel"">桶装朗姆酒</link>，就可以通过装瓶业务生产瓶装朗姆酒。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $28/箱</b></indent>\n\n<i><indent=30><i>玩闹无需烦扰，朗姆与信仰能够将灵魂涤荡。</i></indent>\n<indent=40>—大诗人拜伦</indent>"	"Made from molasses and other sugar byproducts, rum is quite popular.\n\nSugar production in the New World was originally for a single purpose - rum. The spicy beverage now forms the backbone of many hip cocktails and drinks. You can get small production going in bottles at a makeshift rum still. Or if you get your hands on <sprite name=""res barrel-rum""> <link=""rum-barrel"">rum barrels</link>, you can create bottled rum at a bottling operation.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $28 per case</b></indent>\n\n<i><indent=30><i>There’s naught, no doubt, so much the spirit calms as rum and true religion.</i></indent>\n<indent=40>—Lord Byron</indent>"
info.whiskey-barrel.icon	"<sprite name=""res whiskey-barrel"">"	"<sprite name=""res whiskey-barrel"">"
info.whiskey-barrel.name	桶装威士忌	Whiskey Barrels
info.whiskey-barrel.desc	"威士忌通过蒸馏谷物酿造而成。\n\n当你的业务拥有了足够的规模与技术，你就可以建造大型威士忌蒸馏设备，利用<sprite name=""res wheat""><link=""wheat"">小麦</link>或<sprite name=""res rye""><link=""rye"">黑麦</link>酿造大量威士忌。你可以将它们卖给其他有进取心的私酒贩子，或通过装瓶业务将它们倒入<sprite name=""res bottles""><link=""bottles"">瓶子</link>，贴上<sprite name=""res labels""><link=""labels"">标签</link>，然后将这些<sprite name=""res whisky""><link=""whiskey-bottled"">瓶装</link>威士忌卖给渴望它们的顾客。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $2000/桶</b></indent>\n\n<i><indent=30>一定要时常携带一壶威士忌，以防遭到蛇咬；此外，还可以时常携带一条小蛇。</i></indent>\n<indent=40>—W.·C.·菲尔兹</indent>"	"Made in whiskey stills from grain.\n\nOnce your operation has attained sufficient size and technical ability, you'll be able to construct large whiskey stills that can convert <sprite name=""res wheat""> <link=""wheat"">wheat</link> or <sprite name=""res rye""> <link=""rye"">rye</link> into massive barrels of whiskey. These can be sold directly to other enterprising bootleggers or transported to a bottling operation where you can put it in <sprite name=""res bottles""> <link=""bottles"">bottles</link>, slap a <sprite name=""res labels""> <link=""labels"">label</link> on it and then sell the <sprite name=""res whisky""> <link=""whiskey-bottled"">bottled whiskey</link> to thirsty customers.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $2,000 per barrel</b></indent>\n\n<i><indent=30>Always carry a flagon of whiskey in case of snakebite and furthermore always carry a small snake.</i></indent>\n<indent=40>—W.C. Fields</indent>"
info.brandy-barrel.icon	"<sprite name=""res brandy-barrel"">"	"<sprite name=""res brandy-barrel"">"
info.brandy-barrel.name	桶装白兰地	Brandy Barrels
info.brandy-barrel.desc	"白兰地通过蒸馏水果酿造而成。\n\n当你的业务拥有了足够的规模与技术，你就可以建造大型白兰地蒸馏设备，利用<sprite name=""res fruit""><link=""fruit-other"">水果</link>酿造大量白兰地。你可以将它们卖给其他有进取心的私酒贩子，或通过装瓶业务将它们倒入<sprite name=""res bottles""><link=""bottles"">瓶子</link>，贴上<sprite name=""res labels""><link=""labels"">标签</link>，然后将这些<sprite name=""res brandy""><link=""brandy-bottled"">瓶装</link>白兰地卖给渴望它们的顾客。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $1200/桶</b></indent>\n\n<i><indent=30>干红葡萄酒是给小孩喝的；波尔图葡萄酒是给成年人喝的；白兰地是给立志成为英雄的人喝的。</i></indent>\n<indent=40>—塞缪尔·约翰逊</indent>"	"Made in brandy stills from fruits.\n\nOnce your operation has attained sufficient size and technical ability, you'll be able to construct large brandy stills that can convert <sprite name=""res fruit""> <link=""fruit-other"">fruit</link> into massive barrels of brandy. These can be sold directly to other enterprising bootleggers or transported to a bottling operation where you can put it in <sprite name=""res bottles""><link=""bottles"">bottles</link>, slap a <sprite name=""res labels""> <link=""labels"">label</link> on it and then sell the <sprite name=""res brandy""> <link=""brandy-bottled"">bottled brandy</link> to thirsty customers.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $1,200 per barrel</b></indent>\n\n<i><indent=30>Claret is the liquor for boys; port for men; but he who aspires to be a hero must drink brandy.</i></indent>\n<indent=40>—Samuel Johnson</indent>"
info.vodka-barrel.icon	"<sprite name=""res vodka-barrel"">"	"<sprite name=""res vodka-barrel"">"
info.vodka-barrel.name	桶装伏特加	Vodka Barrels
info.vodka-barrel.desc	"伏特加通过蒸馏大麦酿造而成。\n\n当你的业务拥有了足够的规模与技术，你就可以建造大型伏特加蒸馏设备，利用<sprite name=""res barley""><link=""barley"">大麦</link>酿造大量伏特加。你可以将它们卖给其他有进取心的私酒贩子，或通过装瓶业务将它们倒入<sprite name=""res bottles""><link=""bottles"">瓶子</link>，贴上<sprite name=""res labels""><link=""labels"">标签</link>，然后将这些<sprite name=""res vodka""><link=""vodka-bottled"">瓶装</link>伏特加卖给渴望它们的顾客。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $1000/桶</b></indent>\n\n<i><indent=30>我不知道自己更愿意沉溺在爱情、伏特加还是大海之中。</i></indent>\n<indent=40>—弗兰茨·卡夫卡</indent>"	"Made in vodka stills from barley.\n\nOnce your operation has attained sufficient size and technical ability, you'll be able to construct large vodka stills that can convert <sprite name=""res barley""><link=""barley"">barley</link> into massive barrels of vodka. These can be sold directly to other enterprising bootleggers or transported to a bottling operation where you can put it in <sprite name=""res bottles""><link=""bottles"">bottles</link>, slap a <sprite name=""res labels""><link=""labels"">label</link> on it and then sell the <sprite name=""res vodka""> <link=""vodka-bottled"">bottled vodka</link> to thirsty customers.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $1,000 per barrel</b></indent>\n\n<i><indent=30>I no longer know if I wish to drown myself in love. vodka or the sea.</i></indent>\n<indent=40>—Franz Kafka</indent>"
info.rum-barrel.icon	"<sprite name=""res barrel-rum"">"	"<sprite name=""res barrel-rum"">"
info.rum-barrel.name	桶装朗姆酒	Rum Barrels
info.rum-barrel.desc	"朗姆酒通过蒸馏糖酿造而成。\n\n当你的业务拥有了足够的规模与技术，你就可以建造大型朗姆酒蒸馏设备，利用<sprite name=""res sugar""><link=""sugar"">糖</link>酿造大量朗姆酒。你可以将它们卖给其他有进取心的私酒贩子，或通过装瓶业务将它们倒入<sprite name=""res bottles""><link=""bottles"">瓶子</link>，贴上<sprite name=""res labels""><link=""labels"">标签</link>，然后将这些<sprite name=""res rum""><link=""rum-bottled"">瓶装</link>朗姆酒卖给渴望它们的顾客。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $800/桶</b></indent>\n\n<i><indent=30>从他们的声音中我能判断出，他们一定喝了朗姆酒。</i></indent>\n<indent=40>—罗伯特·路易斯·史蒂文森</indent>"	"Made in rum stills from sugar.\n\nOnce your operation has attained sufficient size and technical ability, you'll be able to construct large rum stills that can convert <sprite name=""res sugar""> <link=""sugar"">sugar</link> into massive barrels of rum. These can be sold directly to other enterprising bootleggers or transported to a bottling operation where you can put it in <sprite name=""res bottles""><link=""bottles"">bottles</link>, slap a <sprite name=""res labels""><link=""labels"">label</link> on it and then sell the <sprite name=""res rum""> <link=""rum-bottled"">bottled rum</link> to thirsty customers.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $800 per barrel</b></indent>\n\n<i><indent=30>There was a sound in their voices which suggested rum.</i></indent>\n<indent=40>—Robert Louis Stevenson</indent>"
info.cigarettes.icon	"<sprite name=""res cigarettes"">"	"<sprite name=""res cigarettes"">"
info.cigarettes.name	香烟	Cigarettes
info.cigarettes.desc	"走私香烟是结交本地商家的好方法。\n\n香烟的高额税率令人们开始铤而走险，将南方工厂中的香烟走私到城镇。有时本地的街角流氓也会通过朋友或人脉拥有走私香烟，甚至是“在卡车或车厢内找到的”。无论获得的方式如何，你都可以利用它们建立与商家业主的<sprite name=""ui pip social""><link=""relationships"">信任</link>，获得一<sprite name=""ui tickets""><link=""favors"">两次人情</link>。\n\n<i><indent=30><i>香烟是获得完美享受的完美方式。不仅感受强烈，而且令人意犹未尽。你还想要什么？</i></indent>\n<indent=40>—奥斯卡•王尔德</indent>"	"Smuggled cigarettes can be a good way of getting an in with local business owner.\n\nHigh taxes on cigarettes make them an attractive item to smuggle into town from factories in the South. Sometimes a local corner hooligan will find a supply - from friends or connections or sometimes they ""just find them"" sitting there in trucks or rail cars. No matter how they came upon them, you can use them to establish <sprite name=""ui pip social""> <link=""relationships"">trust</link> with business owners and earn a <sprite name=""ui tickets""> <link=""favors"">favor or two</link>.\n\n<i><indent=30><i>A cigarette is the perfect type of a perfect pleasure. It is exquisite, and it leaves one unsatisfied. What more can you want?</i></indent>\n<indent=40>—Oscar Wilde</indent>"
info.corn.icon	"<sprite name=""res corn"">"	"<sprite name=""res corn"">"
info.corn.name	玉米	Corn
info.corn.desc	"<b>地方特产，并不是所有城市都有。</b>\n\n拥有正确的知识后，就能将玉米酿造成各种令人迷醉的烈性酒水，例如<sprite name=""res moonshine""><link=""moonshine"">私酒</link>、<sprite name=""res corn whiskey""><link=""corn-whiskey"">玉米威士忌</link>和<sprite name=""res bourbon""> <link=""bourbon"">波本威士忌</link>。\n\n<i><indent=30><i>没有谷物生长的地方，就是对城市的复仇。</i></indent>\n<indent=40>—苏美尔谚语</indent>"	"<b>Regional product not available in all cities.</b>\n\nWith the right knowledge, corn can be turned into various potent intoxicating liquors such as <sprite name=""res moonshine""> <link=""moonshine"">moonshine</link>, <sprite name=""res corn whiskey""> <link=""corn-whiskey"">corn whiskey</link> and <sprite name=""res bourbon""> <link=""bourbon"">bourbon</link>.\n\n<i><indent=30><i>Where there is no grain, this is a sign of vengeance turned towards a city.</i></indent>\n<indent=40>—Sumerian Proverb</indent>"
info.corn-whiskey.icon	"<sprite name=""res corn whiskey"">"	"<sprite name=""res corn whiskey"">"
info.corn-whiskey.name	玉米威士忌	Corn Whiskey
info.corn-whiskey.desc	"<b>地方特产，并不是所有城市都有。</b>\n\n<sprite name=""res corn""><link=""corn"">玉米</link>的含糖量非常高。含糖量高的食物都可以进行发酵，并通过蒸馏产生酒精。事实上，自美国人开始种植玉米以来，便一直有通过蒸馏玉米来酿造威士忌的习惯。当地的一家牲畜围栏中有人说，如果你所在的城市存在玉米供给，你就可以开始生产这种新大陆酒水了。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $26/箱</b></indent>\n\n<i><indent=30><i>无论是饮用者还是邀请者，都不会受到惩罚。</i></indent>\n<indent=40>—阿蒂默斯·沃德</indent>"	"<b>Regional product not available in all cities.</b>\n\n<sprite name=""res corn""> <link=""corn"">Corn</link> has a very high sugar content. Things with high sugar content tend to ferment nicely and, once fermented, distilled into alcohol. Americans have, in fact, been distilling whiskey from corn for as long as they've been growing it. If your city has access to a supply of corn, say from a local stockyard, then you can look into creating this particularly New World libation.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $26 per case</b></indent>\n\n<i><indent=30><i>They drink with impunity, or anybody who invites them.</i></indent>\n<indent=40>—Artemus Ward</indent>"
info.bourbon.icon	"<sprite name=""res bourbon"">"	"<sprite name=""res bourbon"">"
info.bourbon.name	波本威士忌	Bourbon
info.bourbon.desc	"<b>地方特产，并不是所有城市都有。</b>\n\n肯塔基，蓝草之州，存在大量马场，从1875年开始，这里便以一场知名的赛马和波本威士忌而闻名。在禁酒时期，有六家公司获得了出售“医用威士忌”的许可。其中四家坐落在肯塔基联邦。实际上，在禁酒令颁布前，全美80%的威士忌生产都集中在辛辛那提数百英里的土地上，就在俄亥俄河对岸。如果你能结交一位肯塔基的朋友，他们可能会告诉你如何使用<sprite name=""res corn""><link=""corn"">玉米</link>、<sprite name=""res oak-barrels""> <link=""oak-barrels"">橡木桶</link>和一些<sprite name=""res food-dye""> <link=""food-dyes"">食用色素</link>来酿造威士忌。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $64/箱</b></indent>\n\n<i><indent=30><i>我见过的每一位肯塔基人都无一例外地随身携带着一把枪，一副纸牌和一罐威士忌。</i></indent>\n<indent=40>—安德鲁·杰克逊</indent>"	"<b>Regional product not available in all cities.</b>\n\nKentucky - the Blue Grass state - is home to picturesque horse farms, a famous horse race run since 1875 and bourbon. During Prohibition, six companies applied to sell ""medicinal whiskey"". Four of them were in the Commonwealth of Kentucky. In fact, 80% of American whiskey production before Prohibition was within a few hundred miles of Cincinnati, just over the Ohio River. If you find and befriend a Kentuckian, they may even show you how to make the stuff from <sprite name=""res corn""> <link=""corn"">corn</link>, <sprite name=""res oak-barrels""> <link=""oak-barrels"">oak barrels</link> and some <sprite name=""res food-dye""> <link=""food-dyes"">food dyes</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $64 per case</b></indent>\n\n<i><indent=30><i>I have never in my life seen a Kentuckian who didn’t have a gun, a pack of cards, and a jug of whiskey.</i></indent>\n<indent=40>—Andrew Jackson</indent>"
info.ice.icon	"<sprite name=""res ice"">"	"<sprite name=""res ice"">"
info.ice.name	冰	Ice
info.ice.desc	"冰能够起到保持凉爽的作用，有着许多工业用途。\n\n20世纪初期，一场寒冷革命来袭。哪怕到了现在，想要一次性获得大量冰块，也只能通过结冰的湖与河流获取，然后将其储存在地下。整个过程不仅昂贵，而且难以管理。但随着电制冷的出现，冰成为了一种可以在工厂中生产的东西。冰在制造多种奢侈的酒水和<sprite name=""res apple-jack"">烈性苹果酒时非常有用。你可以在特定商家购买冰；如果你需要更稳定的材料供给，可以自己建造一个冰库。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $2/盒</b></indent>\n\n<i><indent=30><i>文明起源于蒸馏。</i></indent>\n<indent=40>—威廉·福克纳</indent>"	"Ice keeps things cool and has many industrial uses\n\nThe early 20th century brought about a cold revolution. Until recently, the only way to get large quantities of ice was from frozen lakes and rivers. Then stored underground, it was a fairly expensive and difficult to manage resource. But with the advent of electrical refrigeration, ice become something else that could be churned out of factories. Ice is useful in making many types of luxury booze and for making <sprite name=""res apple-jack""> applejack. You can buy it from certain businesses or set up your own icehouse if you need a more reliable supply.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $2 per tray</b></indent>\n\n<i><indent=30><i>Civilization begins with distillation.</i></indent>\n<indent=40>—William Faulkner</indent>"
info.applejack.icon	"<sprite name=""res apple-jack"">"	"<sprite name=""res apple-jack"">"
info.applejack.name	烈性苹果酒	Applejack
info.applejack.desc	"<b>地方特产，并不是所有城市都有。</b>\n\n发酵具有魔力，能够将谷物、水果和蔬菜中的糖变成酒精。我们通常会直接饮用这种发酵得来的酒水，例如葡萄酒和啤酒；或者如威士忌、朗姆酒或其他酒水那样进行蒸馏。但还有另一种获得酒精的方式，那就是冷冻。拿<sprite name=""res apple-juice""><link=""apple-juice"">苹果汁</link>举例，完成发酵后，将其反复冻结，去除由水组成的冰，就能令它的酒精含量越来越高，最终变成烈性苹果酒。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $20/罐</b></indent>\n\n<i><indent=30><i>冰霜执行着自己的神秘使命，没有获得风的帮助。</i></indent>\n<indent=40>—塞缪尔·泰勒·柯尔律治</indent>"	"<b>Regional product not available in all cities.</b>\n\nFermentation is the magic that creates alcohol from sugars in grains, fruits and vegetables. Usually we drink the fermented liquid directly as with wine and beer or distill it in the case of whiskey or rum or other liquor. But there's another way of getting at the alcohol - jacking. Once a substance - <sprite name=""res apple-juice""> <link=""apple-juice"">apple juice</link> in this case - has fermented, it's frozen repeatedly, each time removing the water ice, leaving behind a progressively stronger alcoholic beverage - applejack.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $20 per crock</b></indent>\n\n<i><indent=30><i>The frost performs its secret ministry, unhelped by any wind.</i></indent>\n<indent=40>—Samuel Taylor Coleridge</indent>"
info.plums.icon	"<sprite name=""res plums"">"	"<sprite name=""res plums"">"
info.plums.name	梅子	Plums
info.plums.desc	"<b>地方特产，并不是所有城市都有。</b>\n\n梅子的种类繁多，但每一种都能被制成白兰地。在其他国家中，这种酒被称作“斯利沃兹”或其他名字，在欧洲南部，它被称作<sprite name=""res rakija""><link=""rakija"">“拉基亚”</link>，而这种酒的配方也随着移民一起来到了美国。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $6/蒲式耳</b></indent>\n\n<i><indent=30><i>每棵树上都结出了饱满的果实，它们映入我的眼帘，搅动我的心房，令我想要摘下一颗品尝。</i></indent>\n<indent=40>—约翰·弥尔顿</indent>"	"<b>Regional product not available in all cities.</b>\n\nThere are many varieties of plums. And nearly all of them make for fine brandy. Called sliwowitz or other variations in some countries, in southern Europe, it's known as <sprite name=""res rakija""> <link=""rakija"">rakija</link> and recipes for it accompanied immigration into the Americas.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $6 per bushel</b></indent>\n\n<i><indent=30><i>Each tree, laden with fairest fruit, that hung to th' eye, tempting, stirr'd in me sudden appetite to pluck and eat.</i></indent>\n<indent=40>—John Milton</indent>"
info.rakija.icon	"<sprite name=""res rakija"">"	"<sprite name=""res rakija"">"
info.rakija.name	拉基亚酒	Rakija
info.rakija.desc	"<b>地方特产，并不是所有城市都有。</b>\n\n当<sprite name=""res plums""><link=""plums"">梅子</link>出现时，生产自酿白兰地“拉基亚”的时候就到了。这种烈性私酒与欧洲南部的移民一起进入了美国海岸，在这些欧洲同胞之间人气火爆。它的蒸馏难度较低，而且便于运输。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $30/箱</b></indent>\n\n<i><indent=30><i>只有孩子、傻瓜和酒鬼会妄议正义。</i></indent>\n<indent=40>—克罗地亚谚语</indent>"	"<b>Regional product not available in all cities.</b>\n\nWhen and where <sprite name=""res plums""> <link=""plums"">plums</link> abound, it's time to get started making rakija. Brought to American shores by immigrants from southern Europe, this potent firewater has spread its lure beyond the ethnic community that it came with. In cities where it's known, it can be easily distilled and distributed.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $30 per case</b></indent>\n\n<i><indent=30><i>Djeca, budale i pijani pravdu govore.</i></indent>\n<indent=40>—Croatian proverb</indent>"
info.champagne.icon	"<sprite name=""res champagne"">"	"<sprite name=""res champagne"">"
info.champagne.name	香槟	Champagne
info.champagne.desc	"只要加入一点气泡，这种奢华的私酒就能在城内的高级餐厅和酒店中卖出高价。\n\n一直以来，将香槟的软木塞弹出，任其中的气泡喷涌一直被作为庆祝活动的开场仪式。在禁酒令颁布后的黑暗时期，这个仪式依然在值得欢庆的活动中进行着，但香槟本身却变得违法了。香槟可以通过走私获得，或在拥有所需技能后通过业务进行生产。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $50/箱</b></indent>\n\n<i><indent=30><i>我对啤酒一滴不沾，但对香槟却情有独钟。</i></indent>\n<indent=40>—萧伯纳</indent>"	"Wine with some sparkle, this luxury booze commands top dollar in the city's fine restaurants and hotels.\n\nThe pop of the champagne cork and eruption of fizzy wine has long marked the beginning of a celebratory occasion. During Prohibition's dark times, that scene is still being repeated to mark life's joyous events, but now the champagne is just a little bit illegal. It can be obtained via smugglers or manufactured in an operation with the right skill.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $50 per case</b></indent>\n\n<i><indent=30><i>I'm only a beer teetotaler, not a champagne teetotaler.</i></indent>\n<indent=40>—George Bernard Shaw</indent>"
info.cordials.icon	"<sprite name=""res cordials"">"	"<sprite name=""res cordials"">"
info.cordials.name	甜酒	Cordials
info.cordials.desc	"甜酒通常在餐后提供，或添加到鸡尾酒中使口感变得更加复杂。这种奢华的私酒能够在城内的高级餐厅和酒店中卖出高价。\n\n这种果汁配方神秘，拥有一直受人喜爱的民族风味，通常通过将某种酒精与各种草药和香料进行混合而成。可以通过走私运送进城中，或在拥有所需技能后通过业务进行生产。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $70/箱</b></indent>\n\n<i><indent=30><i>马提尼是唯一能够与十四行诗比肩的完美美国发明。</i></indent>\n<indent=40>—H.·L.·门肯</indent>"	"Cordials are sipped after dinner or added to cocktails for an extra level of sophistication. This luxury booze commands top dollar in the city's fine restaurants and hotels.\n\nThe domain of secret recipes and long-cherished national flavors, cordials are usually made by infusing some type of plain alcohol with a variety of herbals and aromatics. They can be smuggled into town or manufactured in one of your operations given the correct skill is learned.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $45 per case</b></indent>\n\n<i><indent=30><i>Martinis are the only American invention as perfect as a sonnet.</i></indent>\n<indent=40>—H.L. Mencken</indent>"
info.dark-rum.icon	"<sprite name=""res dark rum"">"	"<sprite name=""res dark rum"">"
info.dark-rum.name	香料朗姆酒	Spiced Rum
info.dark-rum.desc	"这种颜色较深的香料朗姆酒能够为鸡尾酒带来更具深度且复杂的口感。对于这种需求量巨大的私酒，高级餐厅和酒店愿意为之支付高价。\n\n香料朗姆酒的历史可以追溯到殖民时期，它的人气也一直居高不下。大酒杯中如果没有添加大量香料朗姆酒，根本就没法上桌。香料朗姆酒能够通过走私获得，或在拥有所需技能后自己生产。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $85/箱</b></indent>\n\n<i><indent=30><i>葡萄酒中有智慧，啤酒中有自由，水中有细菌。</i></indent>\n<indent=40>—本杰明·富兰克林</indent>"	"Dark, luscious spiced rum imbues cocktails with a satisfyingly deep and complex flavor. Fine restaurants and hotels will pay top dollar for this much-demanded spirit.\n\nWith a heritage that goes back to colonial days, dark spiced rum has always been highly sought after. No fine punch bowl concoction is really ever complete without a hearty dose of spiced rum. Spiced rum can be acquired via smuggling or manufactured given the proper skills.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $55 per case</b></indent>\n\n<i><indent=30><i>In wine there is wisdom, in beer there is freedom, in water there is bacteria.</i></indent>\n<indent=40>—Benjamin Franklin</indent>"
info.aged-whiskey.icon	"<sprite name=""res aged whiskey"">"	"<sprite name=""res aged whiskey"">"
info.aged-whiskey.name	陈酿威士忌	Aged Whiskey
info.aged-whiskey.desc	"这种威士忌拥有独特的橡木风味和岁月沉淀赋予的复杂口感，饭馆、俱乐部和酒店愿意为之支付高价。\n\n陈酿威士忌会被装在橡木桶中，酒水与橡木的接触会为其带来复杂的口感。不仅能够令它的口感变得更加柔和，还能够增加它的香气，令饮用者唇齿留香。它的名贵当之无愧。可从城外来源获得，或在拥有所需技能后自己生产。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $90/箱</b></indent>\n\n<i><indent=30><i>一切都会过犹不及，威士忌除外。</i></indent>\n<indent=40>—马克·吐温</indent>"	"Ripe with oak overtones and complex flavor from aging, this variety of whiskey commands premium prices from eateries, clubs and hotels.\n\nAging whiskey in oak barrels imbues it with complex flavors as the alcohol interacts with the wood. Softening its flavor and developing notes that waft in its aroma and linger on the palate, this is truly a noble drink. Acquire it from out of town sources or learn skills to make your own.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $55 per case</b></indent>\n\n<i><indent=30><i>Too much of anything is bad, but too much good whiskey is barely enough.</i></indent>\n<indent=40>—Mark Twain</indent>"
info.gin.icon	"<sprite name=""res gin"">"	"<sprite name=""res gin"">"
info.gin.name	金酒	Gin
info.gin.desc	"作为许多鸡尾酒的重要原料。为获得这种“好货”，那些最高档的场所愿意为之支付高价。\n\n无论是与汤力水混合，通过摇晃制成马提尼还是通过搅拌制成吉姆雷特，这种特别的酒水都是鸡尾酒菜单的中流砥柱。它由复杂的异域香料制成，能够为饮料带来令人满意的复杂口感。\n\n<indent=15><b>基础价格\n<sprite name=""ui sell""> $70/箱</b></indent>\n\n<i><indent=30><i>沉溺于艺术与沉溺于金酒并无太大区别</i></indent>\n<indent=40>—W.·萨默塞特·毛姆</indent>"	"The essential ingredient in many cocktails. To get the ""good stuff"", top-flight establishments will pay a hefty price.\n\nWhether combined with tonic water, shaken in a martini or stirred into a gimlet, this ubiquitous infusion is the workhorse of the cocktail menu. Made from complex and exotic aromatics and spices, it imbues a satisfying complexity into drinks.\n\n<indent=15><b>Base price\n<sprite name=""ui sell""> $50 per case</b></indent>\n\n<i><indent=30><i>Art for art's sake makes no more sense than gin for gin's sake.</i></indent>\n<indent=40>—W. Somerset Maugham</indent>"
info.oak-barrels.icon	"<sprite name=""res oak-barrels"">"	"<sprite name=""res oak-barrels"">"
info.oak-barrels.name	橡木桶	Oak Barrels
info.oak-barrels.desc	"这种特制酒桶用于存放陈酿威士忌、朗姆酒和其他白兰地。在存放过程中，会产生一种复杂的化学反应，令原本酒液的辛辣口感奇迹般地变得柔和、宜人。橡木桶是生产<sprite name=""res aged whiskey""> <link=""aged-whiskey"">陈酿威士忌</link>、<sprite name=""res dark rum""> <link=""dark-rum"">香料朗姆酒</link>、特定种类的<sprite name=""res gin""> <link=""gin"">金酒</link>和<sprite name=""res bourbon""> <link=""bourbon"">波本威士忌</link>时的必须材料。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $18/桶</b></indent>\n\n<i><indent=30><i>时间是你一生中最重要的资本，只有你能决定它的使用方式，不要让其他人为你做主。</i></indent>\n<indent=40>—卡尔·桑德堡</indent>"	"These specialty barrels are used for long-term aging of whiskey, rum and some brandies. During that processes, a complex chemistry creates a miraculous transformation as harsh alcohol becomes a libation worth of a slow, satisfying sip. Oak barrels are required to make <sprite name=""res aged whiskey""> <link=""aged-whiskey"">aged whiskey</link>, <sprite name=""res dark rum""> <link=""dark-rum"">spiced rum</link>, some types of <sprite name=""res gin""> <link=""gin"">gin</link> and <sprite name=""res bourbon""> <link=""bourbon"">bourbon</link>.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $18 per barrel</b></indent>\n\n<i><indent=30><i>Time is the most valuable coin in your life. You and you alone will determine how that coin will be spent. Be careful that you do not let other people spend it for you.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.food-dyes.icon	"<sprite name=""res food-dye"">"	"<sprite name=""res food-dye"">"
info.food-dyes.name	食用色素	Food Dyes
info.food-dyes.desc	"许多威士忌、陈酿白兰地和香料朗姆酒呈现出的深焦糖色都是按照沿袭多年的神秘配方，通过复杂的化学过程产生。你可以进行同样的化学过程，或者直接加入一些工业食用色素。如果你想要把仿制酒水卖出高价，食用色素是必不可少的。\n\n<indent=15><b>基础价格\n<sprite name=""ui buy""> $15/盒</b></indent>\n\n<i><indent=30><i>将炼金术与化学混淆是错误的。</i></indent>\n<indent=40>—弗兰兹·哈特曼</indent>"	"The deep caramel color of many kinds of whiskey, aged brandy and spiced rum emerges from the complex chemistry of extended aging and secret recipes. Or you can use some chemistry of your own and just add some industrial food coloring. These food dyes are a boon to booze counterfeiters and quite useful when trying to sell fake booze at premium prices.\n\n<indent=15><b>Base price\n<sprite name=""ui buy""> $15 per box</b></indent>\n\n<i><indent=30><i>It is a mistake to confound Alchemy with Chemistry.</i></indent>\n<indent=40>—Franz Hartmann</indent>"
info.pipes.icon	"<sprite name=""res pipes"">"	"<sprite name=""res pipes"">"
info.pipes.name	管道	Pipes
