Key	Russian	English
info.production-sparkling-cider-upgraded.name	Бродильный аппарат для шипучего сидра	Sparkling Cider Fermenter
info.production-sparkling-cider-upgraded.desc	"<indent=10>Создаёт шипучий сидр, используя яблоки, сахар и маленькие бутылки.\n<b><sprite name=""res apples""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Необходимо:</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">Шипучий сидр</link> и <sprite name=""skill apple-press""> <link=""apple-press"">яблочные прессы</link>, <sprite name=""res cat materials""> строительные материалы</indent>\n\nЭто улучшение устанавливает на вашем <link=""production-sparkling-cider"">производстве шипучего сидра</link> яблочный пресс, позволяющий производить <link=""sparkling-cider"">шипучий сидр</link> прямо из <link=""apples"">яблок</link>, а не из <link=""cider"">сидра</link>.\n\n<i><indent=30>«Сколько энергии, сколько яростного усердия! Солнце ещё не взошло, а весь Питтсбург уже на работе! Он превзошёл даже Чикаго. Что бы сказали в фешенебельном Сент-Луисе, увидев такой образец неистового делового рвения?»</i>\n</indent><indent=40>(Джеймс Партон, американский писатель)</indent>"	"<indent=10>Creates sparkling cider from apples, sugar and small bottles.\n<b><sprite name=""res apples""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Requires:</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">Sparkling Cider</link> and <sprite name=""skill apple-press""> <link=""apple-press"">Apple Presses</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a cider press directly onto your <link=""production-sparkling-cider"">Sparkling Cider Operation</link> that can produce <link=""sparkling-cider"">sparkling cider</link> directly from <link=""apples"">grapes</link> instead of <link=""cider"">cider</link>.\n\n<i><indent=30>What energy, what a fury of industry! All Pittsburgh at work before the dawn of day! This surpasses Chicago. What would luxurious St. Louis say of such reckless devotion to business as this?</i>\n</indent><indent=40>—James Parton</indent>"
info.production-fake-beer.name	Производство домашнего пива	Backroom Beer Operation
info.production-fake-beer.desc	"<indent=10>Создаёт домашнее пиво, используя самопальное пиво, хмель и маленькие бутылки.\n<b><sprite name=""res home-brew""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Необходимо:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Подпольное пивоварение</link>,  <sprite name=""res cash""> 1600,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 5,  <sprite name=""res bricks""> 4</indent>\n\n<link=""homemade-booze"">Самопальную выпивку</link> можно продавать клиентам или использовать для производства намного более выгодных <link=""refined-booze"">очищенных напитков</link>. Здесь производится <link=""fake-beer"">домашнее пиво</link> из чанов с <link=""home-brew"">самопальным пивом</link> путём розлива по <link=""small-bottles"">маленьким бутылкам</link> и добавления <link=""hops"">хмеля</link> для придания вкуса и запаха настоящего пива. Конечный продукт можно продавать многочисленным потребителям по всему городу, а также через собственные <link=""corner-speakeasy"">подпольные бары</link> или вечерние рестораны. Может быть улучшено до <link=""production-fake-beer-upgraded"">подпольной пивоварни</link>, позволяющей изготовлять домашнее пиво прямо из <link=""barley"">ячменя</link>.\n\n<i><indent=30>«Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne».</i>\n</indent><indent=40>(Вильгельм Буш, немецкий поэт)</indent>"	"<indent=10>Creates backroom beer from homemade beer, hops and small bottles.\n<b><sprite name=""res home-brew""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Backroom Brewing</link>,  <sprite name=""res cash"">1600,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 5,  <sprite name=""res bricks""> 4</indent>\n\n<link=""homemade-booze"">Homemade booze</link> can be sold directly or it can be used as the basis for <link=""refined-booze"">refined booze</link> that is considerably more profitable. This operation makes <link=""fake-beer"">backroom beer</link> by taking crocks of <link=""home-brew"">homemade beer</link>, putting it into <link=""small-bottles"">small bottles</link> and mixing some <link=""hops"">hops</link> in beforehand to infuse the concoction with the aroma and flavor of real beer. The resulting product can be sold to numerous businesses around the city or you can move it yourself at one of your own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. Can be upgraded to a <link=""production-fake-beer-upgraded"">Backroom Brewery</link> to make backroom beer directly from <link=""barley"">barley</link>.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>"
info.production-fake-beer-upgraded.name	Подпольная пивоварня	Backroom Brewery
info.production-fake-beer-upgraded.desc	"<indent=10>Создаёт домашнее пиво, используя ячмень, хмель и маленькие бутылки.\n<b><sprite name=""res barley""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Необходимо:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Подпольное пивоварение</link> и <sprite name=""skill malt-making""> <link=""malt-making"">производство солода</link>, <sprite name=""res cat materials""> строительные материалы</indent>\n\nЭто улучшение устанавливает на вашем <link=""production-fake-beer"">производстве домашнего пива</link> небольшой бак для пивоварения, позволяющий производить <link=""fake-beer"">домашнее пиво</link> прямо из <link=""barley"">ячменя</link>, а не из <link=""home-brew"">самопального пива</link>.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>(Вильгельм Буш, немецкий поэт)</indent>"	"<indent=10>Creates backroom beer from barley, hops and small bottles.\n<b><sprite name=""res barley""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Backroom Brewing</link> and <sprite name=""skill malt-making""> <link=""malt-making"">Malt Making</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a small brewing tank directly onto your <link=""production-fake-beer"">Backroom Beer Operation</link> that can produce <link=""fake-beer"">backroom beer</link> directly from <link=""barley"">barley</link> instead of <link=""home-brew"">homemade beer</link>.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>"
info.production-bathtub-gin.name	Производство домашнего джина	Bathtub Gin Operation
info.production-bathtub-gin.desc	"<indent=10>Создаёт домашний джин, используя самогон, специи и маленькие бутылки.\n<b><sprite name=""res moonshine""> + <sprite name=""res small-bottles""> + <sprite name=""res spices""> <sprite name=""ui arr sm right""> <sprite name=""res bathtub-gin""></b>\n\n<b>Необходимо:</b>\n<sprite name=""skill bathtub-gin""> <link=""bathtub-gin-skill"">Цех домашнего джина</link>,  <sprite name=""res cash""> 2500,  <sprite name=""res half-barrel""> 25,  <sprite name=""res pipes""> 4,  <sprite name=""res bricks""> 4</indent>\n\n<link=""homemade-booze"">Самопальную выпивку</link> можно продавать клиентам или использовать для производства намного более выгодных <link=""refined-booze"">очищенных напитков</link>. Здесь производится <link=""bathtub-gin"">домашний джин</link> из чанов с <link=""moonshine"">самогоном</link> путём розлива по <link=""small-bottles"">маленьким бутылкам</link> и добавления <link=""spices"">специй</link> для получения пойла, из которого можно делать коктейли. Конечный продукт можно продавать многочисленным потребителям по всему городу, а также через собственные <link=""corner-speakeasy"">подпольные бары</link> или вечерние рестораны. Может быть улучшено до <link=""production-bathtub-gin-upgraded"">дистиллятора для домашнего джина</link>, позволяющего изготовлять домашний джин прямо из <link=""corn-syrup"">кукурузной патоки</link>.\n\n<i><indent=30>«When I was down in Georgia, I was doing mighty well. Since I been here in Chicago, I been catching a plenty hell».</i>\n</indent><indent=40>(Кокомо Арнольд, песня Red Beans and Rice)</indent>"	"<indent=10>Creates bathtub-gin from moonshine, spices and small bottles.\n<b><sprite name=""res moonshine""> + <sprite name=""res small-bottles""> + <sprite name=""res spices""> <sprite name=""ui arr sm right""> <sprite name=""res bathtub-gin""></b>\n\n<b>Requires:</b>\n<sprite name=""skill bathtub-gin""> <link=""bathtub-gin-skill"">Bathtub Ginworks</link>,  <sprite name=""res cash"">2500,  <sprite name=""res half-barrel""> 25,  <sprite name=""res pipes""> 4,  <sprite name=""res bricks""> 4</indent>\n\n<link=""homemade-booze"">Homemade booze</link> can be sold directly or it can be used as the basis for <link=""refined-booze"">refined booze</link> that is considerably more profitable. This operation makes <link=""bathtub-gin"">bathtub gin</link> by taking crocks of <link=""moonshine"">moonshine</link>, putting it into <link=""small-bottles"">small bottles</link> and mixing some <link=""spices"">spices</link> in beforehand to create a quaff suitable for many different cocktails. The resulting product can be sold to numerous businesses around the city or you can move it yourself at one of your own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. Can be upgraded to a <link=""production-bathtub-gin-upgraded""> Bathtub Gin Still</link> to make bathtub gin directly from <link=""corn-syrup"">corn syrup</link>.\n\n<i><indent=30>When I was down in Georgia, I was doing mighty well. Since I been here in Chicago, I been catching a plenty hell.</i>\n</indent><indent=40>—Kokomo Arnold from ""Red Beans and Rice""</indent>"
info.production-bathtub-gin-upgraded.name	Дистиллятор для домашнего джина	Bathtub Gin Still
info.production-bathtub-gin-upgraded.desc	"<indent=10>Создаёт домашний джин, используя кукурузную патоку, специи и маленькие бутылки.\n<b><sprite name=""res corn-syrup""> + <sprite name=""res small-bottles""> + <sprite name=""res spices""> <sprite name=""ui arr sm right""> <sprite name=""res bathtub-gin""></b>\n\n<b>Необходимо:</b>\n<sprite name=""skill bathtub-gin""> <link=""bathtub-gin-skill"">Цех домашнего джина</link> и <sprite name=""skill backroom-distillation""> <link=""backroom-distillation"">кустарные дистилляторы</link>, <sprite name=""res cat materials""> строительные материалы</indent>\n\nЭто улучшение устанавливает на вашем <link=""production-bathtub-gin"">производстве домашнего джина</link> небольшой дистиллятор, позволяющий производить <link=""bathtub-gin"">домашний джин</link> прямо из <link=""corn-syrup"">кукурузной патоки</link>, а не из <link=""moonshine"">самогона</link>.\n\n<i><indent=30>«When I was down in Georgia, I was doing mighty well. Since I been here in Chicago, I been catching a plenty hell».</i>\n</indent><indent=40>(Кокомо Арнольд, песня Red Beans and Rice)</indent>"	"<indent=10>Creates bathtub gin from corn syrup, hops and small bottles.\n<b><sprite name=""res corn-syrup""> + <sprite name=""res small-bottles""> + <sprite name=""res spices""> <sprite name=""ui arr sm right""> <sprite name=""res bathtub-gin""></b>\n\n<b>Requires:</b>\n<sprite name=""skill bathtub-gin""> <link=""bathtub-gin-skill"">Bathtub Ginworks</link> and <sprite name=""skill backroom-distillation""> <link=""backroom-distillation"">Makeshift Stills</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a small still directly onto your <link=""production-bathtub-gin"">Bathtub Gin Operation</link> that can produce <link=""bathtub-gin"">bathtub gin</link> directly from <link=""corn-syrup"">corn syrup</link> instead of <link=""moonshine"">moonshine</link>.\n\n<i><indent=30>When I was down in Georgia, I was doing mighty well. Since I been here in Chicago, I been catching a plenty hell.</i>\n</indent><indent=40>—Kokomo Arnold from ""Red Beans and Rice""</indent>"
info.backroom-bootlegger.name	Подпольный торговец выпивкой	Backroom Bootlegger
info.backroom-bootlegger.desc	"<indent=10>Продаёт один вид самопальной выпивки.\n<b><sprite name=""res brick-wine""> <sprite name=""res cider""> <sprite name=""res home-brew""> <sprite name=""res moonshine""> <sprite name=""res apple-jack""> <sprite name=""res fruit-wine""></b>\n\n<b>Необходимо:</b>\n<sprite name=""ui skills""> Подпольная торговля выпивкой,  <sprite name=""res cash""> 1000,  <sprite name=""res lumber""> 10</indent>\n\nЭта простейшая схема распространения товара позволяет продавать один вид самопальной выпивки непосредственно клиентам, а не другим предпринимателям. Это приносит больший доход и позволяет продавать большие объёмы продукции, чем обычно потребляют ваши оптовые клиенты. Изучив расширенную торговлю выпивкой, вы сможете продавать сразу два вида напитков.\n\n<i><indent=30>«Don't try me nobody 'cause you will never win. I'll fight the army, navy just me and my gin. Any bootlegger sure is a pal of mine».</i>\n</indent><indent=40>(Бесси Смит, песня Me and My Gin)</indent>"	"<indent=10>Can sell one kind of homemade booze.\n<b><sprite name=""res brick-wine""> <sprite name=""res cider""> <sprite name=""res home-brew""> <sprite name=""res moonshine""> <sprite name=""res apple-jack""> <sprite name=""res fruit-wine""></b>\n\n<b>Requires:</b>\n<sprite name=""ui skills"">Backroom Bootlegging,  <sprite name=""res cash"">1,000,  <sprite name=""res lumber""> 10</indent>\n\nThis fairly simple distribution operation allows you to sell one kind of homemade booze directly to customers instead of supplying another business. It's more profitable and it's a good way of moving extra booze that your regulars don't need. by learning Expanded Bootlegging, you can upgrade your operation to sell a second type of homemade booze.\n\n<i><indent=30>Don't try me nobody 'cause you will never win. I'll fight the army, navy just me and my gin. Any bootlegger sure is a pal of mine.</i>\n</indent><indent=40>—Bessie Smith from ""Me and My Gin""</indent>"
info.corner-speakeasy.name	Местный подпольный бар	Corner Speakeasy
info.corner-speakeasy.desc	"<indent=10>Позволяет торговать всеми видами самопальной выпивки.\n<b><sprite name=""res brick-wine""> <sprite name=""res cider""> <sprite name=""res home-brew""> <sprite name=""res apple-jack""> <sprite name=""res fruit-wine""> <sprite name=""res moonshine""></b>\nи один вид очищенных напитков\n<sprite name=""res fake-wine""> <sprite name=""res fake-beer""> <sprite name=""res sparkling-cider""> <sprite name=""res bathtub-gin""> <sprite name=""res rakija""> <sprite name=""res corn whiskey"">\n\n<b>Необходимо:</b>\n<sprite name=""ui skills""> Местные подпольные бары,  <sprite name=""res cash""> 5000,  <sprite name=""res lumber""> 20,  <sprite name=""res furniture""> 30</indent>\n\nПростая деревянная стойка, немного посуды и место, где можно прятать выпивку подальше от посторонних глаз, — вот и всё, что нужно для постройки простого подпольного бара. Здесь подают все виды самопальной выпивки и один вид очищенных напитков.\n\n<i><indent=30>«Late last night, I sold away and cried; Had the blues for Chicago, I just can't be satisfied».</i>\n</indent><indent=40>(Бесси Смит, песня Chicago Bound Blues)</indent>"	"<indent=10>Can sell all varieties of homemade booze.\n<b><sprite name=""res brick-wine""> <sprite name=""res cider""> <sprite name=""res home-brew""> <sprite name=""res apple-jack""> <sprite name=""res fruit-wine""> <sprite name=""res moonshine""></b>\nand one type of refined booze\n<sprite name=""res fake-wine""> <sprite name=""res fake-beer""> <sprite name=""res sparkling-cider""> <sprite name=""res bathtub-gin""> <sprite name=""res rakija""> <sprite name=""res corn whiskey"">\n\n<b>Requires:</b>\n<sprite name=""ui skills""> Corner Speakeasies,  <sprite name=""res cash"">5,000,  <sprite name=""res lumber""> 20,  <sprite name=""res furniture""> 30</indent>\n\nA simple wooden bar, some random glassware and a place to stash booze out of sight is all that's necessary for this basic speakeasy. This operation can sell every type of homemade booze and one kind of refined homemade booze.\n\n<i><indent=30>Late last night, I sold away and cried; Had the blues for Chicago, I just can't be satisfied.</i>\n</indent><indent=40>—Bessie Smith from ""Chicago Bound Blues""</indent>"
info.homemade-booze.icon	"<sprite name=""res cat booze"">"	"<sprite name=""res cat booze"">"
info.homemade-booze.name	Самопальная выпивка	Homemade Booze
info.homemade-booze.desc	"<indent=10>Простейший домашний алкоголь. Производится в керамических чанах.</indent>\n\nОбычные алкогольные напитки, приготовленные в <link=""crocks"">керамических чанах</link> из широкодоступных ингредиентов. Эти напитки можно продавать другим предпринимателям, а также через своего <link=""backroom-bootlegger"">подпольного торговца выпивкой</link> или собственный <link=""corner-speakeasy"">подпольный бар</link>. Кроме того, они служат сырьём для изготовления более выгодных <link=""refined-booze"">очищенных напитков</link>.\n\n<indent=10><b>Виды самопальной выпивки:</b>\n<sprite name=""res brick-wine""> <link=""homebooze-brick-wine"">вино из брикетов</link>\n<sprite name=""res cider""> <link=""cider"">сидр</link>\n<sprite name=""res home-brew""> <link=""home-brew"">самопальное пиво</link>\n<sprite name=""res moonshine""> <link=""moonshine"">самогон</link>\n<sprite name=""res apple-jack""> <link=""applejack"">яблочный бренди</link> <i>(региональный напиток)</i>\n\n<i><indent=30>«Il y a plus de vieux ivrognes qu'il y a de vieux medecins».</i></indent>\n<indent=40>(Рабле)</indent>"	"<indent=10>Basic homemade alcohol made in stoneware crocks</indent>\n\nSimple alcoholic beverages made in <link=""crocks"">stoneware crocks</link> made from basic, widely available ingredients. These can be sold to other businesses in the city or on your own at a <link=""backroom-bootlegger"">backroom bootlegger</link> or at a <link=""corner-speakeasy"">corner speakeasy</link>. They can also serve as raw materials for <link=""refined-booze"">refined booze</link> that is more profitable.\n\n<indent=10><b>Types of homemade booze:</b>\n<sprite name=""res brick-wine""><link=""homebooze-brick-wine"">Brick wine</link>\n<sprite name=""res cider""><link=""cider"">Hard cider</link>\n<sprite name=""res home-brew""><link=""home-brew"">Homemade beer</link>\n<sprite name=""res moonshine""><link=""moonshine"">Moonshine</link>\n<sprite name=""res apple-jack""><link=""applejack"">Applejack</link> <i>(regional)</i>\n\n<i><indent=30>Il y a plus de vieux ivrognes qu'il y a de vieux medecins.</i></indent>\n<indent=40>—Rabelais</indent>"
info.refined-booze.icon	"<sprite name=""module produce general"">"	"<sprite name=""module produce general"">"
info.refined-booze.name	Очищенные напитки	Refined Booze
info.refined-booze.desc	"<indent=10>Самопальная выпивка приносит больший доход, если её подвергнуть дальнейшей обработке.</indent>\n\nБолее сложные виды выпивки получаются из <link=""homemade-booze"">самопальной выпивки</link> путём смешивания с другими ингредиентами и розлива по <link=""bottles"">бутылкам</link> или <link=""small-bottles"">маленьким бутылкам</link>. Эти напитки можно поставлять другим предпринимателям или продавать через принадлежащие вашей группировке <link=""corner-speakeasy"">местные подпольные бары</link> и вечерные рестораны. Обладая необходимыми навыками, вы можете улучшить производство и производить очищенную выпивку непосредственно из сырья, минуя стадию самопальной выпивки.\n\n<indent=10><b>Виды очищенной выпивки:</b>\n<sprite name=""res fake-wine""> <link=""fake-wine"">контрафактное вино</link>\n<sprite name=""res sparkling-cider""> <link=""sparkling-cider"">шипучий сидр</link>\n<sprite name=""res fake-beer""> <link=""fake-beer"">домашнее пиво</link>\n<sprite name=""res bathtub-gin""><link=""bathtub-gin"">домашний джин</link>\n<sprite name=""res rakija""> <link=""rakija"">ракия</link> <i>(региональный напиток)</i>\n<sprite name=""res corn whiskey""> <link=""corn-whiskey"">кукурузный виски</link> <i>(региональный напиток)</i></indent>\n\n<indent=30><i>«Трезвость есть умеренность в потреблении того, что хорошо, и полное воздержание от того, что непотребно».</i></indent>\n<indent=40>(Франсис Уиллард, американская суфражистка)</indent>"	"<indent=10>Homemade booze that has been further processed to make it more profitable</indent>\n\nThese more complicated types of booze are made by combining <link=""homemade-booze"">homemade booze</link> with other ingredients and then putting them into <link=""bottles"">bottles</link> or <link=""small-bottles"">small bottles</link>. These concoctions can be sold to other businesses or at your outfit's own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. With the proper skills, you can also upgrade your refined booze operations to produce directly from source components rather than homemade booze.\n\n<indent=10><b>Types of refined booze:</b>\n<sprite name=""res fake-wine""><link=""fake-wine"">Counterfeit wine</link>\n<sprite name=""res sparkling-cider""><link=""sparkling-cider"">Sparkling cider</link>\n<sprite name=""res fake-beer""><link=""fake-beer"">Backroom beer</link>\n<sprite name=""res bathtub-gin""><link=""bathtub-gin"">Bathtub gin</link>\n<sprite name=""res rakija""><link=""rakija"">Rakija</link> <i>(regional)</i>\n<sprite name=""res corn whiskey""><link=""corn-whiskey"">Corn Whiskey</link> <i>(regional)</i></indent>\n\n<indent=30><i>Temperance is moderation in the things that are good and total abstinence from the things that are foul.</i></indent>\n<indent=40>—Frances E. Willard</indent>"
info.brick-wine-making.icon	"<sprite name=""skill brick-wine"">"	"<sprite name=""skill brick-wine"">"
info.brick-wine-making.name	Производство вина из брикетов	Brick Wine Production
info.brick-wine-making.desc	"Приобретя этот навык, вы сможете <b>наладить</b> производство <link=""homebooze-brick-wine"">самопального вина из брикетов</link> в здании, контролируемом вашей группировкой. Ознакомившись с основами производства <sprite name=""res brick-wine""> <link=""brick-wine"">вина из брикетов</link>, вы сможете использовать <sprite name=""res jugs""> <link=""crocks"">керамические чаны</link> и бочонки <sprite name=""res grape-juice""> <link=""grape-juice"">виноградного концентрата</link> для изготовления такого вина.\n\n<indent=30><i>«ТРУД (сущ.) — один из процессов, в ходе которого А создаёт собственность для Б».</i></indent>\n<indent=40>(Амброз Бирс)</indent>"	"Acquiring this skill allows you to <b>build</b> a <link=""homebooze-brick-wine"">backroom brick wine</link> operation in a building controlled by your outfit. Once you've learned about the basics of making <sprite name=""res brick-wine""> <link=""brick-wine"">brick wine</link>, you will be able to use <sprite name=""res jugs""> <link=""crocks"">stoneware crocks</link> and small barrels of <sprite name=""res grape-juice""> <link=""grape-juice"">grape concentrate</link> to make brick wine.\n\n<indent=30><i>LABOR, n. One of the processes by which A acquires property for B.</i></indent>\n<indent=40>—Ambrose Bierce</indent>"
info.cider-making.icon	"<sprite name=""skill cider"">"	"<sprite name=""skill cider"">"
info.cider-making.name	Производство сидра	Cider Making
info.cider-making.desc	"Приобретя этот навык, вы сможете <b>наладить</b> <link=""homebooze-cider"">подпольное производство сидра</link> в здании, контролируемом вашей группировкой. Изучив производство сидра, вы сможете использовать <sprite name=""res jugs""> <link=""crocks"">керамические чаны</link> для переработки бочонков с <sprite name=""res apple-juice""> <link=""apple-juice"">яблочным соком</link> в <sprite name=""res cider""> <link=""cider"">сидр</link>.\n\n<indent=30><i>«Пусть будущее расскажет правду и оценит каждого по его трудам и достижениям. Настоящее принадлежит им; будущее, ради которого я работал на самом деле, принадлежит мне».</i>\n</indent><indent=40>(Никола Тесла)</indent>"	"Acquiring this skill allows you to <b>build</b> a <link=""homebooze-cider"">backroom cider operation</link> in a building controlled by your outfit. Learning about cider making will allow you to use <sprite name=""res jugs""> <link=""crocks"">stoneware crocks</link> to convert small barrels of <sprite name=""res apple-juice""> <link=""apple-juice"">apple juice</link> into <sprite name=""res cider""> <link=""cider"">hard cider</link>.\n\n<indent=30><i>Let the future tell the truth and evaluate each one according to his work and accomplishments. The present is theirs; the future, for which I really worked, is mine.</i>\n</indent><indent=40>—Nikola Tesla</indent>"
info.home-brew-making.icon	"<sprite name=""skill home-brew"">"	"<sprite name=""skill home-brew"">"
info.home-brew-making.name	Производство самопального пива	Home Brew Production
info.home-brew-making.desc	"Приобретя этот навык, вы сможете <b>наладить</b> <link=""homebooze-home-brew"">подпольное производство самопального пива</link> в здании, контролируемом вашей группировкой. Научившись делать <sprite name=""res home-brew""> <link=""home-brew"">самопальное пиво</link>, вы сможете использовать <sprite name=""res jugs""> <link=""crocks"">керамические чаны</link> и ёмкости с <sprite name=""res malt""> <link=""malt"">мальтозной патокой</link> для пивоварения.\n\n<indent=30><i>«Целью всякой работы является производство или достижение, и каждая из этих целей требует обдуманности, системы, планирования, понимания и честных намерений, а также тяжкого труда».</i>\n</indent><indent=40>(Томас Эдисон)</indent>"	"Acquiring this skill allows you to <b>build</b> a <link=""homebooze-home-brew"">backroom homemade beer operation</link> in a building controlled by your outfit.Once you're taught about making <sprite name=""res home-brew""> <link=""home-brew"">homemade beer</link>, you will be able to use <sprite name=""res jugs""> <link=""crocks"">stoneware crocks</link> and containers of <sprite name=""res malt""> <link=""malt"">malt syrup</link> to make home brew.\n\n<indent=30><i>The object of all work is production or accomplishment and to either of these ends there must be forethought, system, planning, intelligence, and honest purpose, as well as perspiration.</i>\n</indent><indent=40>—Thomas Edison</indent>"
info.moonshine-making.icon	"<sprite name=""skill moonshine"">"	"<sprite name=""skill moonshine"">"
info.moonshine-making.name	Производство самогона	Moonshine Manufacture
info.moonshine-making.desc	"Приобретя этот навык, вы сможете <b>наладить</b> <link=""homebooze-moonshine"">подпольное производство самогона</link> в здании, контролируемом вашей группировкой. Изучив этот навык, вы сможете использовать <sprite name=""res jugs""> <link=""crocks"">керамические чаны</link> для превращения <sprite name=""res alcohol-btl""> <link=""neutral-alcohol"">нейтрального спирта</link> в <sprite name=""res moonshine""> <link=""moonshine"">самогон</link>.\n\n<indent=30><i>«То, что сделано, никогда не видно; видно лишь то, что ещё не сделано».</i>\n</indent><indent=40>(Мария Склодовская-Кюри)</indent>"	"Acquiring this skill allows you to <b>build</b> a <link=""homebooze-moonshine"">backroom moonshine operation</link> in a building controlled by your outfit. After learning this skill, you will be able to use <sprite name=""res jugs""> <link=""crocks"">stoneware crocks</link> to convert <sprite name=""res alcohol-btl""> <link=""neutral-alcohol"">neutral alcohol</link> into <sprite name=""res moonshine""> <link=""moonshine"">moonshine</link>.\n\n<indent=30><i>One never notices what has been done; one can only see what remains to be done.</i>\n</indent><indent=40>—Marie Skłodowska Curie</indent>"
info.brick-wine-making-upgrade.icon	"<sprite name=""skill brick-wine-upgrade"">"	"<sprite name=""skill brick-wine-upgrade"">"
info.brick-wine-making-upgrade.name	Бонусные брикеты	Bonus Bricks
info.brick-wine-making-upgrade.desc	"Изучив этот навык, вы сможете <b>улучшить</b> существующее <link=""homebooze-brick-wine"">подпольное производство вина</link> до расширенного производства вина из брикетов. После улучшения производство <sprite name=""res brick-wine""> <link=""brick-wine"">вина из брикетов</link> вырастет на 50%.\n\n<indent=30><i>«Веду ли я дела с канадскими вымогателями? Да я даже не знаю, на какой улице находится эта Канада».</i>\n</indent><indent=40>(Аль Капоне)</indent>"	"Learning this skill allows you to <b>upgrade</b> your existing <link=""homebooze-brick-wine"">Backroom Wine Operations</link> into Expanded Brick Wine Operations. Once upgraded, <sprite name=""res brick-wine""> <link=""brick-wine"">brick wine</link> production will increase by 50%.\n\n<indent=30><i>Do I do business with Canadian racketeers? I don't even know what street Canada is on.</i>\n</indent><indent=40>—Al Capone</indent>"
info.cider-making-upgrade.icon	"<sprite name=""skill cider-upgrade"">"	"<sprite name=""skill cider-upgrade"">"
info.cider-making-upgrade.name	Пресс имеет значение	Pressing Matters
info.cider-making-upgrade.desc	"Изучив этот навык, вы сможете <b>улучшить</b> имеющееся <link=""homebooze-cider"">подпольное производство сидра</link> до расширенного производства сидра. После улучшения производство <sprite name=""res cider""> <link=""cider"">сидра</link> вырастет на 50%.\n\n<indent=30><i>«Безнаказанный преступник никогда не раскается. Мы печалимся о последствиях, а не о причине».</i>\n</indent><indent=40>(Летиция Элизабет Лэндон, английская писательница)</indent>"	"Learning this skill allows you to <b>upgrade</b> your existing <link=""homebooze-cider"">Backroom Cider Operations</link> into Expanded Cider Operations. Once upgraded, <sprite name=""res cider""> <link=""cider"">hard cider</link> production will increase by 50%.\n\n<indent=30><i>The unpunished crime is never regretted. We weep over the consequence, not over the fault.</i>\n</indent><indent=40>—Letitia Elizabeth Landon</indent>"
info.home-brew-making-upgrade.icon	"<sprite name=""ui skills"">"	"<sprite name=""ui skills"">"
info.home-brew-making-upgrade.name	Ещё больше солода	Much More Malt
info.home-brew-making-upgrade.desc	"Изучив этот навык, вы сможете <b>улучшить</b> ваши <link=""homebooze-home-brew"">подпольные пивоварни</link> до расширенных подпольных пивоварен. После улучшения производство <sprite name=""res home-brew""> <link=""home-brew"">самопального пива</link> вырастет на 50%.\n\n<indent=30><i>«Les villes sont le gouffre de l'espèce humaine».</i>\n</indent><indent=40>(Жан-Жак Руссо)</indent>"	"Learning this skill allows you to <b>upgrade</b> your existing <link=""homebooze-home-brew"">Home Brew Operations</link> into Expanded Home Brew Operations. Once upgraded, <sprite name=""res home-brew""> <link=""home-brew"">homemade beer</link> production will increase by 50%.\n\n<indent=30><i>Les villes sont le gouffre de l'espèce humaine.</i>\n</indent><indent=40>—Jean-Jacques Rousseau</indent>"
