Key	French	English
info.homebooze-moonshine.name	Fabrique de moonshine d’arrière-boutique	Backroom Moonshine Operation
info.homebooze-moonshine.desc	"<indent=10>Permet de fabriquer du moonshine grâce à de l’alcool neutre et des pots en grès.\n<b><sprite name=""res alcohol-btl""> + <sprite name=""res jugs""> <sprite name=""ui arr sm right""> <sprite name=""res moonshine""></b>\n\n<b>Nécessite :</b>\n<sprite name=""skill moonshine""> <link=""moonshine-making"">production de moonshine</link>,  600 <sprite name=""res cash"">,  <sprite name=""res lumber""> 4</indent>\n\nUne fois installée et approvisionnée en <link=""neutral-alcohol"">alcool neutre</link> et en <link=""crocks"">pots en grès</link>, cette fabrique d’arrière-boutique produira du <link=""moonshine"">moonshine</link> qui pourra être vendu aux commerces de la ville, ou par vos propres <link=""backroom-bootlegger"">bootleggers d’arrière-boutique</link> ou speakeasies de quartier. Le moonshine peut également servir à fabriquer du <link=""bathtub-gin"">gin amateur</link> une fois que vous aurez appris à construire une <link=""production-bathtub-gin"">fabrique de gin amateur</link>, ou un <link=""production-bathtub-gin-upgraded"">alambic à gin amateur</link>.\n\n<i><indent=30>Eh bien, entre du scotch et rien, j’imagine que je choisirais du scotch. C’est le meilleur substitut que je puisse trouver à un bon moonshine.</i>\n</indent><indent=40></indent>"	"<indent=10>Creates moonshine from neutral alcohol and stoneware crocks.\n<b><sprite name=""res alcohol-btl""> + <sprite name=""res jugs""> <sprite name=""ui arr sm right""> <sprite name=""res moonshine""></b>\n\n<b>Requires:</b>\n<sprite name=""skill moonshine""> <link=""moonshine-making"">Moonshine Making</link>,  <sprite name=""res cash"">600,  <sprite name=""res lumber""> 4</indent>\n\nWhen installed and supplied with <link=""neutral-alcohol"">neutral alcohol</link> and <link=""crocks"">stoneware crocks</link>, this backroom operation produces <link=""moonshine"">moonshine</link> that can be sold to businesses across the city or in your own <link=""backroom-bootlegger"">Backroom Bootleggers</link> or Corner Speakeasies. Moonshine can also be used to make <link=""bathtub-gin"">bathtub gin</link> once you learn how to construct a <link=""production-bathtub-gin"">Bathtub Gin Operation</link> or <link=""production-bathtub-gin-upgraded"">Bathtub Gin Still</link>.\n\n<i><indent=30>Well, between Scotch and nothin', I suppose I’d take Scotch. It’s the nearest thing to good moonshine I can find.</i>\n</indent><indent=40>—William Faulkner</indent>"
info.conversion-grape-juice.name	Pressoir à raisin	Grape Press
info.conversion-grape-juice.desc	"<indent=10>Permet de produire du concentré de raisin grâce à du raisin et de petits tonneaux.\n<b><sprite name=""res grapes""> + <sprite name=""res half-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res grape-juice""></b>\n\n<b>Nécessite :</b>\n<sprite name=""skill grape-press""> <link=""grape-press"">pressoirs à raisin</link>,  750 <sprite name=""res cash"">,  <sprite name=""res pipes""> 5,  <sprite name=""res barrels""> 25,  <sprite name=""res bricks""> 6</indent>\n\nUne fois installé et approvisionné en <link=""grapes"">raisin</link> et en <link=""half-barrel"">petits tonneaux</link>, ce pressoir à raisin produira du <link=""grape-juice"">concentré de raisin</link> qui pourra être utilisé pour fabriquer du <link=""brick-wine"">vin en brique</link> et servir à d’autres types de fermentations et d’infusions. Fabriquer votre propre concentré de raisin peut s’avérer plus fiable et moins onéreux que de l’acheter sur le marché libre. Si un membre de votre bande a gagné suffisamment d’expérience aux commandes de cette opération, vous pourrez transformer votre pressoir à raisin en pressoir à raisin amélioré.\n\n<i><indent=30>Uvaque conspecta livorem ducit ab uva.</i>\n</indent><indent=40>—Juvénal</indent>"	"<indent=10>Creates grape concentrate from grapes and small barrels.\n<b><sprite name=""res grapes""> + <sprite name=""res half-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res grape-juice""></b>\n\n<b>Requires:</b>\n<sprite name=""skill grape-press""> <link=""grape-press"">Grape Presses</link>,  <sprite name=""res cash"">750,  <sprite name=""res pipes""> 5,  <sprite name=""res barrels""> 25,  <sprite name=""res bricks""> 6</indent>\n\nWhen installed and supplied with <link=""grapes"">grapes</link> and <link=""half-barrel"">small barrels</link>, this juice press produces <link=""grape-juice"">grape concentrate</link> that can be used to make <link=""brick-wine"">brick wine</link> and for other fermentations and infusions. Making your own grape concentrate can be more reliable and less expensive than purchasing it on the open market. A crew member that has gained the appropriate experience managing this operation will allow you to upgrade it to an Improved Grape Press.\n\n<i><indent=30>Uvaque conspecta livorem ducit ab uva.</i>\n</indent><indent=40>—Juvenal</indent>"
info.conversion-apple-juice.name	Pressoir à jus de pomme	Apple Juice Press
info.conversion-apple-juice.desc	"<indent=10>Permet de produire du jus de pomme grâce à des pommes et de petits tonneaux.\n<b><sprite name=""res apples""> + <sprite name=""res half-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res apple-juice""></b>\n\n<b>Nécessite :</b>\n<sprite name=""skill apple-press""> <link=""apple-press"">pressoirs à pommes</link>, 750 <sprite name=""res cash"">,  <sprite name=""res pipes""> 5,  <sprite name=""res half-barrel""> 25,  <sprite name=""res bricks""> 6</indent>\n\nUne fois installé et approvisionné en <link=""apples"">pommes</link> et en <link=""half-barrel"">petits tonneaux</link>, ce pressoir à jus de pomme produira du <link=""apple-juice"">jus de pomme</link> qui pourra être utilisé pour fabriquer du <link=""cider"">cidre</link>. Fabriquer votre propre jus de pomme peut s’avérer plus fiable et moins onéreux que de l’acheter sur le marché libre. Si un membre de votre bande a gagné suffisamment d’expérience aux commandes de cette opération, vous pourrez transformer votre pressoir à jus de pomme en pressoir à jus de pomme amélioré.\n\n<i><indent=30>Pour être ridée, une bonne pomme ne perd pas sa bonne odeur.</i>\n</indent><indent=40>—Proverbe breton</indent>"	"<indent=10>Creates apple juice from apples and small barrels.\n<b><sprite name=""res apples""> + <sprite name=""res half-barrel""> <sprite name=""ui arr sm right""> <sprite name=""res apple-juice""></b>\n\n<b>Requires:</b>\n<sprite name=""skill apple-press""> <link=""apple-press"">Apple Presses</link>,  <sprite name=""res cash"">750,  <sprite name=""res pipes""> 5,  <sprite name=""res half-barrel""> 25,  <sprite name=""res bricks""> 6</indent>\n\nWhen installed and supplied with <link=""apples"">apples</link> and <link=""half-barrel"">small barrels</link>, this juice press produces <link=""apple-juice"">apple juice</link> that can be used to make <link=""cider"">hard cider</link>. Making your own apple juice can be more reliable and less expensive than purchasing it on the open market. A crew member that has gained the appropriate experience managing this operation will allow you to upgrade it to an Improved Apple Juice Press.\n\n<i><indent=30>A wrinkled apple still smells good.</i>\n</indent><indent=40>—Breton proverb</indent>"
info.conversion-neutral-alcohol.name	Distillerie basique d’arrière-boutique	Backroom Basic Distillery
info.conversion-neutral-alcohol.desc	"<indent=10>Permet de produire de l’alcool neutre grâce à du sirop de maïs et des bouteilles.\n<b><sprite name=""res corn-syrup""> + <sprite name=""res bottles""> <sprite name=""ui arr sm right""> <sprite name=""res alcohol-btl""></b>\n\n<b>Nécessite :</b>\n<sprite name=""skill backroom-distillation""> <link=""backroom-distillation"">alambics improvisés</link>, 1 500 <sprite name=""res cash"">,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res sheet metal""> 25,  </indent> \n\nUne fois installé et approvisionné en <link=""corn-syrup"">sirop de maïs</link> et en <link=""bottles"">bouteilles</link>, cette distillerie basique d’arrière-boutique produira de l’<link=""neutral-alcohol"">alcool neutre</link> qui pourra être utilisé pour fabriquer du <link=""moonshine"">moonshine</link> et servir d’ingrédient dans la préparation d’autres boissons corsées. Fabriquer votre propre alcool neutre peut s’avérer plus fiable et moins onéreux que de l’acheter sur le marché libre. Si un membre de votre bande a gagné suffisamment d’expérience aux commandes de cette opération, vous pourrez transformer votre distillerie basique d’arrière-boutique en distillerie améliorée d’arrière-boutique.\n\n<i><indent=30>Je bois à l’occasion et parfois aussi quand il n’y a pas d’occasion.</i>\n</indent><indent=40>—Miguel de Cervantes</indent>"	"<indent=10>Creates neutral alcohol from corn syrup and bottles.\n<b><sprite name=""res corn-syrup""> + <sprite name=""res bottles""> <sprite name=""ui arr sm right""> <sprite name=""res alcohol-btl""></b>\n\n<b>Requires:</b>\n<sprite name=""skill backroom-distillation""> <link=""backroom-distillation"">Makeshift Stills</link>,  <sprite name=""res cash"">1500,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res sheet metal""> 25</indent>\n\nWhen installed and supplied with <link=""corn-syrup"">corn syrup</link> and <link=""bottles"">bottles</link>, this still produces <link=""neutral-alcohol"">neutral alcohol</link> that can be used to make <link=""moonshine"">moonshine</link> and as an ingredient in other potent beverages. Making your own neutral alcohol can be more reliable and less expensive than purchasing it on the open market. A crew member that has gained the appropriate experience managing this operation will allow you to upgrade it to an Improved Backroom Distillery.\n\n<i><indent=30>I drink when I have occasion, and sometimes when I have no occasion.</i>\n</indent><indent=40>—Miguel de Cervantes</indent>"
info.conversion-malt.name	Malterie	Malt Processor
info.conversion-malt.desc	"<indent=10>Permet de fabriquer du sirop de malt à partir d’orge.\n<b><sprite name=""res corn-syrup""> <sprite name=""ui arr sm right""> <sprite name=""res malt""></b>\n\n<b>Nécessite :</b>\n<sprite name=""skill malt-making""> <link=""malt-making"">production de malt</link>,  750 <sprite name=""res cash"">,  <sprite name=""res pipes""> 5,  <sprite name=""res jugs""> 50,  <sprite name=""res bricks""> 6</indent>\n\nUne fois installée et approvisionnée en <link=""barley"">sirop de maïs</link>, cette malterie produira du <link=""malt"">sirop de maïs</link> qui pourra être utilisé pour fabriquer de la <link=""home-brew"">bière artisanale</link> et servir d’ingrédient pour d’autres techniques de brasserie. Fabriquer votre propre sirop de maïs peut s’avérer plus fiable et moins onéreux que de l’acheter sur le marché libre. Si un membre de votre bande a gagné suffisamment d’expérience aux commandes de cette opération, vous pourrez transformer votre malterie en malterie améliorée.\n\n<i><indent=30>Un brasseur peut fabriquer une bière d’excellente facture à partir d’un malt quelconque, mais ses efforts, s’ils venaient à être prodigués dans une malterie, produiront des effets bien plus précis et fiables.</i>\n</indent><indent=40>—Henry Stopes</indent>"	"<indent=10>Creates malt syrup from barley.\n<b><sprite name=""res corn-syrup""> <sprite name=""ui arr sm right""> <sprite name=""res malt""></b>\n\n<b>Requires:</b>\n<sprite name=""skill malt-making""> <link=""malt-making"">Malt Making</link>,  <sprite name=""res cash"">750,  <sprite name=""res pipes""> 5,  <sprite name=""res jugs""> 50,  <sprite name=""res bricks""> 6</indent>\n\nWhen installed and supplied with <link=""barley"">corn syrup</link>, this malt processor produces <link=""malt"">malt syrup</link> that can be used to make <link=""home-brew"">homemade beer</link> and as an ingredient in brewing applications. Making your own malt syrup can be more reliable and less expensive than purchasing it on the open market. A crew member that has gained the appropriate experience managing this operation will allow you to upgrade it to an Improved Malt Processor.\n\n<i><indent=30>A brewer can make very good beer from indifferent malt, but his efforts, if carried back to the malt-house, are much more certain and reliable in their effects.</i>\n</indent><indent=40>—Henry Stopes</indent>"
info.production-fake-wine.name	Fabrique de vin d’arrière-boutique	Backroom Wine Operation
info.production-fake-wine.desc	"<indent=10>Permet de fabriquer du vin contrefait grâce à du vin en brique, des étiquettes et des bouteilles.\n<b><sprite name="res brick-wine"> + <sprite name="res bottles"> + <sprite name="res labels"> <sprite name="ui arr sm right"> <sprite name="res fake-wine"></b>\n\n<b>Nécessite :</b>\n<sprite name="skill fake-wine"> <link="fake-wine-skill">production de vin d’arrière-boutique</link>, 2 000 <sprite name="res cash">,  <sprite name="res barrels"> 20,  <sprite name="res pipes"> 5,  <sprite name="res bricks"> 7</indent>\n\nL’<link="homemade-booze">alcool artisanal</link> peut être mis en vente directement ou servir de base à de l’<link="refined-booze">alcool raffiné</link>, qui se veut nettement plus rentable. Cette fabrique permet de fabriquer du <link="fake-wine">vin contrefait</link> en transvasant des pots de <link="brick-wine">vin en brique</link> dans des <link="bottles">bouteilles</link>, et en leur collant une <link="labels">étiquette</link>. Le produit ainsi obtenu pourra être vendu à de nombreux commerces de la ville. Vous pouvez également le distribuer vous-même dans l’un de vos propres <link="corner-speakeasy">speakeasies de quartier</link> ou supper clubs. Peut être transformé en <link="production-fake-wine-upgraded">cuverie d’arrière-boutique</link> pour fabriquer du vin contrefait directement à partir de <link="grapes">raisin</link>.\n\n<i><indent=30>Le vin n'est pas une fabrication régie par des règles scientifiques, mais un art dépendant uniquement du goût.</i>\n</indent><indent=40>—Raymond Dumay</indent>"	"<indent=10>Creates counterfeit wine from brick wine, labels and bottles.\n<b><sprite name=""res brick-wine""> + <sprite name=""res bottles""> + <sprite name=""res labels""> <sprite name=""ui arr sm right""> <sprite name=""res fake-wine""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fake-wine""> <link=""fake-wine-skill"">Backroom Winemaking</link>,  <sprite name=""res cash"">2000,  <sprite name=""res barrels""> 20,  <sprite name=""res pipes""> 5,  <sprite name=""res bricks""> 7</indent>\n\n<link=""homemade-booze"">Homemade booze</link> can be sold directly or it can be used as the basis for <link=""refined-booze"">refined booze</link> that is considerably more profitable. This operation makes <link=""fake-wine"">counterfeit wine</link> by taking crocks of <link=""brick-wine"">brick wine</link>, putting it into <link=""bottles"">bottles</link> and then putting a <link=""labels"">label</link> on each one. The resulting product can be sold to numerous businesses around the city or you can move it yourself at one of your own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. Can be upgraded to a <link=""production-fake-wine-upgraded"">Backroom Winery</link> to make counterfeit wine directly from <link=""grapes"">grapes</link>.\n\n<i><indent=30>Le vin n'est pas une fabrication régie par des règles scientifiques, mais un art dépendant uniquement du goût.</i>\n</indent><indent=40>—Raymond Dumay</indent>"
info.production-fake-wine-upgraded.name	Cuverie d’arrière-boutique	Backroom Winery
info.production-fake-wine-upgraded.desc	"<indent=10>Permet de fabriquer du vin contrefait grâce à du raisin, des étiquettes et des bouteilles.\n<b><sprite name="res grapes"> + <sprite name="res bottles"> + <sprite name="res labels"> <sprite name="ui arr sm right"> <sprite name="res fake-wine"></b>\n\n<b>Nécessite :</b>\n<sprite name="skill fake-wine"> <link="fake-wine-skill">production de vin d’arrière-boutique</link> et <sprite name="skill grape-press"> <link="grape-press">pressoirs à raisin</link>, <sprite name="res cat materials"> matériaux de construction</indent>\n\nCette amélioration permet d’installer un pressoir à vin directement dans votre <link="production-fake-wine">fabrique de vin d’arrière-boutique</link>, lequel permet de fabriquer du <link="fake-wine">vin contrefait</link> directement à partir de <link="grapes">raisin</link> au lieu de <link="brick-wine">vin en brique</link>.\n\n<i><indent=30>Le vin n'est pas une fabrication régie par des règles scientifiques, mais un art dépendant uniquement du goût.</i>\n</indent><indent=40>—Raymond Dumay</indent>"	"<indent=10>Creates counterfeit wine from grapes, labels and bottles.\n<b><sprite name=""res grapes""> + <sprite name=""res bottles""> + <sprite name=""res labels""> <sprite name=""ui arr sm right""> <sprite name=""res fake-wine""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fake-wine""> <link=""fake-wine-skill"">Backroom Winemaking</link> and <sprite name=""skill grape-press""> <link=""grape-press"">Grape Presses</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a wine press directly onto your <link=""production-fake-wine"">Backroom Wine Operation</link> that can produce <link=""fake-wine"">counterfeit wine</link> directly from <link=""grapes"">grapes</link> instead of <link=""brick-wine"">brick wine</link>.\n\n<i><indent=30>Le vin n'est pas une fabrication régie par des règles scientifiques, mais un art dépendant uniquement du goût.</i>\n</indent><indent=40>—Raymond Dumay</indent>"
info.production-sparkling-cider.name	Fabrique de cidre pétillant	Sparkling Cider Operation
info.production-sparkling-cider.desc	"<indent=10>Permet de fabriquer du cidre pétillant grâce à du cidre, du sucre et des petites bouteilles.\n<b><sprite name=""res cider""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Nécessite :</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">cidre pétillant</link>, 2 000 <sprite name=""res cash"">,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 4,  <sprite name=""res bricks""> 8</indent>\n\nL’<link=""homemade-booze"">alcool artisanal</link> peut être mis en vente directement ou servir de base à de l’<link=""refined-booze"">alcool raffiné</link>, qui se veut nettement plus rentable. Cette fabrique permet de fabriquer du <link=""sparkling-cider"">cidre pétillant</link> en transvasant des pots de <link=""cider"">cidre</link> dans de <link=""small-bottles"">petites bouteilles</link>, et en y ajoutant suffisamment de <link=""sugar""></link> sucre pour créer des bulles, mais pas assez pour créer une explosion. Le produit ainsi obtenu pourra être vendu à de nombreux commerces de la ville. Vous pouvez également le distribuer vous-même dans l’un de vos propres <link=""corner-speakeasy"">speakeasies de quartier</link> ou supper clubs. Peut être amélioré en <link=""production-sparkling-cider-upgraded"">fermenteur de cidre pétillant</link> pour fabriquer du cidre pétillant directement à partir de <link=""apples"">pommes</link>.\n\n<i><indent=30>Quelle énergie, quelle frénésie que cette industrie ! Voilà que tout Pittsburgh se démène avant l’aube ! C’est encore mieux qu’à Chicago. Que dirait la somptueuse Saint-Louis de ce dévouement sans faille pour le commerce ?</i>\n</indent><indent=40>—James Parton</indent>"	"<indent=10>Creates sparkling cider from hard cider, sugar and small bottles.\n<b><sprite name=""res cider""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Requires:</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">Sparkling Cider</link>,  <sprite name=""res cash"">2000,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 4,  <sprite name=""res bricks""> 8</indent>\n\n<link=""homemade-booze"">Homemade booze</link> can be sold directly or it can be used as the basis for <link=""refined-booze"">refined booze</link> that is considerably more profitable. This operation makes <link=""sparkling-cider"">sparkling cider</link> by taking crocks of <link=""cider"">cider</link>, putting it into <link=""small-bottles"">small bottles</link> and mixing some <link=""sugar"">sugar</link> into each one - enough sugar to cause some fizz, but not so much to cause some explosions. The resulting product can be sold to numerous businesses around the city or you can move it yourself at one of your own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. Can be upgraded to a <link=""production-sparkling-cider-upgraded"">Sparkling Cider Fermenter</link> to make sparkling cider directly from <link=""apples"">apples</link>.\n\n<i><indent=30>What energy, what a fury of industry! All Pittsburgh at work before the dawn of day! This surpasses Chicago. What would luxurious St. Louis say of such reckless devotion to business as this?</i>\n</indent><indent=40>—James Parton</indent>"
info.production-sparkling-cider-upgraded.name	Fermenteur de cidre pétillant	Sparkling Cider Fermenter
info.production-sparkling-cider-upgraded.desc	"<indent=10>Permet de fabriquer du cidre pétillant grâce à des pommes, du sucre et des petites bouteilles.\n<b><sprite name=""res apples""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Nécessite :</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">cidre pétillant</link> et <sprite name=""skill apple-press""> <link=""apple-press"">pressoirs à pommes</link>, <sprite name=""res cat materials""> matériaux de construction</indent>\n\nCette amélioration permet d’installer un pressoir à cidre directement dans votre <link=""production-sparkling-cider"">fabrique de cidre pétillant</link>, lequel permet de fabriquer du <link=""sparkling-cider"">cidre pétillant</link> directement à partir de <link=""apples"">pommes</link> au lieu de <link=""cider"">cidre</link>.\n\n<i><indent=30>Quelle énergie, quelle frénésie que cette industrie ! Voilà que tout Pittsburgh se démène avant l’aube ! C’est encore mieux qu’à Chicago. Que dirait la somptueuse Saint-Louis de ce dévouement sans faille pour le commerce ?</i>\n</indent><indent=40>—James Parton</indent>"	"<indent=10>Creates sparkling cider from apples, sugar and small bottles.\n<b><sprite name=""res apples""> + <sprite name=""res small-bottles""> + <sprite name=""res sugar""> <sprite name=""ui arr sm right""> <sprite name=""res sparkling-cider""></b>\n\n<b>Requires:</b>\n<sprite name=""skill sparkling-cider""> <link=""sparkling-cider-skill"">Sparkling Cider</link> and <sprite name=""skill apple-press""> <link=""apple-press"">Apple Presses</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a cider press directly onto your <link=""production-sparkling-cider"">Sparkling Cider Operation</link> that can produce <link=""sparkling-cider"">sparkling cider</link> directly from <link=""apples"">grapes</link> instead of <link=""cider"">cider</link>.\n\n<i><indent=30>What energy, what a fury of industry! All Pittsburgh at work before the dawn of day! This surpasses Chicago. What would luxurious St. Louis say of such reckless devotion to business as this?</i>\n</indent><indent=40>—James Parton</indent>"
info.production-fake-beer.name	Fabrique de bière d’arrière-boutique	Backroom Beer Operation
info.production-fake-beer.desc	"<indent=10>Permet de créer de la bière d’arrière-boutique grâce à de la bière artisanale, du houblon et des petites bouteilles.\n<b><sprite name=""res home-brew""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Nécessite :</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">brassage d’arrière-boutique</link>, 1 600 <sprite name=""res cash"">,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 5,  <sprite name=""res bricks""> 4</indent>\n\nL’<link=""homemade-booze"">alcool artisanal</link> peut être vendu directement ou servir de base à de l’<link=""refined-booze"">alcool raffiné</link>, qui se veut nettement plus rentable. Cette fabrique permet de fabriquer de la <link=""fake-beer"">bière d’arrière-boutique</link> en transvasant des pots de <link=""home-brew"">bière artisanale</link> dans des <link=""small-bottles"">petites bouteilles</link> et en y ajoutant du <link=""hops"">houblon</link> afin d’insuffler à la concoction tout l’arôme et les saveurs de la vraie bière. Le produit ainsi obtenu pourra être vendu à des commerces de la ville. Vous pouvez également le distribuer vous-même dans l’un de vos propres <link=""corner-speakeasy"">speakeasies de quartier</link> ou supper clubs. Peut être amélioré en <link=""production-fake-beer-upgraded"">brasserie d’arrière-boutique</link> pour fabriquer de la bière d’arrière-boutique directement à partir d’<link=""barley"">orge</link>.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>"	"<indent=10>Creates backroom beer from homemade beer, hops and small bottles.\n<b><sprite name=""res home-brew""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Backroom Brewing</link>,  <sprite name=""res cash"">1600,  <sprite name=""res steel-barrels""> 25,  <sprite name=""res pipes""> 5,  <sprite name=""res bricks""> 4</indent>\n\n<link=""homemade-booze"">Homemade booze</link> can be sold directly or it can be used as the basis for <link=""refined-booze"">refined booze</link> that is considerably more profitable. This operation makes <link=""fake-beer"">backroom beer</link> by taking crocks of <link=""home-brew"">homemade beer</link>, putting it into <link=""small-bottles"">small bottles</link> and mixing some <link=""hops"">hops</link> in beforehand to infuse the concoction with the aroma and flavor of real beer. The resulting product can be sold to numerous businesses around the city or you can move it yourself at one of your own <link=""corner-speakeasy"">corner speakeasies</link> or supper clubs. Can be upgraded to a <link=""production-fake-beer-upgraded"">Backroom Brewery</link> to make backroom beer directly from <link=""barley"">barley</link>.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>"
info.production-fake-beer-upgraded.name	Brasserie d’arrière-boutique	Backroom Brewery
info.production-fake-beer-upgraded.desc	"<indent=10>Permet de fabriquer de la bière d’arrière-boutique grâce à de l’orge, du houblon et des petites bouteilles.\n<b><sprite name=""res barley""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Nécessite :</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">brassage d’arrière-boutique</link> et <sprite name=""skill malt-making""> <link=""malt-making"">production de malt</link>, <sprite name=""res cat materials""> matériaux de construction</indent>\n\nCette amélioration permet d’installer une petite cuve de fermentation dans votre <link=""production-fake-beer"">fabrique de bière d’arrière-boutique</link>, laquelle permet de fabriquer de la <link=""fake-beer"">bière d’arrière-boutique</link> directement à partir d’<link=""barley"">orge</link> au lieu de <link=""home-brew"">bière artisanale</link>.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>"	"<indent=10>Creates backroom beer from barley, hops and small bottles.\n<b><sprite name=""res barley""> + <sprite name=""res small-bottles""> + <sprite name=""res hops""> <sprite name=""ui arr sm right""> <sprite name=""res fake-beer""></b>\n\n<b>Requires:</b>\n<sprite name=""skill fake-beer""> <link=""fake-beer-skill"">Backroom Brewing</link> and <sprite name=""skill malt-making""> <link=""malt-making"">Malt Making</link>, <sprite name=""res cat materials""> building materials</indent>\n\nThis upgrade installs a small brewing tank directly onto your <link=""production-fake-beer"">Backroom Beer Operation</link> that can produce <link=""fake-beer"">backroom beer</link> directly from <link=""barley"">barley</link> instead of <link=""home-brew"">homemade beer</link>.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>"
info.production-bathtub-gin.name	Fabrique de gin amateur	Bathtub Gin Operation
