Key	Spanish	English
info.fruit-brandy-skill.icon	"<sprite name=""skill fruit brandy"">"	"<sprite name=""skill fruit brandy"">"
info.fruit-brandy-skill.name	Brandi de ciruela	Plum Brandy
info.fruit-brandy-skill.desc	"<b>Esta habilidad regional solo está disponible en algunas ciudades.</b>\n\nTe enseña a fermentar y a destilar <sprite name=""res plums""> <link=""plums"">ciruelas</link> para conseguir un brebaje alcohólico fuerte llamado <sprite name=""res rakija""> <link=""rakija"">rakija</link>. Cuando tus miembros obtengan la habilidad, podrás <b>montar</b> un Alambique de rakija en un edificio que controle tu organización.\n\n<indent=30>Πολλὰ μεταξὺ πέλει κύλικος καὶ χείλεος ἄκρου.</indent>\n<indent=40>—Refrán griego</indent>"	"<b>Regional skill only available in some cities.</b>\n\nLearning this skill allows you to ferment and then distill <sprite name=""res plums""> <link=""plums"">plums</link> into a seriously alcoholic concoction called <sprite name=""res rakija""> <link=""rakija"">rakija</link>. Once acquired by your crew, you'll be able to <b>build</b> a Rakija Still in a building controlled by your outfit.\n\n<indent=30>Πολλὰ μεταξὺ πέλει κύλικος καὶ χείλεος ἄκρου.</indent>\n<indent=40>—Greek proverb</indent>"
info.corn-whiskey-skill.icon	"<sprite name=""skill whiskey-bottled"">"	"<sprite name=""skill whiskey-bottled"">"
info.corn-whiskey-skill.name	Producción de whisky de maíz	Corn Whiskey Manufacture
info.corn-whiskey-skill.desc	"<b>Esta habilidad regional solo está disponible en algunas ciudades.</b>\n\nTe permite convertir el <sprite name=""res corn""> <link=""corn"">maíz</link> en <sprite name=""res corn whiskey""> <link=""corn-whiskey"">whisky de maíz</link> en las ciudades donde haya demanda. Cuando tu organización obtenga la habilidad, podrás <b>montar</b> un Alambique de whisky de maíz.\n\n<indent=30><i>Lo que no cura el whisky, no lo cura nada.</i></indent>\n<indent=40>—Refrán irlandés</indent>"	"<b>Regional skill only available in some cities.</b>\n\nThis skill lets you convert <sprite name=""res corn""> <link=""corn"">corn</link> into <sprite name=""res corn whiskey""> <link=""corn-whiskey"">corn whiskey</link> in cities where there's demand for it. Once your crew has learned this skill, you'll be able to <b>build</b> a Corn Whiskey Still.\n\n<indent=30><i>What whiskey will not cure, there is no cure for.</i></indent>\n<indent=40>—Irish Proverb</indent>"
info.bourbon-sources.icon	"<sprite name=""skill whiskey-bottled"">"	"<sprite name=""skill whiskey-bottled"">"
info.bourbon-sources.name	Demanda de bourbon	Bourbon Demand
info.bourbon-sources.desc	"<b>Esta habilidad regional solo está disponible en algunas ciudades.</b>\n\nAl recibir esta habilidad, los negocios que consumen bourbon aparecerán en el mapa.\n\n<indent=30><i>En mi vida he visto a alguien de Kentucky que no llevase un arma, una baraja de cartas y una jarra de whisky.</i></indent>\n<indent=40>—Andrew Jackson</indent>"	"<b>Regional skill only available in some cities.</b>\n\nGaining this skill from someone reveals the businesses on the map that consume bourbon.\n\n<indent=30><i>I have never in my life seen a Kentuckian who didn’t have a gun, a pack of cards, and a jug of whiskey.</i></indent>\n<indent=40>—Andrew Jackson</indent>"
info.bourbon-making.icon	"<sprite name=""skill whiskey-bottled"">"	"<sprite name=""skill whiskey-bottled"">"
info.bourbon-making.name	Falsificación de bourbon	Bourbon Counterfeiting
info.bourbon-making.desc	"<b>Esta habilidad regional solo está disponible en algunas ciudades.</b>\n\nCuando hayas conocido a gente de Kentucky, quizás consigas animarles a que te enseñen a preparar <sprite name=""res bourbon""> <link=""bourbon"">bourbon</link> falseado. Al adquirir la información, podrás <b>montar</b> una Operación de embotellamiento de bourbon en un edificio que controle tu organización.\n\n<i><indent=30>Asegúrate de llevar siempre encima un botellón de whisky por si te muerde una serpiente; y no te olvides de la serpiente tampoco.</i></indent>\n<indent=40>—W.C. Fields</indent>"	"<b>Regional skill only available in some cities.</b>\n\nOnce you've got to know some Kentuckians, you might be able to persuade them into teaching you how to make counterfeit <sprite name=""res bourbon""> <link=""bourbon"">bourbon</link>. Once you've gained this piece of knowledge, you'll be able to <b>build</b> a Bourbon Bottling Operation in a building that your outfit controls.\n\n<i><indent=30>Always carry a flagon of whiskey in case of snakebite and furthermore always carry a small snake.</i></indent>\n<indent=40>—W.C. Fields</indent>"
info.barrel-aging.icon	"<sprite name=""skill whiskey-still"">"	"<sprite name=""skill whiskey-still"">"
info.barrel-aging.name	Añejo en barriles	Barrel Aging
info.barrel-aging.desc	"<b>Esta habilidad regional solo está disponible en algunas ciudades.</b>\n\nPermite que tus operaciones fabriquen barriles de <sprite name=""res whiskey-barrel""> whisky a partir del <sprite name=""res corn""> maíz. Cuando tu organización tenga esta habilidad, podrás <b>mejorar</b> tus Alambiques de whisky de maíz para que produzcan un par de barriles de whisky, además de botellas.\n\n<indent=30><i>Donde no hay cereal alguno es una señal de venganza hacia una ciudad.</i></indent>\n<indent=40>—Refrán sumerio</indent>"	"<b>Regional skill only available in some cities.</b>\n\nThis skill allows your operation to manufacture barrels of <sprite name=""res whiskey-barrel""> whiskey from <sprite name=""res corn""> corn. Once your outfit learns this skill, you'll be able to <b>upgrade</b> your corn whiskey stills to produce a few barrels of whiskey in addition to corn whiskey by the bottle.\n\n<indent=30><i>Where there is no grain, this is a sign of vengeance turned towards a city.</i></indent>\n<indent=40>—Sumerian Proverb</indent>"
info.sanitary-measures.icon	"<sprite name=""skill expansions"">"	"<sprite name=""skill expansions"">"
info.sanitary-measures.name	Medidas higiénicas	Sanitary Measures
info.sanitary-measures.desc	"La producción aumenta en las operaciones de elaboración de alcohol esterilizadas y limpias. Al aprender esta habilidad, podrás añadir la expansión de <b>Desinfectantes de vapor</b> a tus operaciones.\n\n<indent=30><i>Todo saldrá en la colada.</i></indent>\n<indent=40>—Miguel de Cervantes</indent>"	"Keeping your booze making operations as sterile and clean as possible will increase production. If you learn this skill, you will be able add the <b>Steam Sanitizers</b> expansion to your booze production operations.\n\n<indent=30><i>All will come out in the washing.</i></indent>\n<indent=40>—Miguel de Cervantes</indent>"
info.industrial-filters.icon	"<sprite name=""skill expansions"">"	"<sprite name=""skill expansions"">"
info.industrial-filters.name	Filtros industriales	Industrial Filters
info.industrial-filters.desc	"Los escombros, las partículas resultantes del procesado de materias primas y demás residuos que se acumulan durante los pasos previos a la fermentación y destilación pueden influir en el producto final de las operaciones de bebidas alcohólicas. Para lidiar con ello, puedes aprender esta habilidad, que te permite añadir la expansión de <b>Filtros industriales</b> a tus operaciones y aumentar así las cosechas de materias primas.\n\n<indent=30><i>Una vida sin industria es una de culpa, y una industria sin arte es crueldad en estado puro.</i></indent>\n<indent=40>—John Ruskin</indent>"	"Unwanted debris, particles left over from processing raw materials and other residues that accumulate during the processing of raw materials prior to fermentation and distillation can have an impact of the final product of your booze operations. To counter that, once you've learned this skill, you can add the <b>Industrial Filters</b> expansion to your operations to increase the yield from each batch of raw materials.\n\n<indent=30><i>Life without industry is guilt, and industry without art is brutality.</i></indent>\n<indent=40>—John Ruskin</indent>"
info.good-yeast.icon	"<sprite name=""skill expansions"">"	"<sprite name=""skill expansions"">"
info.good-yeast.name	Levadura de alta calidad	High Quality Yeast
info.good-yeast.desc	"Un honguito muy trabajador llamado levadura hace posible la fermentación. La capacidad que posee para producir alcohol a partir del azúcar de las plantas lo ha convertido en el microbio favorito de nuestra especie. La levadura industrial de calidad hace su labor mucho más rápido, por lo que, si consigues hacerte con ella, podrás instalar una expansión de <b>Levadura de alta calidad</b> en tus operaciones de producción para acelerar sus procesos.\n\n<indent=30><i>Cuanto más estudio la naturaleza, más me sorprende el trabajo de nuestro Creador. Rezo mientras trabajo en el laboratorio.</i></indent>\n<indent=40>—Louis Pasteur</indent>"	"Yeast - those industrious little fungi - are the engines of fermentation. They're ability to produce alcohol from simple plant sugars has made them our species' most favored microbe. Good top-quality industrial grade yeast does its job much faster, so if you get your hands on that, you can install a <b>High Quality Yeast</b> expansion in your booze production operations to make them run faster.\n\n<indent=30><i>The more I study nature, the more I stand amazed at the work of the Creator. I pray while I am engaged at my work in the laboratory.</i></indent>\n<indent=40>—Louis Pasteur</indent>"
info.trap-door.icon	"<sprite name=""skill expansions"">"	"<sprite name=""skill expansions"">"
info.trap-door.name	Trampillas	Trap Doors
info.trap-door.desc	"La prohibición supuso un problema para los bares: se debía tener suficiente alcohol a mano para los clientes, pero no demasiado para así evitar a la justicia en caso de una redada policíaca. La solución era simple; hacían falta trampillas. Al aprender esta habilidad, podrás instalar <b>Trampillas</b> para tus contrabandistas y en tus bares clandestinos para aumentar la cantidad de alcohol que puedes vender al día.\n\n<indent=30><i>Nada se mueve más rápido que un secreto.</i></indent>\n<indent=40>—Letitia Elizabeth Landon</indent>"	"Prohibition presents barkeeps with a conundrum - the need to keep sufficient booze on hand for customers but not so much that in the event of a raid, the cops abscond with an undue amount. The answer? Secret doors. Learning this skill allows you to install <b>Trap Doors</b> in your bootleggers and speakeasies to increase the amount of booze they can sell each day.\n\n<indent=30><i>Nothing circulates so rapidly as a secret.</i></indent>\n<indent=40>—Letitia Elizabeth Landon</indent>"
info.printed-promotions.icon	"<sprite name=""skill expansions"">"	"<sprite name=""skill expansions"">"
info.printed-promotions.name	Promociones impresas	Printed Promotions
info.printed-promotions.desc	"¿Te has amistado con alguien con una impresora o que consuma una cantidad importante de material impreso? De ser el caso, aprovecha para que te enseñe todo sobre la impresión. Al adquirir esta habilidad, podrás construir la expansión de <b>Promociones impresas</b> en un bar clandestino que controles para vender más alcohol al día.\n\n<indent=30><i>Though an angel should write, still 'tis devils must print.</i></indent>\n<indent=40>—Thomas Moore</indent>"	"Have you made friends with a printer or someone who consumes a large amount of printed material? You can take advantage of that by having them teach you the ins and outs of printing. Once you acquire this skill, you'll be able to build the <b>Printed Promotions</b> expansion in a speakeasy that you control to sell more booze per day.\n\n<indent=30><i>Though an angel should write, still 'tis devils must print.</i></indent>\n<indent=40>—Thomas Moore</indent>"
info.bootleg-whiskey.icon	"<sprite name=""skill whiskey-bottled"">"	"<sprite name=""skill whiskey-bottled"">"
info.bootleg-whiskey.name	Whisky de contrabando	Bootleg Whiskey
info.bootleg-whiskey.desc	"Aprende a elaborar algo similar al <sprite name=""res whisky""> <link=""whiskey-bottled"">whisky</link>. Serás consciente de que no es lo mismo y tus clientes también, pero la gente está desesperada.\n\nAl adquirir esta habilidad, podrás <b>montar</b> un <i>Alambique de whisky improvisado</i> en un edificio que controle tu organización.\n\n<indent=30><i>Perplexed and troubled at his bad success, the Tempter stood, nor had what to reply, discovered in his fraud, thrown from his hope.</i></indent>\n<indent=40>—John Milton</indent>"	"Learn to make something that looks like <sprite name=""res whisky""> <link=""whiskey-bottled"">whiskey</link>. You'll know it's not quite right. Your customers will know it's not quite right. But these are desperate times.\n\nAcquiring this skill allows you to <b>build</b> a <i>makeshift whiskey still</i> in a building controlled by your outfit.\n\n<indent=30><i>Perplexed and troubled at his bad success, the Tempter stood, nor had what to reply, discovered in his fraud, thrown from his hope.</i></indent>\n<indent=40>—John Milton</indent>"
info.bootleg-vodka.icon	"<sprite name=""skill vodka-bottled"">"	"<sprite name=""skill vodka-bottled"">"
info.bootleg-vodka.name	Vodka de contrabando	Bootleg Vodka
info.bootleg-vodka.desc	"Aprende a elaborar algo similar al <sprite name=""res vodka""> <link=""vodka-bottled"">vodka</link>. Serás consciente de que no es lo mismo y tus clientes también, pero la gente está desesperada.\n\nAl adquirir esta habilidad, podrás <b>montar</b> un <i>Alambique de vodka improvisado</i> en un edificio que controle tu organización.\n\n<indent=30><i>And, after all, what is a lie? 'Tis but the truth in masquerade.</i></indent>\n<indent=40>—Lord Byron</indent>"	"Learn to make something that looks like <sprite name=""res vodka""> <link=""vodka-bottled"">vodka</link>. You'll know it's not quite right. Your customers will know it's not quite right. But these are desperate times.\n\nAcquiring this skill allows you to <b>build</b> a <i>makeshift vodka still</i> in a building controlled by your outfit.\n\n<indent=30><i>And, after all, what is a lie? 'Tis but the truth in masquerade.</i></indent>\n<indent=40>—Lord Byron</indent>"
info.bootleg-brandy.icon	"<sprite name=""skill brandy-bottled"">"	"<sprite name=""skill brandy-bottled"">"
info.bootleg-brandy.name	Brandi de contrabando	Bootleg Brandy
info.bootleg-brandy.desc	"Aprende a elaborar algo similar al <sprite name=""res brandy""> <link=""brandy-bottled"">brandi</link>. Serás consciente de que no es lo mismo y tus clientes también, pero la gente está desesperada.\n\nAl adquirir esta habilidad, podrás <b>montar</b> un <i>Alambique de brandi improvisado</i> en un edificio que controle tu organización.\n\n<indent=30><i>Perplexed and troubled at his bad success, the Tempter stood, nor had what to reply, discovered in his fraud, thrown from his hope.</i></indent>\n<indent=40>—John Milton</indent>"	"Learn to make something that looks like <sprite name=""res brandy""> <link=""brandy-bottled"">brandy</link>. You'll know it's not quite right. Your customers will know it's not quite right. But these are desperate times.\n\nAcquiring this skill allows you to <b>build</b> a <i>makeshift brandy still</i> in a building controlled by your outfit.\n\n<indent=30><i>Perplexed and troubled at his bad success, the Tempter stood, nor had what to reply, discovered in his fraud, thrown from his hope.</i></indent>\n<indent=40>—John Milton</indent>"
info.bootleg-rum.icon	"<sprite name=""skill rum-bottled"">"	"<sprite name=""skill rum-bottled"">"
info.bootleg-rum.name	Ron de contrabando	Bootleg Rum
info.bootleg-rum.desc	"Aprende a elaborar algo similar al <sprite name=""res rum""> <link=""rum-bottled"">ron</link>. Serás consciente de que no es lo mismo y tus clientes también, pero la gente está desesperada.\n\nAl adquirir esta habilidad, podrás <b>montar</b> un <i>Alambique de ron improvisado</i> en un edificio que controle tu organización.\n\n<indent=30><i>And, after all, what is a lie? 'Tis but the truth in masquerade.</i></indent>\n<indent=40>—Lord Byron</indent>"	"Learn to make something that looks like <sprite name=""res rum""> <link=""rum-bottled"">rum</link>. You'll know it's not quite right. Your customers will know it's not quite right. But these are desperate times.\n\nAcquiring this skill allows you to <b>build</b> a <i>makeshift rum still</i> in a building controlled by your outfit.\n\n<indent=30><i>And, after all, what is a lie? 'Tis but the truth in masquerade.</i></indent>\n<indent=40>—Lord Byron</indent>"
info.whiskey-still.icon	"<sprite name=""skill whiskey-still"">"	"<sprite name=""skill whiskey-still"">"
info.whiskey-still.name	Alambiques de whisky pequeños	Small Whiskey Stills
info.whiskey-still.desc	"Aprende a montar un alambique de whisky de verdad para fabricar <sprite name=""res whiskey-barrel""> <link=""whiskey-barrel"">barriles de whisky</link>.\n\nAl adquirir esta habilidad, podrás <b>montar</b> un <i>Alambique de whisky pequeño</i> en un edificio que controle tu organización.\n\n<indent=30><i>The light music of whisky falling into glasses made an agreeable interlude.</i></indent>\n<indent=40>—James Joyce</indent>"	"Learn how to build a proper whiskey still to manufacture <sprite name=""res whiskey-barrel""> <link=""whiskey-barrel"">whiskey barrels</link>.\n\nAcquiring this skill allows you to <b>build</b> a <i>small whiskey still</i> in a building controlled by your outfit.\n\n<indent=30><i>The light music of whisky falling into glasses made an agreeable interlude.</i></indent>\n<indent=40>—James Joyce</indent>"
info.brandy-still.icon	"<sprite name=""skill brandy-still"">"	"<sprite name=""skill brandy-still"">"
info.brandy-still.name	Alambiques de brandi pequeños	Small Brandy Stills
info.brandy-still.desc	"Aprende a montar un alambique de brandi de verdad para fabricar <sprite name=""res brandy-barrel""> <link=""brandy-barrel"">barriles de brandi</link>.\n\nAl adquirir esta habilidad, podrás <b>montar</b> un <i>Alambique de brandi pequeño</i> en un edificio que controle tu organización.\n\n<indent=30><i>Tomó otro trago de brandi, sacudiendo su gran cabeza imparcial cual hombre al que le aguarda lo peor.</i></indent>\n<indent=40>—Robert Louis Stevenson</indent>"	"Learn how to build a proper brandy still to manufacture<sprite name=""res brandy-barrel""><link=""brandy-barrel"">brandy barrels</link>.\n\nAcquiring this skill allows you to <b>build</b> a <i>small brandy still</i> in a building controlled by your outfit.\n\n<indent=30><i>He took another swallow of the brandy, shaking his great fair head like a man who looks forward to the worst.</i></indent>\n<indent=40>—Robert Louis Stevenson</indent>"
info.rum-still.icon	"<sprite name=""skill rum-still"">"	"<sprite name=""skill rum-still"">"
info.rum-still.name	Alambiques de ron pequeños	Small Rum Stills
info.rum-still.desc	"Aprende a montar un alambique de ron de verdad para fabricar <sprite name=""res barrel-rum""> <link=""rum-barrel"">barriles de ron</link>.\n\nAl adquirir esta habilidad, podrás <b>montar</b> un <i>Alambique de ron pequeño</i> en un edificio que controle tu organización.\n\n<indent=30><i>Todos los caminos llevan al ron.</i></indent>\n<indent=40>—W.C. Fields</indent>"	"Learn how to build a proper rum still to manufacture <sprite name=""res rum-barrel""> <link=""rum-barrel"">rum barrels</link>.\n\nAcquiring this skill allows you to <b>build</b> a <i>small rum still</i> in a building controlled by your outfit.\n\n<indent=30><i>All roads lead to rum.</i></indent>\n<indent=40>—W.C. Fields</indent>"
info.vodka-still.icon	"<sprite name=""skill vodka-still"">"	"<sprite name=""skill vodka-still"">"
info.vodka-still.name	Alambiques de vodka pequeños	Small Vodka Stills
info.vodka-still.desc	"Aprende a montar un alambique de vodka de verdad para fabricar <sprite name=""res vodka-barrel""> <link=""vodka-barrel"">barriles de vodka</link>.\n\nAl adquirir esta habilidad, podrás <b>montar</b> un <i>Alambique de vodka pequeño</i> en un edificio que controle tu organización.\n\n<indent=30><i>Tras un cigarro o una copa de vodka... el ego se te divide y empiezas a hablar sobre ti en la tercera persona.</i></indent>\n<indent=40>—Anton Chekhov</indent>"	"Learn how to build a proper vodka still to manufacture <sprite name=""res vodka-barrel""> <link=""vodka-barrel"">vodka barrels</link>.\n\nAcquiring this skill allows you to <b>build</b> a <i>small vodka still</i> in a building controlled by your outfit.\n\n<indent=30><i>After a cigar or a glass of vodka ... your ego breaks in two: you begin to think of yourself in the third person.</i></indent>\n<indent=40>—Anton Chekhov</indent>"
info.booze-bottling.icon	"<sprite name=""skill booze-bottling"">"	"<sprite name=""skill booze-bottling"">"
info.booze-bottling.name	Embotellamiento de alcohol	Booze Bottling
info.booze-bottling.desc	"Aprende a envasar el alcohol en <sprite name=""res bottles""> <link=""bottles"">botellas</link> con <sprite name=""res labels""> <link=""labels"">etiquetas</link> y demás.\n\nAl adquirir esta habilidad, podrás <b>montar</b> una <i>Operación de embotellamiento pequeña</i> en un edificio que controle tu organización.\n\n\n\n<indent=30><i>By night the skyscraper looms in the smoke and the stars and has a soul.</i></indent>\n<indent=40>—Carl Sandburg</indent>"	"Learn how put booze in <sprite name=""res bottles""> <link=""bottles"">bottles</link>, with <sprite name=""res labels""> <link=""labels"">labels</link> and everything.\n\nAcquiring this skill allows you to <b>build</b> a <i>small bottling operation</i> in a building controlled by your outfit.\n\n\n\n<indent=30><i>By night the skyscraper looms in the smoke and the stars and has a soul.</i></indent>\n<indent=40>—Carl Sandburg</indent>"
info.backroom-bootlegging.icon	"<sprite name=""skill backroom-bootlegging"">"	"<sprite name=""skill backroom-bootlegging"">"
info.backroom-bootlegging.name	Contrabando de trastienda	Backroom Bootlegging
info.backroom-bootlegging.desc	"Esta habilidad te permite prescindir del intermediario y vender cantidades pequeñas de alcohol casero a los clientes más sedientos directamente.\n\nAl adquirir esta habilidad, podrás <b>montar</b> una <i><link=""backroom-bootlegger"">Operación de contrabando de trastienda</link></i> en un edifico que controle tu organización.\n\n<indent=30><i>Sixty days ain't long if you can spend them as you choose. But this seems like jail than a cell where there ain't no booze. My life is all a misery when I cannot get my booze.</i></indent>\n<indent=40>—Ma Rainey</indent>"	"This skill lets cut out the middleman and sell small amounts of homemade booze directly to thirsty customers.\n\nAcquiring this skill allows you to <b>build</b> a <i><link=""backroom-bootlegger"">backroom bootlegging operation</link></i> in a building controlled by your outfit.\n\n<indent=30><i>Sixty days ain't long if you can spend them as you choose. But this seems like jail than a cell where there ain't no booze. My life is all a misery when I cannot get my booze.</i></indent>\n<indent=40>—Ma Rainey</indent>"
info.local-speakeasies.icon	"<sprite name=""skill speakeasy"">"	"<sprite name=""skill speakeasy"">"
info.local-speakeasies.name	Bares clandestinos de la esquina	Corner Speakeasies
info.local-speakeasies.desc	"Mejora tu operación de contrabando y conviértela en un bar clandestino hecho y derecho en el que vender toda clase de alcohol casero y alguna que otra cosa.\n\nAl adquirir esta habilidad, podrás <b>montar</b> un <i><link=""corner-speakeasy"">Bar clandestino</link></i> en un edificio que controle tu organización o <b>mejorar</b> una de tus operaciones de contrabando de trastienda.\n\n<indent=30><i>Los bares clandestinos han sustituido a las cantinas; ha surgido un ejército de malhechores; muchos de nuestros mejores ciudadanos han ignorado la ley seca públicamente.</i></indent>\n<indent=40>—John D. Rockefeller</indent>"	"Upgrade your bootlegging operation to be a full speakeasy that can sell all types of homemade booze. And even a few other things.\n\nAcquiring this skill allows you to <b>build</b> a <i><link=""corner-speakeasy"">corner speakeasy</link></i> in a building controlled by your outfit or to <b>upgrade</b> one of your expanded back room bootlegging operations.\n\n<indent=30><i>The speakeasy has replaced the saloon; a vast army of lawbreakers has appeared; many of our best citizens have openly ignored Prohibition.</i></indent>\n<indent=40>—John D. Rockefeller</indent>"
info.supper-clubs.icon	"<sprite name=""skill supper-club"">"	"<sprite name=""skill supper-club"">"
info.supper-clubs.name	Clubes de lujo	Supper Clubs
info.supper-clubs.desc	"Los clubes de lujo surgieron tras la aprobación de la Decimoctava Enmienda. Se convirtieron en lugares populares en los que reunirse y comer (y beber también) sin preocuparse por las autoridades.\n\nAl aprender esta habilidad, podrás montar un <i>Club de lujo</i> en un edificio que controle tu organización.\n\n<indent=30><i>Don't your house look lonesome, when your baby pack up and leave. You may drink your moonshine, but, baby, your heart ain't free.</i></indent>\n<indent=40>—Blind Lemon Jefferson</indent>"	"Supper clubs quickly sprang up after the passage of the 18th Amendment. These private clubs proved popular for people to gather and eat (and drink) away from the prying eyes of authorities.\n\nOnce learned, you can build a <i>supper club</i> in a building controlled by your outfit.\n\n<indent=30><i>Don't your house look lonesome, when your baby pack up and leave. You may drink your moonshine, but, baby, your heart ain't free.</i></indent>\n<indent=40>—Blind Lemon Jefferson</indent>"
info.large-clubs.icon	"<sprite name=""skill expanded-venues"">"	"<sprite name=""skill expanded-venues"">"
info.large-clubs.name	Recintos expansivos	Expansive Venues
info.large-clubs.desc	"Hazte con el prestigio definitivo montando tu propio recinto de entretenimiento de primera clase. ¿Será un salón de baile, un club de jazz o un restaurante para cenas gourmet? Sea cual sea tu elección, seguro que acaba siendo el destino favorito de la ciudad entera.\n\n<indent=30><i>Los músicos de blues no se retiran, caen.</i></indent>\n<indent=40>—Buddy Guy</indent>"	"Achieve the ultimate in prestige by opening your own top-flight entertainment venue. Dance hall? Jazz club? Fine dining restaurant? What ever you choose, it's sure to become the city's go-to destination.\n\n<indent=30><i>Blues musicians don't retire. They drop.</i></indent>\n<indent=40>—Buddy Guy</indent>"
info.businesses.desc	"Detrás de toda vidriera y todo muelle de carga, entre estanterías y almacenes, se encuentran los negocios que conforman el núcleo económico de la ciudad.\n\nLas empresas no siempre son lo que parecen; sus actividades legales suelen ocultar otras menos lícitas en trastiendas o sótanos. En estos negocios, adquieres la materia prima, vendes los frutos de tu trabajo, gestionas los <link=""vehicles"">vehículos</link> y demás cosas.\n\nAl hacerte con el <sprite name=""ui pip social expansion""> <link=""controlled-buildings"">control de un edificio</link>, habrá quien se encargue del negocio y mantenga las apariencias mientras tu organización usa la trastienda y el sótano para montar nuevas operaciones."	"Behind each storefront window, beyond each loading dock, amid shelves and storage, businesses are the economic heart of the city.\n\nSome of the enterprises are not what they immediately seem - their legal pursuits belie other, less legal activities taking place in back rooms and basements. Businesses are were you buy raw materials, sell the fruits of your own illicit endeavors, deal with <link=""vehicles"">vehicles</link> and basically everything else.\n\nOnce you <sprite name=""ui pip social expansion""> <link=""controlled-buildings"">gain control of a building</link>, someone keeps up appearances by continuing business as usual and your outfit is then free to use the backrooms and basements to establish a new operation."
info.controlled-buildings.icon	"<sprite name=""ui pip social expansion"">"	"<sprite name=""ui pip social expansion"">"
info.controlled-buildings.name	Edificios controlados	Controlled Buildings
info.controlled-buildings.desc	"Los negocios que controlan las organizaciones y en los que se pueden montar operaciones.\n\nUna organización, ya sea la tuya o una <link=""rivals"">rival</link>, puede cobrarse un <link=""favors"">favor</link> por haber ayudado en el pasado a un negocio aliado para expandirse a otro local cercano. Los posibles edificios son aquellos que estén en el <link=""territory"">territorio</link> de la organización, por lo que las opciones aumentan conforme se expanda la zona controlada. La organización aporta los fondos necesarios para hacerse con el edificio y, después, el negocio aliado envía a un miembro de la familia a montar un <link=""businesses"">negocio legítimo</link> para que la operación de la organización cuente con una tapadera. Mantente al tanto de los dueños que te deban un <sprite name=""ui tickets""> favor y que sepan de <sprite name=""ui pip social expansion""> alguna oportunidad de expansión."	"A business controlled by an outfit where operations can be established.\n\nAn outfit, either yours or a <link=""rivals"">rival outfit</link>, can redeem a <link=""favors"">favor</link> that was earned in doing business with them to expand into a nearby business. The business will only look for potential buildings to take over that are already within your outfit's <link=""territory"">territory</link>, so the more territory you control, the greater the number of potential buildings. The outfit provides the funding to get into the building and then your friendly business sends in a family member to run a a <link=""businesses"">legitimate business</link> while the outfit's operations hum along out of sight. Be on the lookout for owners that owe you a <sprite name=""ui tickets""> favor and know about a potential <sprite name=""ui pip social expansion""> take over opportunity."
info.favors.icon	"<sprite name=""ui tickets"">"	"<sprite name=""ui tickets"">"
info.favors.name	Favores	Favors
info.favors.desc	"Necesitas contactos para tener éxito en el mundo.\n\nConforme vayas desarrollando relaciones y ganándote la confianza de tus conocidos, estos querrán ayudarte. Los <sprite name=""ui tickets""> favores son clave, ya que te permiten aprovechar la <sprite name=""ui pip social""> <link=""relationships"">confianza</link> para lograr los objetivos de tu organización. Puedes usarlos para:\n<indent=20><sprite name=""ui social biz intro""> <link=""introductions"">Conocer a otros dueños de negocios</link>\n<sprite name=""ui pip social""> <link=""boost"">Aumentar la confianza con los dueños de negocios conocidos</link>\n<sprite name=""ui pip social expansion""> <link=""controlled-buildings"">Hacerse con el control de un edificio</link>\n<sprite name=""ui social goon intro""> <link=""goons"">Conocer a camorreros locales</link>\n<sprite name=""police station""> <link=""police"">Conocer a agentes de la policía local</link>\n<sprite name=""ui pip territory expand""> <link=""fronts"">Establecer un nuevo frente para expandir el territorio</link>\n<sprite name=""ui skills""> <link=""skills"">Aprender nuevas habilidades</link>\n<sprite name=""ui crew list""> <link=""crew"">Encontrar nuevos miembros</link>\n</indent>"	"You gotta know someone to get things done\n\nAs you expand your relationship and build trust with people, they'll want to help you out in all sorts of ways. <sprite name=""ui tickets""> Favors are a key way that you can use their <sprite name=""ui pip social""> <link=""relationships"">trust</link> to advance your outfit's interests. Favors can be redeemed for:\n<indent=20><sprite name=""ui social biz intro""> <link=""introductions"">Introductions to other business owners</link>\n<sprite name=""ui pip social""> <link=""boost"">An increase trust level with business owners you already know</link>\n<sprite name=""ui pip social expansion""> <link=""controlled-buildings"">Acquiring control of a building</link>\n<sprite name=""ui social goon intro""> <link=""goons"">Introductions to local hooligans</link>\n<sprite name=""police station""> <link=""police"">Introductions to local police officers</link>\n<sprite name=""ui pip territory expand""> <link=""fronts"">Establishing a new front to expand your territory</link>\n<sprite name=""ui skills""> <link=""skills"">Learning new skills</link>\n<sprite name=""ui crew list""> <link=""crew"">Finding a new crew member</link>\n• What else?</indent>"
info.introductions.icon	"<sprite name=""ui social biz intro"">"	"<sprite name=""ui social biz intro"">"
info.introductions.name	Presentaciones	Introductions
info.introductions.desc	"Haz que un amigo te presente a un conocido interesante.\n\nCóbrate el <sprite name=""ui tickets""> <link=""favors"">favor</link> de un socio de negocios por haberlo ayudado en el pasado para que te presente a alguien que quiera comprarte productos o venderte materiales que necesites en la producción."	"Have a friend introduce you to someone potentially useful.\n\nRedeem a <sprite name=""ui tickets""> <link=""favors"">favor</link> that you've earned with a business associate to learn about someone that they know who might buy what you've got for sale or could sell you something that you could use in production."
info.boost.icon	"<sprite name=""ui pip social"">"	"<sprite name=""ui pip social"">"
