KEY	Korean	English
__id	ko	en

		;; encyclopedia

pedia.dialog.title	금주법 백과사전	Prohibition Encyclopedia
pedia.dialog.default-text	자세한 내용을 보려면 왼쪽의 주제 중 하나를 선택하세요. 특정 주제에 대해 더 자세히 알아보려면 링크를 따르세요.	Select one of the topics on the left to learn more. Follow links to dig further into a topic.
pedia.dialog.entry	<b><size=120%>{name}</size></b>\n\n{desc}	<b><size=120%>{name}</size></b>\n\n{desc}

pedia.cat.resources	자원	Resources
pedia.cat.businesses	비즈니스 종류	Business Types
pedia.cat.skills	스킬	Skills
pedia.cat.gameplay	게임플레이	Gameplay
pedia.cat.gambling	도박	Gambling
pedia.cat.others	Other

info.production-corn-whiskey.name	옥수수 위스키 증류소
info.production-corn-whiskey.desc	<b>특정 도시에서만 이용 가능한 제조소입니다.</b>\n\n<indent=10>옥수수와 병으로 옥수수 위스키를 만듭니다.\n<b><sprite name="res corn"> + <sprite name="res bottles"> <sprite name="ui arr sm right"> <sprite name="res corn whiskey"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill corn distillation"><link="corn-whiskey-skill">옥수수 위스키 제조</link>, <sprite name="res cash"> 1800, <sprite name="res steel-barrels"> 5, <sprite name="res pipes"> 8</indent>\n\n설치 후 <link="corn">옥수수</link>와 <link="bottles">병</link>을 공급하면, 이 제조소에서 만든 <link="corn-whiskey">옥수수 위스키</link>를 도시의 상점이나 <link="backroom-bootlegger">비밀 창고</link> 및 구석 술집에서 판매할 수 있습니다.

info.production-homemade-brandy.name	양조 브랜디 증류소
info.production-homemade-brandy.desc	<b>특정 도시에서만 이용 가능한 제조소입니다.</b>\n\n<indent=10>과일이나 감귤류, 작은 배럴, 항아리로 양조 브랜디를 만듭니다.\n<b><sprite name="res fruit"> + <sprite name="res half-barrel"> + <sprite name="res jugs"> <sprite name="ui arr sm right"> <sprite name="res homemade-brandy">\n<sprite name="res citrus"> + <sprite name="res half-barrel"> + <sprite name="res jugs"> <sprite name="ui arr sm right"> <sprite name="res homemade-brandy"></b>\n\n<b>필요한 것:</b>\n<sprite name="ui skills"><link="homemade-brandy-making">양조 브랜디 제조</link><sprite name="res cash"> 1000, <sprite name="res steel-barrels"> 10, <sprite name="res bricks"> 4</indent>\n\n설치 후 <link="fruit-other">과일</link>이나 <link="citrus">감귤류</link>, <link="half-barrel">작은 배럴</link>, <link="crocks">항아리</link>를 공급하면, 이 제조소에서 만든 <link="homemade-brandy">양조 브랜디</link>를 도시의 상점이나 구석 술집에서 판매할 수 있습니다.

info.conversion-grape-juice.name	포도 프레스
info.conversion-grape-juice.desc	<indent=10>포도와 작은 배럴로 포도 벽돌을 만듭니다.\n<b><sprite name="res grapes"> + <sprite name="res half-barrel"> <sprite name="ui arr sm right"> <sprite name="res grape-juice"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill grape-press"> <link="grape-press">포도 프레스</link>,  <sprite name="res cash">750,  <sprite name="res pipes"> 5,  <sprite name="res barrels"> 25,  <sprite name="res bricks"> 6</indent>\n\n설치 후 <link="grapes">포도</link>와 <link="half-barrel">작은 배럴</link>을 공급하면, 이 주스 프레스는 <link="grape-juice">포도 벽돌</link>을 생산하여 <link="brick-wine">벽돌 와인</link>을 만들거나 다른 발효 및 인퓨전 작업에 사용할 수 있습니다. 포도 벽돌을 직접 만드는 것이 시장에서 구입하는 것보다 더 신뢰할 수 있고 저렴할 수 있습니다. 이 작업을 잘 다룬 경험이 있는 승무원이 있다면, <link="Improved Grape Press">개선된 포도 프레스</link>로 업그레이드할 수 있습니다.\n\n<i><indent=30>Uvaque conspecta livorem ducit ab uva.</i>\n</indent><indent=40>—Juvenal</indent>

info.conversion-apple-juice.name	사과 주스 프레스
info.conversion-apple-juice.desc	<indent=10>사과와 작은 배럴로 사과 주스를 만듭니다.\n<b><sprite name="res apples"> + <sprite name="res half-barrel"> <sprite name="ui arr sm right"> <sprite name="res apple-juice"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill apple-press"> <link="apple-press">사과 프레스</link>,  <sprite name="res cash">750,  <sprite name="res pipes"> 5,  <sprite name="res half-barrel"> 25,  <sprite name="res bricks"> 6</indent>\n\n설치 후 <link="apples">사과</link>와 <link="half-barrel">작은 배럴</link>을 공급하면, 이 주스 프레스는 <link="apple-juice">사과 주스</link>를 생산하여 <link="cider">하드 사이다</link>를 만들 수 있습니다. 사과 주스를 직접 만드는 것이 시장에서 구입하는 것보다 더 신뢰할 수 있고 저렴할 수 있습니다. 이 작업을 잘 다룬 경험이 있는 승무원이 있다면, <link="Improved Apple Juice Press">개선된 사과 주스 프레스</link>로 업그레이드할 수 있습니다.\n\n<i><indent=30>주름 잡힌 사과도 여전히 좋은 냄새가 난다.</i>\n</indent><indent=40>—브르타뉴 속담</indent>

info.conversion-neutral-alcohol.name	기본 증류소
info.conversion-neutral-alcohol.desc	<indent=10>옥수수 시럽과 병으로 중성 알코올을 만듭니다.\n<b><sprite name="res corn-syrup"> + <sprite name="res bottles"> <sprite name="ui arr sm right"> <sprite name="res alcohol-btl"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill backroom-distillation"> <link="backroom-distillation">임시 증류기</link>,  <sprite name="res cash">1500,  <sprite name="res steel-barrels"> 25,  <sprite name="res sheet metal"> 25</indent>\n\n설치 후 <link="corn-syrup">옥수수 시럽</link>과 <link="bottles">병</link>을 공급하면, 이 증류소에서 만든 <link="neutral-alcohol">중성 알코올</link>을 사용하여 <link="moonshine">밀주</link>를 만들거나 다른 강력한 음료를 만드는 재료로 사용할 수 있습니다. 중성 알코올을 직접 만드는 것이 시장에서 구입하는 것보다 더 신뢰할 수 있고 저렴할 수 있습니다. 이 작업을 잘 다룬 경험이 있는 승무원이 있다면, <link="Improved Backroom Distillery">개선된 비밀 창고 증류소</link>로 업그레이드할 수 있습니다.\n\n<i><indent=30>기회가 있을 때 마시고, 때로는 기회가 없어도 마신다.</i>\n</indent><indent=40>—미겔 데 세르반테스</indent>

info.conversion-malt.name	맥아 처리기
info.conversion-malt.desc	<indent=10>보리로 맥아 시럽을 만듭니다.\n<b><sprite name="res corn-syrup"> <sprite name="ui arr sm right"> <sprite name="res malt"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill malt-making"> <link="malt-making">맥아 만들기</link>,  <sprite name="res cash">750,  <sprite name="res pipes"> 5,  <sprite name="res jugs"> 50,  <sprite name="res bricks"> 6</indent>\n\n설치 후 <link="corn-syrup">옥수수 시럽</link>을 공급하면, 이 맥아 처리기는 <link="malt">맥아 시럽</link>을 생산하여 <link="home-brew">홈브루</link>를 만들거나 양조에 사용할 수 있습니다. 맥아 시럽을 직접 만드는 것이 시장에서 구입하는 것보다 더 신뢰할 수 있고 저렴할 수 있습니다. 이 작업을 잘 다룬 경험이 있는 승무원이 있다면, <link="Improved Malt Processor">개선된 맥아 처리기</link>로 업그레이드할 수 있습니다.\n\n<i><indent=30>양조자는 평균적인 맥아로 아주 좋은 맥주를 만들 수 있지만, 그의 노력이 다시 맥아 집으로 돌아가면 더 확실하고 신뢰할 수 있는 결과를 얻을 수 있습니다.</i>\n</indent><indent=40>—헨리 스토프스</indent>

info.conversion-ice-house.name	얼음 창고
info.conversion-ice-house.desc	<indent=10>가솔린을 사용하여 냉장고를 작동시켜 물을 얼음으로 만듭니다.\n<b><sprite name="res gasoline"> <sprite name="ui arr sm right"> <sprite name="res ice"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill ice making"> <link="ice-making">얼음 만들기</link>, <sprite name="res cash"> 800, <sprite name="res pipes"> 8, <sprite name="res lumber"> 8, <sprite name="res bricks"> 6</indent>\n\n설치 후 <link="gasoline">가솔린</link>을 공급하면, 이 작업은 <link="ice">얼음</link>을 생산하여 <link="apple-jack">애플잭</link>과 <link="champagne">샴페인</link>을 만들 수 있습니다. 얼음을 직접 만드는 것이 시장에서 구입하는 것보다 더 신뢰할 수 있고 저렴할 수 있습니다.\n\n<i><indent=30><i>문명의 시작은 증류로부터 시작된다.</i></indent>\n<indent=40>—윌리엄 포크너</indent>

info.conversion-labels.name	위조 라벨 프린터
info.conversion-labels.desc	<indent=10>종이를 위조 라벨로 변환합니다.\n<b><sprite name="res paper"> <sprite name="ui arr sm right"> <sprite name="res labels"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill labels"> <link="label-counterfeiting">라벨 위조</link>, <sprite name="res sheet metal"> 5, <sprite name="res lumber"> 10, <sprite name="res bricks"> 10</indent>\n\n설치 후 <link="paper">종이</link>를 공급하면 이 작업은 <link="labels">라벨</link>을 생산하여 다양한 종류의 병 술을 만드는 데 필요합니다. 직접 라벨을 만드는 것이 시장에서 구입하는 것보다 더 신뢰할 수 있고 저렴할 수 있습니다.\n\n<i><indent=30><i>와인이 들어가면, 기묘한 일이 일어난다.</i></indent>\n<indent=40>—Johann Schiller</indent>

info.production-fake-wine.name	와인 작업
info.production-fake-wine.desc	<indent=10>벽돌 와인, 라벨, 병을 사용하여 위조 와인을 만듭니다.\n<b><sprite name="res brick-wine"> + <sprite name="res bottles"> + <sprite name="res labels"> <sprite name="ui arr sm right"> <sprite name="res fake-wine"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill fake-wine"> <link="fake-wine-skill">와인 제작</link>,  <sprite name="res cash">2000,  <sprite name="res barrels"> 20,  <sprite name="res pipes"> 5,  <sprite name="res bricks"> 7</indent>\n\n<link="homemade-booze">양조주</link>은 직접 판매하거나 <link="refined-booze">정제된 술</link>을 만드는 기초 재료로 사용할 수 있습니다. 이 작업은 <link="brick-wine">벽돌 와인</link>을 가져와 <link="bottles">병</link>에 담고 <link="labels">라벨</link>을 붙여 위조 와인을 만듭니다. 완성된 제품은 도시 전역의 여러 사업체에 판매하거나, 자신의 <link="corner-speakeasy">코너 스피크이지</link>나 식당에서 판매할 수 있습니다. <link="production-fake-wine-upgraded">와이너리</link>로 업그레이드하면 <link="grapes">포도</link>에서 직접 위조 와인을 만들 수 있습니다.\n\n<i><indent=30>Le vin n'est pas une fabrication régie par des règles scientifiques, mais un art dépendant uniquement du goût.</i>\n</indent><indent=40>—Raymond Dumay</indent>

info.production-fake-wine-upgraded.name	와이너리
info.production-fake-wine-upgraded.desc	<indent=10>포도, 라벨, 병을 사용하여 위조 와인을 만듭니다.\n<b><sprite name="res grapes"> + <sprite name="res bottles"> + <sprite name="res labels"> <sprite name="ui arr sm right"> <sprite name="res fake-wine"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill fake-wine"> <link="fake-wine-skill">와인 제작</link> 및 <sprite name="skill grape-press"> <link="grape-press">포도 프레스</link>, <sprite name="res cat materials">건축 자재</indent>\n\n이 업그레이드는 <link="production-fake-wine">와인 작업</link>에 와인 프레스를 설치하여, <link="brick-wine">벽돌 와인</link> 대신 <link="grapes">포도</link>에서 직접 <link="fake-wine">위조 와인</link>을 만들 수 있게 합니다.\n\n<i><indent=30>Le vin n'est pas une fabrication régie par des règles scientifiques, mais un art dépendant uniquement du goût.</i>\n</indent><indent=40>—Raymond Dumay</indent>

info.production-sparkling-cider.name	스파클링 사이다 작업
info.production-sparkling-cider.desc	<indent=10>하드 사이다, 설탕, 작은 병을 사용하여 스파클링 사이다를 만듭니다.\n<b><sprite name="res cider"> + <sprite name="res small-bottles"> + <sprite name="res sugar"> <sprite name="ui arr sm right"> <sprite name="res sparkling-cider"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill sparkling-cider"> <link="sparkling-cider-skill">스파클링 사이다</link>,  <sprite name="res cash">2000,  <sprite name="res steel-barrels"> 25,  <sprite name="res pipes"> 4,  <sprite name="res bricks"> 8</indent>\n\n<link="homemade-booze">양조주</link>은 직접 판매하거나 <link="refined-booze">정제된 술</link>을 만드는 기초 재료로 사용할 수 있습니다. 이 작업은 <link="cider">사이다</link>를 가져와 <link="small-bottles">작은 병</link>에 담고 <link="sugar">설탕</link>을 섞어 스파클링 사이다를 만듭니다. 이 과정에서 탄산이 생성되지만, 폭발하지 않도록 적당량의 설탕을 사용합니다. 완성된 제품은 도시 전역의 여러 사업체에 판매하거나, 자신의 <link="corner-speakeasy">코너 스피크이지</link>나 식당에서 판매할 수 있습니다. <link="production-sparkling-cider-upgraded">스파클링 사이다 발효기</link>로 업그레이드하면 <link="apples">사과</link>에서 직접 스파클링 사이다를 만들 수 있습니다.\n\n<i><indent=30>What energy, what a fury of industry! All Pittsburgh at work before the dawn of day! This surpasses Chicago. What would luxurious St. Louis say of such reckless devotion to business as this?</i>\n</indent><indent=40>—James Parton</indent>

info.production-sparkling-cider-upgraded.name	스파클링 사이다 발효기
info.production-sparkling-cider-upgraded.desc	<indent=10>사과, 설탕, 작은 병을 사용하여 스파클링 사이다를 만듭니다.\n<b><sprite name="res apples"> + <sprite name="res small-bottles"> + <sprite name="res sugar"> <sprite name="ui arr sm right"> <sprite name="res sparkling-cider"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill sparkling-cider"> <link="sparkling-cider-skill">스파클링 사이다</link> 및 <sprite name="skill apple-press"> <link="apple-press">사과 프레스</link>, <sprite name="res cat materials"> 건축 자재</indent>\n\n이 업그레이드는 <link="production-sparkling-cider">스파클링 사이다 작업</link>에 사이다 프레스를 설치하여, <link="apples">사과</link>에서 직접 <link="sparkling-cider">스파클링 사이다</link>를 만들 수 있습니다.\n\n<i><indent=30>What energy, what a fury of industry! All Pittsburgh at work before the dawn of day! This surpasses Chicago. What would luxurious St. Louis say of such reckless devotion to business as this?</i>\n</indent><indent=40>—James Parton</indent>

info.homebooze-moonshine-still.name	밀주 증류기
info.homebooze-moonshine-still.desc	<b>일부 도시에서만 이용 가능한 지역 작업.</b>\n\n<indent=10>옥수수, 강철 배럴, 도자기 크록을 사용하여 밀주를 만듭니다.\n<b><sprite name="res corn"> + <sprite name="res steel-barrels"> + <sprite name="res jugs"> <sprite name="ui arr sm right"> <sprite name="res moonshine"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill moonshine"> <link="moonshine-distillation">밀주 증류</link>,  <sprite name="res cash">1000,  <sprite name="res steel-barrels"> 10,  <sprite name="res lumber"> 4</indent>\n\n설치 후 <link="corn">옥수수</link>, <link="steel-barrels">강철 배럴</link>, <link="crocks">도자기 크록</link>을 공급하면 이 작업은 <link="moonshine">밀주</link>를 생산하여 도시 전역의 사업체나 <link="backroom-bootlegger">비밀 창고 부터그러</link>에서 판매할 수 있습니다. 밀주는 또한 <link="bathtub-gin">목욕탕 진</link>을 만드는 데 사용할 수 있습니다.\n\n<i><indent=30>Well, between Scotch and nothin', I suppose I’d take Scotch. It’s the nearest thing to good moonshine I can find.</i>\n</indent><indent=40>—William Faulkner</indent>

info.homebooze-fruit-wine.name	과일 와인 작업
info.homebooze-fruit-wine.desc	<b>일부 도시에서만 이용 가능한 지역 작업.</b>\n\n<indent=10>과일, 설탕, 작은 병을 사용하여 과일 와인을 만듭니다.\n<b><sprite name="res fruit"> + <sprite name="res sugar"> + <sprite name="res small-bottles"> <sprite name="ui arr sm right"> <sprite name="res fruit-wine"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill fruit-wine"> <link="fruitful-operations">과일 운영</link>,  <sprite name="res cash">950,  <sprite name="res half-barrel"> 8</indent>\n\n<|vq_13801|>

info.makeshift-whiskey.name	임시 위스키 증류기
info.makeshift-whiskey.desc	<indent=10>밀주, 향신료, 식용 염료, 병을 사용하여 병에 담긴 위스키를 만듭니다.\n<b><sprite name="res moonshine"> + <sprite name="res spices"> + <sprite name="res food-dye"> + <sprite name="res bottles"> <sprite name="ui arr sm right"> <sprite name="res whisky"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill whiskey-bottled"> <link="bootleg-whiskey">밀주 위스키</link>,  <sprite name="res cash">5000,  <sprite name="res steel-barrels"> 10,  <sprite name="res pipes"> 15,  <sprite name="res bricks"> 15,  <sprite name="res lumber"> 15</indent>\n\n설치 후 이 작업은 <link="moonshine">밀주</link>를 <link="whiskey-bottled">병에 담긴 위스키</link>로 바꾸며, <link="spices">향신료</link>와 <link="food-dyes">식용 염료</link>를 섞어 만든 후, <link="bottles">병</link>에 담습니다. 그 후 이를 도시의 고객에게 전달하거나 자신이 운영하는 <link="supper-club">연회장</link>에서 판매할 수 있습니다.\n\n<indent=30><i>Love makes the world go round? Not at all. Whiskey makes it go round twice as fast.</i></indent>\n<indent=40>—Compton MacKenzie</indent>

info.makeshift-brandy.name	임시 브랜디 증류기
info.makeshift-brandy.desc	<indent=10>브릭 와인 또는 과일 와인, 과일, 병을 사용하여 병에 담긴 브랜디를 만듭니다.\n<b><sprite name="res brick-wine">/<sprite name="res fruit-wine"> + <sprite name="res fruit"> + <sprite name="res bottles"> <sprite name="ui arr sm right"> <sprite name="res brandy"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill brandy-bottled"> <link="bootleg-brandy">밀주 브랜디</link>,  <sprite name="res cash">4500,  <sprite name="res barrels"> 20,  <sprite name="res pipes"> 15,  <sprite name="res bricks"> 15,  <sprite name="res lumber"> 15</indent>\n\n설치 후 이 작업은 <link="brick-wine">브릭 와인</link>이나 <link="fruit-wine">과일 와인</link>에 <link="fruit-other">과일</link>을 섞어 만든 후, 그 혼합물을 <link="bottles">병</link>에 담습니다. 그런 다음 이를 도시의 고객에게 전달하거나 자신이 운영하는 <link="supper-club">연회장</link>에서 판매할 수 있습니다.\n\n<indent=30><i>A man may acquire a taste for wine or brandy, and so lose his love for water, but we should not pity him.</i></indent>\n<indent=40>—Henry David Thoreau</indent>

info.makeshift-vodka.name	임시 보드카 증류기
info.makeshift-vodka.desc	<indent=10>홈브루, 옥수수 시럽, 병을 사용하여 병에 담긴 보드카를 만듭니다.\n<b><sprite name="res home-brew"> + <sprite name="res corn-syrup"> + <sprite name="res bottles"> <sprite name="ui arr sm right"> <sprite name="res vodka"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill vodka-bottled"> <link="bootleg-brandy">밀주 보드카</link>,  <sprite name="res cash">3500,  <sprite name="res half-barrel"> 24,  <sprite name="res sheet metal"> 12,  <sprite name="res bricks"> 12,  <sprite name="res lumber"> 12</indent>\n\n설치 후 이 작업은 <link="home-brew">홈브루</link>와 <link="corn-syrup">옥수수 시럽</link>을 발효시켜 <link="vodka-bottled">병에 담긴 보드카</link>를 만듭니다. 그 후 이를 도시의 고객에게 전달하거나 자신이 운영하는 <link="supper-club">연회장</link>에서 판매할 수 있습니다.\n\n<indent=30><i>Money, like vodka, turns a person into an eccentric.</i></indent>\n<indent=40>—Anton Chekhov</indent>

info.makeshift-rum.name	임시 럼 증류기
info.makeshift-rum.desc	<indent=10>중성 알코올, 설탕, 병을 사용하여 병에 담긴 럼을 만듭니다.\n<b><sprite name="res alcohol-btl"> + <sprite name="res sugar"> + <sprite name="res bottles"> <sprite name="ui arr sm right"> <sprite name="res rum"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill rum-bottled"> <link="bootleg-rum">밀주 럼</link>,  <sprite name="res cash">4000,  <sprite name="res steel-barrels"> 16,  <sprite name="res sheet metal"> 12,  <sprite name="res bricks"> 12,  <sprite name="res lumber"> 12</indent>\n\n설치 후 이 작업은 <link="sugar">설탕</link>을 녹여 <link="neutral-alcohol">중성 알코올</link>과 섞어 만든 <link="rum-bottled">병에 담긴 럼</link>을 생산합니다. 그 후 이를 도시의 고객에게 전달하거나 자신이 운영하는 <link="supper-club">연회장</link>에서 판매할 수 있습니다.\n\n<indent=30><i>There’s naught, no doubt, so much the spirit calms as rum and true religion.</i></indent>\n<indent=40>—Lord Byron</indent>

info.still-whiskey.name	소형 위스키 증류기
info.still-whiskey.desc	<indent=10>호밀이나 밀과 배럴을 사용하여 위스키 배럴을 만듭니다.\n<b><sprite name="res rye"> / <sprite name="res wheat"> + <sprite name="res barrels"> <sprite name="ui arr sm right"> <sprite name="res whiskey-barrel"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill whiskey-still"> <link="whiskey-still">소형 위스키 증류기</link>,  <sprite name="res cash">7500,  <sprite name="res sheet metal"> 30,  <sprite name="res pipes"> 24,  <sprite name="res lumber"> 24,  <sprite name="res steel-barrels"> 16</indent>\n\n이 작업은 밀이나 호밀을 위스키 배럴로 변환하여 대량 생산이 가능하게 합니다. 이를 직접 판매하거나 병에 담아 <link="whiskey-bottled">병에 담긴 위스키</link>로 만들 수 있습니다.\n\n<indent=30><i>Love makes the world go round? Not at all. Whiskey makes it go round twice as fast.</i></indent>\n<indent=40>—Compton MacKenzie</indent>

info.still-brandy.name	소형 브랜디 증류기
info.still-brandy.desc	<indent=10>과일이나 사과, 배럴을 사용하여 브랜디 배럴을 만듭니다.\n<b><sprite name="res fruit"> / <sprite name="res apples"> + <sprite name="res barrels"> <sprite name="ui arr sm right"> <sprite name="res brandy-barrel"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill brandy-still"> <link="brandy-still">소형 브랜디 증류기</link>,  <sprite name="res cash">7000,  <sprite name="res sheet metal"> 30,  <sprite name="res pipes"> 24,  <sprite name="res lumber"> 24,  <sprite name="res steel-barrels"> 16</indent>\n\n이 작업은 과일이나 사과를 브랜디 배럴로 변환하여 대량 생산이 가능하게 합니다. 이를 직접 판매하거나 병에 담아 <link="brandy-bottled">병에 담긴 브랜디</link>로 만들 수 있습니다.\n\n<indent=30><i>A man may acquire a taste for wine or brandy, and so lose his love for water, but we should not pity him.</i></indent>\n<indent=40>—Henry David Thoreau</indent>

info.still-vodka.name	소형 보드카 증류기
info.still-vodka.desc	<indent=10>보리나 호밀과 배럴을 사용하여 보드카 배럴을 만듭니다.\n<b><sprite name="res barley"> / <sprite name="res rye"> + <sprite name="res barrels"> <sprite name="ui arr sm right"> <sprite name="res vodka-barrel"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill vodka-still"> <link="vodka-still">소형 보드카 증류기</link>,  <sprite name="res cash">5000,  <sprite name="res half-barrel"> 24,  <sprite name="res pipes"> 24,  <sprite name="res lumber"> 12,  <sprite name="res steel-barrels"> 16</indent>\n\n이 작업은 보리나 호밀을 보드카 배럴로 변환하여 대량 생산이 가능하게 합니다. 이를 직접 판매하거나 병에 담아 <link="vodka-bottled">병에 담긴 보드카</link>로 만들 수 있습니다.\n\n<indent=30><i>Money, like vodka, turns a person into an eccentric.</i></indent>\n<indent=40>—Anton Chekhov</indent>

info.still-rum.name	소형 럼 증류기
info.still-rum.desc	<indent=10>설탕이나 옥수수 시럽과 배럴을 사용하여 럼 배럴을 만듭니다.\n<b><sprite name="res sugar"> / <sprite name="res corn-syrup"> + <sprite name="res barrels"> <sprite name="ui arr sm right"> <sprite name="res barrel-rum"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill rum-still"> <link="rum-still">소형 럼 증류기</link>,  <sprite name="res cash">5000,  <sprite name="res bricks"> 24,  <sprite name="res pipes"> 24,  <sprite name="res sheet metal"> 12,  <sprite name="res steel-barrels"> 16</indent>\n\n이 작업은 설탕이나 옥수수 시럽을 럼 배럴로 변환하여 대량 생산이 가능하게 합니다. 이를 직접 판매하거나 병에 담아 <link="rum-bottled">병에 담긴 럼</link>으로 만들 수 있습니다.\n\n<indent=30><i>There’s naught, no doubt, so much the spirit calms as rum and true religion.</i></indent>\n<indent=40>—Lord Byron</indent>

info.bottling-operation.name	병입 작업
info.bottling-operation.desc	<indent=10>다양한 종류의 술 배럴을 병으로 변환합니다.\n<b><sprite name="res whiskey-barrel"> / <sprite name="res brandy-barrel"> / <sprite name="res vodka-barrel"> / <sprite name="res barrel-rum"> + <sprite name="res bottles"> + <sprite name="res labels"> <sprite name="ui arr sm right"> / <sprite name="res whisky"> / <sprite name="res brandy"> / <sprite name="res vodka"> / <sprite name="res rum"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill booze-bottling"> <link="booze-bottling">술 병입</link>,  <sprite name="res cash">1500,  <sprite name="res lumber"> 10,  <sprite name="res pipes"> 6,</indent>\n\n이 작업을 통해 술 배럴을 병으로 변환하여 판매하거나 본인의 작업장에서 이동시킬 수 있습니다. <link="whiskey-barrel">위스키 배럴</link>, <link="brandy-barrel">브랜디 배럴</link>, <link="vodka-barrel">보드카 배럴</link>, <link="rum-barrel">럼 배럴</link>을 병에 담고 <link="labels">허위 라벨</link>을 붙여 판매합니다.

info.production-fake-beer.name	양조 맥조 작업
info.production-fake-beer.desc	<indent=10>집에서 만든 맥주, 홉, 작은 병을 사용하여 가짜 맥주를 만듭니다.\n<b><sprite name="res home-brew"> + <sprite name="res small-bottles"> + <sprite name="res hops"> <sprite name="ui arr sm right"> <sprite name="res fake-beer"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill fake-beer"> <link="fake-beer-skill">뒤의 양조</link>,  <sprite name="res cash">1600,  <sprite name="res steel-barrels"> 25,  <sprite name="res pipes"> 5,  <sprite name="res bricks"> 4</indent>\n\n이 작업은 <link="home-brew">집에서 만든 맥주</link>를 작은 병에 담고, 그 전에 <link="hops">홉</link>을 추가하여 진짜 맥주의 향과 맛을 부여합니다. 이 가짜 맥주는 시내 여러 업체에 판매하거나, 본인의 <link="corner-speakeasy">코너 스피크이지</link>나 스터 클럽에서 판매할 수 있습니다. <link="production-fake-beer-upgraded">업그레이드된 양조작업</link>을 통해 보리로부터 직접 맥주를 만들 수 있습니다.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>

info.production-fake-beer-upgraded.name	업그레이드된 맥주 양조 작업
info.production-fake-beer-upgraded.desc	<indent=10>보리, 홉, 작은 병을 사용하여 가짜 맥주를 만듭니다.\n<b><sprite name="res barley"> + <sprite name="res small-bottles"> + <sprite name="res hops"> <sprite name="ui arr sm right"> <sprite name="res fake-beer"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill fake-beer"> <link="fake-beer-skill">뒤의 양조</link> 및 <sprite name="skill malt-making"> <link="malt-making">몰트 만들기</link>, <sprite name="res cat materials"> 건축 자재</indent>\n\n이 업그레이드는 <link="production-fake-beer">뒤의 맥주 작업</link>에 작은 양조 탱크를 추가하여, 집에서 만든 맥주 대신 보리로부터 직접 가짜 맥주를 생산할 수 있게 합니다.\n\n<i><indent=30>Die erste Pflicht der Musensöhne ist, daß man sich ans Bier gewöhne.</i>\n</indent><indent=40>—Wilhelm Busch</indent>

info.production-bathtub-gin.name	양조 진 작업
info.production-bathtub-gin.desc	<indent=10>문샤인, 향신료, 작은 병을 사용하여 양조 진을 만듭니다.\n<b><sprite name="res moonshine"> + <sprite name="res small-bottles"> + <sprite name="res spices"> <sprite name="ui arr sm right"> <sprite name="res bathtub-gin"></b>\n\n<b>필요한 것:</b>\n<sprite name="skill bathtub-gin"> <link="bathtub-gin-skill">양조 진 작업</link>,  <sprite name="res cash">2500,  <sprite name="res half-barrel"> 25,  <sprite name="res pipes"> 4,  <sprite name="res bricks"> 4</indent>\n\n이 작업은 <link="moonshine">문샤인</link>을 작은 병에 담고, 그 전에 <link="spices">향신료</link>를 넣어 여러 종류의 칵테일에 적합한 맛을 만듭니다. 이 진은 시내 여러 사업체에 판매하거나, 본인의 <link="corner-speakeasy">코너 스피크이지</link>나 스터 클럽에서 판매할 수 있습니다. <link="production-bathtub-gin-upgraded">양조 진 증류소</link>로 업그레이드하면 옥수수 시럽에서 직접 양조 진을 만들 수 있습니다.\n\n<i><indent=30>When I was down in Georgia, I was doing mighty well. Since I been here in Chicago, I been catching a plenty hell.</i>\n</indent><indent=40>—Kokomo Arnold from "Red Beans and Rice"</indent>

info.production-bathtub-gin-upgraded.name	양조 진 증류소
