KEY	Korean	English
__id	ko	en
__name	한국어	English

button.play	플레이

convo.ticket-resevent-intro-confirm-button	좋은 말 좀 해줘.\n<indent=15><i>(1 <sprite name="ui tickets"> 호의를 사용한다.)</i></indent>
convo.ticket-resevent-intro-confirm-epilogue	도울 수 있어서 기뻐. 또 뭔가?
convo.ticket-resevent-intro-cancel-button	생각해볼게.
convo.ticket-resevent-missing-npc	생각나는 게 없지만, 널 위해 주시할게.
convo.ticket-resevent-missing-button	그렇게 해.

convo.ticket-intro-flavor.generic	생각나는 사람이 있어.
convo.ticket-intro-flavor.buys	구매
convo.ticket-intro-flavor.sells	판매
convo.ticket-intro-flavor.justification	({name}이(가) {resource}를 {buysorsells})

convo.ticket-intro-flavor.relationship.m	{$firstname}을(를) 만나봐.
convo.ticket-intro-flavor.relationship.f	{$firstname}을(를) 만나봐.
convo.ticket-intro-flavor.relationship.acquaintance.m	내 친구 {$firstname}을(를) 만나봐.
convo.ticket-intro-flavor.relationship.acquaintance.f	내 친구 {$firstname}을(를) 만나봐.
convo.ticket-intro-flavor.relationship.spouse.m	내 남편 {$firstname}을(를) 만난 적 있어?
convo.ticket-intro-flavor.relationship.spouse.f	내 아내 {$firstname}을(를) 만난 적 있어?
convo.ticket-intro-flavor.relationship.sibling.m	내 동생 {$firstname}을(를) 만나야 해.
convo.ticket-intro-flavor.relationship.sibling.f	내 여동생 {$firstname}을(를) 만나야 해.
convo.ticket-intro-flavor.relationship.sibchild.m	내 조카 {$firstname}을(를) 만나봐.
convo.ticket-intro-flavor.relationship.sibchild.f	내 조카딸 {$firstname}을(를) 만나봐.
convo.ticket-intro-flavor.relationship.cousin.m	내 사촌 {$firstname}을(를) 만나봐.
convo.ticket-intro-flavor.relationship.cousin.f	내 사촌 {$firstname}을(를) 만나봐.

convo.ticket-boost-flavor.relationship.m	{$firstname} {$lastname}을(를) 아나?
convo.ticket-boost-flavor.relationship.f	{$firstname} {$lastname}을(를) 아나?
convo.ticket-boost-flavor.relationship.acquaintance.m	{$firstname} {$lastname}을(를) 만난 적 있을 거야.
convo.ticket-boost-flavor.relationship.acquaintance.f	{$firstname} {$lastname}을(를) 만난 적 있을 거야.
convo.ticket-boost-flavor.relationship.spouse.m	내 남편 {$firstname}을(를) 이미 만났을 거야?
convo.ticket-boost-flavor.relationship.spouse.f	내 아내 {$firstname}을(를) 이미 만났을 거야?
convo.ticket-boost-flavor.relationship.sibling.m	내 동생 {$firstname}을(를) 이미 만났을 거야.
convo.ticket-boost-flavor.relationship.sibling.f	내 여동생 {$firstname}을(를) 이미 만났을 거야.
convo.ticket-boost-flavor.relationship.sibchild.m	내 조카 {$firstname}을(를) 이미 만났을 거야.
convo.ticket-boost-flavor.relationship.sibchild.f	내 조카딸 {$firstname}을(를) 이미 만났을 거야.
convo.ticket-boost-flavor.relationship.cousin.m	내 사촌 {$firstname}을(를) 이미 만났을 거야.
convo.ticket-boost-flavor.relationship.cousin.f	내 사촌 {$firstname}을(를) 이미 만났을 거야.

convo.ticket-intro-flavor.transaction.intro-flavor	{resource}라고?.

convo.ticket-intro-flavor.module.brick-wine.starter	네 가족한테서 벽돌 와인을 좀 구한다고 보이네. 다른 곳에 팔 곳을 찾으면 알려줘.
convo.ticket-intro-flavor.module.cider.starter	네 가족이 사이다를 좀 만든다고 들었어. 사이다를 좀 처분해야 한다면, 아는 사람이 있을지도.
convo.ticket-intro-flavor.module.home-brew.starter	네 가족이 수제 맥주를 좀 들여온다고 들었어. 수제 맥주를 내보내는 데 도움이 필요하면, 아는 사람이 있을 것 같아.
convo.ticket-intro-flavor.module.moonshine.starter	그래, 여기 모두가 네 친척들이 밀주를 구할 연결고리가 있다는 걸 알아. 너나 네 친척들이 밀주를 처분할 연결고리를 찾는다면, 아마 도울 수 있을 거야.
convo.ticket-intro-flavor.module.conversion-apple-juice	사과 주스를 만든다고? 음, 아마 도울 수 있을 거야.
convo.ticket-intro-flavor.module.conversion-grape-juice	포도를 으깬다고? 음, 아마 도와줄 수 있을 것 같아.
convo.ticket-intro-flavor.module.production-homebooze-moonshine	내가 모은 바로는, 밀주를 만들고 있는 것 같네. 흥미롭군.
convo.ticket-intro-flavor.module.production-homebooze-cider	사이다를 만들어? 왜 말 안 했어, 친구. 딱 맞는 사람을 알아!
convo.ticket-intro-flavor.module.production-homebooze-home-brew	수제 맥주 사업은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.production-homebooze-brick-wine	수제 와인 만드는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-apple-jack	애플잭 만드는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-cannabis-grow-room	재배 사업은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.production-homebooze-cannabis-process-room	건조 과정은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.production-homebooze-large-process-room	건조 과정 사업은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.production-homebooze-cannabis-packing	그 패키지 만드는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-opium-packing	그 패키지 만드는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-cannabisdealerlow	네 화물을 유통할 연결고리 만드는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-cannabisdealermid	네 화물을 유통할 연결고리 만드는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-cannabisdealerhigh	네 화물을 유통할 연결고리 만드는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-moneylaunderingteamster	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-moneylaunderingweapons	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-moneylaunderingliquor	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-moneylaunderinglow	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-moneylaunderingmid	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-moneylaunderinghigh	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-moneylaunderingaccount	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-jewelrysource	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-jewelryoutsource	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-restaurant	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-oilstation	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-docksmuggler	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-chopshop	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-talentsource	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-recordstudio	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-filmstudio	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-counterfeithideout	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-gunprodlow	무기 구하는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-gunprodmid	무기 구하는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-gunprodhigh	무기 구하는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-gyms	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-fightclub	돈을 올바른 곳으로 보내는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-cardealer	무기 구하는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-cardealercraft	무기 구하는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-cardealeroffice	무기 구하는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-gunprodhigh	무기 구하는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-coca-packaging	그 패키지 만드는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-coca-production	그 패키지 만드는 데 도움이 필요해?
convo.ticket-intro-flavor.module.production-homebooze-poppy-room	재배 과정 사업은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.production-homebooze-opium-process	과정 사업은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.production-homebooze-gun-prod	과정 사업은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.production-homebooze-mixedgin	과정 사업은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.production-homebooze-mixedwine	과정 사업은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.production-homebooze-joint-packing	과정 사업은 어때? 아마 도움이 필요할지도?
convo.ticket-intro-flavor.module.homemade-brandy.starter	수제 브랜디 생산을 도울 뭔가 찾고 있어? 아는 사람들이 있을지도.
convo.ticket-intro-flavor.module.corner-speakeasy	네 작은 비밀 술집이 여기서 꽤 유명해지고 있어. 더 많은 수제 술에 대한 연결고리가 있을 것 같아.
convo.ticket-intro-flavor.module.small-speakeasy	네 비밀 술집에 대해 좋은 얘기를 듣고 있어. 사실, 도와주고 싶어할 친구와 얘기하고 있었어.
convo.ticket-intro-flavor.module.production-sparkling-cider	스파클링 사이다는 어때? 뭔가 더 필요하면 아는 사람이 있을지도.
convo.ticket-intro-flavor.module.production-bathtub-gin	욕조 진 생산을 늘릴 뭔가 필요하면, 분명 도울 수 있어.
convo.ticket-intro-flavor.module.production-amaretto	아마레토 증류기에 뭔가 필요하면 알려줘. 도울 수 있는 사람을 알지도.
convo.ticket-intro-flavor.module.production-absinthe	압생트 생산은 어때? 도울 수 있으면 알려줘.
convo.ticket-intro-flavor.module.conversion-booze-barrels-small-whiskey	위스키 통? 내가 지지하는 일이야. 사실, 도와줄 수 있을지도.
convo.ticket-intro-flavor.module.conversion-booze-barrels-small-brandy	브랜디? 정말 특별하네. 재료가 필요해?
convo.ticket-intro-flavor.module.conversion-booze-barrels-small-vodka	거기서 아직도 보드카 만들어? 기꺼이 도울게.
convo.ticket-intro-flavor.module.conversion-booze-barrels-small-rum	얼마 전에 좋은 럼 칵테일에 대해 얘기했어. 럼 만드는 데 도움이 필요하면 도울 수 있는 사람을 알아.
convo.ticket-intro-flavor.module.production-bottled-booze-small	병입 사업을 운영하고 있다고 들었어. 그것에 대해 얘기할 관심 있는 사람들을 알지도.
convo.ticket-intro-flavor.module.conversion-labels	동네에서 일종의 임시 인쇄 사업을 설치했다고 들었어. 관심 있다면 거기 도울 수 있는 재료를 더 구할 곳을 알지도.
convo.ticket-intro-flavor.module.production-fruit-brandy	자두 기반 술을 만든다고 들었어. 만나야 할 사람 한두 명을 알지도.
convo.ticket-intro-flavor.module.production-corn-whiskey	옥수수를 엄청 많이 쓰고 있네, 안 그래? 내 생각대로 하고 있다면, 만나야 할 사람이 있어.

convo.ticket-intro-flavor.module.tobacco-small-illegal	요즘 담배 사업은 어때? 그 분야에서 아는 사람도 있어.
convo.ticket-intro-flavor.conversion-malt-syrup	몰트가 필요해? 제빵용 몰트를 만드는 사람을 알지도.
convo.ticket-intro-flavor.conversion-ice-house	진정할 필요가 있어? 아니면 뭔가를 얼음에 보관해야 해? 얼음을 구하는 걸 도울 수 있는 사람을 알지도.
convo.ticket-intro-flavor.module.production-champagne	어떻게 샴페인을 구했어? 만들고 있다면, 만나야 할 사람을 알지도.
convo.ticket-intro-flavor.module.production-dark-rum	네 다크 럼 사업에 대해, 널 만나고 싶어할 사람을 알 것 같아.
convo.ticket-intro-flavor.module.production-beer-kegs	맥주통 사업에 도움이 필요해? 소개해줄 사람을 알아.
convo.ticket-intro-flavor.module.production-aged-whiskey	네가 만드는 숙성 위스키에 대해 좋은 얘기를 들었어. 사실, 그것에 대해 논의하기 위해 만나야 할 사람을 알아.
convo.ticket-intro-flavor.module.production-cordials	네 리큐르가 정말 여기 많은 칵테일에 활력을 불어넣고 있어. 내 친구를 만나서 어떻게 도울 수 있는지 논의해봐.
convo.ticket-intro-flavor.module.production-gin	진 제조 사업에 도움이 필요해? 그렇다면 만나야 할 사람이 있어.
convo.ticket-intro-flavor.module.supper-club-player	네 구석 비밀 술집에서 팔 것을 찾고 있어?
convo.ticket-intro-flavor.module.tonic-water	그 토닉워터는 꽤 유용해. 관심 있다면 그것을 도울 수 있는 만나야 할 사람이 있어.

convo.moduleintro.inventory	요즘 처분하기 어려울 수 있는 재고가 있다고 들었어.
convo.moduleintro.inventory	요즘 처분하기 어려울 수 있는 재고가 있다고 들었어.

convo.moduleintro.unknown-consumes.m	내가 처리할 테니, 그냥 거기 나타나면 그가 기꺼이 네, 음, 재고를 살 거라고 확신해.
convo.moduleintro.unknown-consumes.f	내가 처리할 테니, 그냥 거기 나타나면 그녀가 기꺼이 네, 음, 재고를 살 거라고 확신해.
convo.moduleintro.unknown-produces.m	정말 그를 만나야 해, 네가 관심 있을 만한 재고를 가지고 있어.
convo.moduleintro.unknown-produces.f	정말 그녀를 만나야 해, 네가 관심 있을 만한 재고를 가지고 있어.
convo.moduleintro.known-consumes.m	그에게 보증하게 해줘. 만난 적 있는 걸 알지만 그는 날 신뢰해. 내 좋은 말이면 그가 네게서 살 수 있는 모든 걸 기꺼이 살 거야.
convo.moduleintro.known-consumes.f	그녀에게 보증하게 해줘. 만난 적 있는 걸 알지만 그녀는 날 신뢰해. 내 좋은 말이면 그녀가 네게서 살 수 있는 모든 걸 기꺼이 살 거야.
convo.moduleintro.known-produces.m	그가 널 신뢰할 수 있다는 걸 알면 정말 좋은 물건을 팔 것 같아.
convo.moduleintro.known-produces.f	그녀가 널 신뢰할 수 있다는 걸 알면 정말 좋은 물건을 팔 것 같아.

convo.moduleintro.no-npcs	NPC는 술을 만들지 않아 - 이걸 보면 안 돼.
convo.moduleintro.no-illegal	오 이런. 이걸 보고 있다면, 대화 시스템이 Matt가 생각한 대로 작동하지 않은 거야.

convo.moduleintro.cider.unknown-consumes.m	너희 둘을 소개하게 되어 기뻐. 그가 파는 하드 사이다의 양을 고려하면, 너희 둘이 거래를 성사시킬 수 있을 거라고 확신해.
convo.moduleintro.cider.unknown-consumes.f	너희 둘을 소개하게 되어 기뻐. 그녀가 파는 하드 사이다의 양을 고려하면, 너희 둘이 거래를 성사시킬 수 있을 거라고 확신해.
convo.moduleintro.cider.unknown-produces.m	그가 네 하드 사이다 사업에 유용할 것들을 가지고 있다는 걸 알아. 기회가 되는 대로 소개해줄게.
convo.moduleintro.cider.unknown-produces.f	그녀가 네 하드 사이다 사업에 유용할 것들을 가지고 있다는 걸 알아. 기회가 되는 대로 소개해줄게.
convo.moduleintro.cider.known-consumes.m	나 - 어, 음, 내 친구 - 는 그가 가지고 있을 때 그에게서 하드 사이다를 사. 그에게 널 신뢰할 수 있다고 약속할게. 널 위해 할 수 있는 최소한이야.
convo.moduleintro.cider.known-consumes.f	나 - 어, 음, 내 친구 - 는 그녀가 가지고 있을 때 그녀에게서 하드 사이다를 사. 그녀에게 널 신뢰할 수 있다고 약속할게. 널 위해 할 수 있는 최소한이야.

convo.moduleintro.brick-wine.unknown-consumes.m	그의 고객들이 소비하는 벽돌 와인의 양을 고려하면, 너 같은 확실한 공급업체를 갖게 되어 기뻐할 거라는 걸 알아. 바로 소개해줄게.
convo.moduleintro.brick-wine.unknown-consumes.f	그녀의 고객들이 소비하는 벽돌 와인의 양을 고려하면, 너 같은 확실한 공급업체를 갖게 되어 기뻐할 거라는 걸 알아. 바로 소개해줄게.
convo.moduleintro.brick-wine.unknown-produces.m	그가 벽돌 와인을 만드는 데 필요한 것들을 도와줄 수 있으니, 좀 사고 싶다면 가봐. 네가 온다고 알려둘게.
convo.moduleintro.brick-wine.unknown-produces.f	그녀가 벽돌 와인을 만드는 데 필요한 것들을 도와줄 수 있으니, 좀 사고 싶다면 가봐. 네가 온다고 알려둘게.
convo.moduleintro.brick-wine.known-consumes.m	그가 네가 하는 일을 모르거나 널 신뢰하지 않는다니 믿을 수 없어. 내가 처리하고 네 벽돌 와인이 좋은 품질이라고 알려줄게.
convo.moduleintro.brick-wine.known-consumes.f	그녀가 네가 하는 일을 모르거나 널 신뢰하지 않는다니 믿을 수 없어. 내가 처리하고 네 벽돌 와인이 좋은 품질이라고 알려줄게.

convo.moduleintro.home-brew.unknown-consumes.m	거기 사람들은 맥주를 정말 좋아하고 그가 많이 팔아. 네가 판매할 수제 맥주가 있다고 알려줄 수 있고 추가 공급을 환영할 거라고 확신해.
convo.moduleintro.home-brew.unknown-consumes.f	거기 사람들은 맥주를 정말 좋아하고 그녀가 많이 팔아. 네가 판매할 수제 맥주가 있다고 알려줄 수 있고 추가 공급을 환영할 거라고 확신해.
convo.moduleintro.home-brew.unknown-produces.m	이 도시의 갈증이 늘어나는 걸 고려하면, 아마 수제 맥주를 위한 더 많은 재료가 필요할 거고 그가 원한다면 여분이 많아.
convo.moduleintro.home-brew.unknown-produces.f	이 도시의 갈증이 늘어나는 걸 고려하면, 아마 수제 맥주를 위한 더 많은 재료가 필요할 거고 그녀가 원한다면 여분이 많아.
convo.moduleintro.home-brew.known-consumes.m	그가 그의 고객들이 그의 장소를 방문하는 <i>다른</i> 이유에 대해 말한 적 없다고? 그와 그의 고객들은 더 많은 수제 맥주에 목말라해. 내가 이걸 정리하고 그가 널 신뢰할 수 있다고 알려줄게.
convo.moduleintro.home-brew.known-consumes.f	그녀가 그녀의 고객들이 그녀의 장소를 방문하는 <i>다른</i> 이유에 대해 말한 적 없다고? 그녀와 그녀의 고객들은 더 많은 수제 맥주에 목말라해. 내가 이걸 정리하고 그녀가 널 신뢰할 수 있다고 알려줄게.

convo.moduleintro.moonshine.unknown-consumes.m	그가 더 많은 밀주를 찾고 있다는 걸 알아. 너희 둘을 소개하고 이 합의를 시작하게 되어 기뻐.
convo.moduleintro.moonshine.unknown-consumes.f	그녀가 더 많은 밀주를 찾고 있다는 걸 알아. 너희 둘을 소개하고 이 합의를 시작하게 되어 기뻐.
convo.moduleintro.moonshine.unknown-produces.m	중성 알코올이나 도기 항아리가 더 필요해? 그가 널 기다린다고 알려줄게.
convo.moduleintro.moonshine.unknown-produces.f	중성 알코올이나 도기 항아리가 더 필요해? 그녀가 널 기다린다고 알려줄게.
convo.moduleintro.moonshine.known-consumes.m	미네랄 워터가 그의 가게를 그렇게 인기 있게 만들었다고 생각해? 그는 네 밀주가 최고급이라는 걸 알아야 해. 기꺼이 보증해줄게.
convo.moduleintro.moonshine.known-consumes.f	미네랄 워터가 그녀의 가게를 그렇게 인기 있게 만들었다고 생각해? 그녀는 네 밀주가 최고급이라는 걸 알아야 해. 기꺼이 보증해줄게.
convo.moduleintro.moonshine.known-produces.m	그는 음, 소독용으로 쓰는 중성 알코올 공급이 있어? 하지만 아마 일부는 네 필요로 돌릴 수 있을 거야.
convo.moduleintro.moonshine.known-produces.f	그녀는 음, 소독용으로 쓰는 중성 알코올 공급이 있어? 하지만 아마 일부는 네 필요로 돌릴 수 있을 거야.

convo.moduleintro.applejack.unknown-consumes.f	그래. 그녀는 애플잭을 묻는 많은 고객들이 있어. 그녀를 알아야 하고 내가 소개해야 해. 그렇게 그녀가 널 신뢰할 수 있다는 걸 알 거야.
convo.moduleintro.applejack.unknown-consumes.m	그래. 그는 애플잭을 묻는 많은 고객들이 있어. 그를 알아야 하고 내가 소개해야 해. 그렇게 그가 널 신뢰할 수 있다는 걸 알 거야.
convo.moduleintro.applejack.unknown-produces.m	애플잭 사업을 계속하거나 공급을 늘리는 데 도움이 필요한 게 있어? 그가 도울 수 있을 것 같아.
convo.moduleintro.applejack.unknown-produces.f	애플잭 사업을 계속하거나 공급을 늘리는 데 도움이 필요한 게 있어? 그녀가 도울 수 있을 것 같아.
convo.moduleintro.applejack.known-consumes.m	네 애플잭 사업이 그와 아직 나오지 않았다니 이상해. 그는 항상 구할 수 있는지 묻는 고객들이 있어. 너희 둘이 얘기해야 해.
convo.moduleintro.applejack.known-consumes.f	네 애플잭 사업이 그녀와 아직 나오지 않았다니 이상해. 그녀는 항상 구할 수 있는지 묻는 고객들이 있어. 너희 둘이 얘기해야 해.
convo.moduleintro.fruit-wine.unknown-consumes.f	그녀가 네가 만드는 과일 와인 중 일부를 이동시키는 데 관심 있을 거야.
convo.moduleintro.fruit-wine.unknown-consumes.m	그가 네가 만드는 과일 와인 중 일부를 이동시키는 데 관심 있을 거야.
convo.moduleintro.fruit-wine.unknown-produces.f	과일 와인을 위한 재료를 찾고 있어? 그녀가 네가 찾는 걸 가지고 있을지도.
convo.moduleintro.fruit-wine.unknown-produces.m	과일 와인을 위한 재료를 찾고 있어? 그가 네가 찾는 걸 가지고 있을지도.
convo.moduleintro.fruit-wine.known-consumes.f	그녀 가게를 드나드는 사람들의 수를 봤지? 그녀가 더 많은 과일 와인에 목말라하는 많은 고객이 있다는 걸 알아야 해. 그녀가 널 신뢰할 수 있다고 말해줄 수 있어.
convo.moduleintro.fruit-wine.known-consumes.m	그 가게를 드나드는 사람들의 수를 봤지? 그가 더 많은 과일 와인에 목말라하는 많은 고객이 있다는 걸 알아야 해. 그가 널 신뢰할 수 있다고 말해줄 수 있어.


convo.moduleintro.cornmoonshine.unknown-produces.m	네 밀주를 만드는 데 찾는 공급품 중 일부를 도와줄 수 있는 친구가 있어. 그를 소개해줄까?
convo.moduleintro.cornmoonshine.unknown-produces.f	네 밀주를 만드는 데 찾는 공급품 중 일부를 도와줄 수 있는 친구가 있어. 그녀를 소개해줄까?

convo.moduleintro.apple-juice.unknown-consumes.m	내 친구가 네가 가진 여분의 사과 주스를 기꺼이 가져갈 거야. 그가 뭘 하는지 모르지만, 아마 말해줄지도.
convo.moduleintro.apple-juice.unknown-consumes.f	내 친구가 네가 가진 여분의 사과 주스를 기꺼이 가져갈 거야. 그녀가 뭘 하는지 모르지만, 아마 말해줄지도.
convo.moduleintro.apple-juice.unknown-produces.m	그의 재료 공급이 네게 유용하다면, 기꺼이 그를 소개해줄게.
convo.moduleintro.apple-juice.unknown-produces.f	그녀의 재료 공급이 네게 유용하다면, 기꺼이 그녀를 소개해줄게.

convo.moduleintro.neutral-alcohol.unknown-consumes.m	그가 그 중성 알코올을 물건 청소에 잘 사용할 수 있을 거야. 그리고 그것만. 네가 여분이 있다고 알려줄게.
convo.moduleintro.neutral-alcohol.unknown-consumes.f	그녀가 그 중성 알코올을 물건 청소에 잘 사용할 수 있을 거야. 그리고 그것만. 네가 여분이 있다고 알려줄게.
convo.moduleintro.neutral-alcohol.unknown-produces.m	그의 재료 공급이 네게 유용하다면, 기꺼이 그를 소개해줄게.
convo.moduleintro.neutral-alcohol.unknown-produces.f	그녀의 재료 공급이 네게 유용하다면, 기꺼이 그녀를 소개해줄게.

convo.moduleintro.malt-syrup.unknown-consumes.m	그는 그들이 그에게서 사는 몰트 시럽 건강 음료를 고려하면 매우 건강한 고객들이 있어. 네가 이동시킬 초과 공급이 있다고 말해줄게.
convo.moduleintro.malt-syrup.unknown-consumes.f	그녀는 그들이 그녀에게서 사는 몰트 시럽 건강 음료를 고려하면 매우 건강한 고객들이 있어. 네가 이동시킬 초과 공급이 있다고 말해줄게.
convo.moduleintro.malt-syrup.unknown-produces.m	그의 재료 공급이 네게 유용하다면, 기꺼이 그를 소개해줄게.
convo.moduleintro.malt-syrup.unknown-produces.f	그녀의 재료 공급이 네게 유용하다면, 기꺼이 그녀를 소개해줄게.

convo.moduleintro.bathtub-gin.unknown-consumes.m	그의 고객들이 칵테일 재료를 찾고 있어. 진 같은 거. 네 욕조 진이 대체품으로 작동할 수 있을 것 같아. 네가 사용 가능한 걸 알려줄게.
convo.moduleintro.bathtub-gin.unknown-consumes.f	그녀의 고객들이 칵테일 재료를 찾고 있어. 진 같은 거. 네 욕조 진이 대체품으로 작동할 수 있을 것 같아. 네가 사용 가능한 걸 알려줄게.
convo.moduleintro.bathtub-gin.unknown-produces.m	그가 파는 공급품이 네 욕조 진 사업을 도울 수 있을 것 같아. 네가 관심 있다고 알려줄까?
convo.moduleintro.bathtub-gin.unknown-produces.f	그녀가 파는 공급품이 네 욕조 진 사업을 도울 수 있을 것 같아. 네가 관심 있다고 알려줄까?
convo.moduleintro.bathtub-gin.known-consumes.m	그가 네 욕조 진을 사고 싶어하지 않는 게 이상해. 아마 널 충분히 신뢰하지 않나봐. 상업을 장려하기 위해 그에게 좋은 말 해주게 되어 기뻐.
convo.moduleintro.bathtub-gin.known-consumes.f	그녀가 네 욕조 진을 사고 싶어하지 않는 게 이상해. 아마 널 충분히 신뢰하지 않나봐. 상업을 장려하기 위해 그녀에게 좋은 말 해주게 되어 기뻐.

convo.moduleintro.sparking-cider.unknown-consumes.m	상쾌한 스파클링 사이다에 대한 갈증이 있어. 그리고 네 것이 좋다는 걸 알아, 그래서 원한다면 네가 가진 걸 그에게 알려주게 되어 기뻐.
convo.moduleintro.sparking-cider.unknown-consumes.f	상쾌한 스파클링 사이다에 대한 갈증이 있어. 그리고 네 것이 좋다는 걸 알아, 그래서 원한다면 네가 가진 걸 그녀에게 알려주게 되어 기뻐.
convo.moduleintro.sparking-cider.unknown-produces.m	이제 스파클링 사이다를 어떻게 만드는지 알았으니, 그가 네 사업에서 사용할 수 있는 재료들이 있을 것 같아.
convo.moduleintro.sparking-cider.unknown-produces.f	이제 스파클링 사이다를 어떻게 만드는지 알았으니, 그녀가 네 사업에서 사용할 수 있는 재료들이 있을 것 같아.
convo.moduleintro.sparking-cider.known-consumes.m	오 그래. 그는 한동안 뒷문으로 술을 팔고 있어. 하지만 누구를 신뢰할지 특별히 조심해. 그가 널 신뢰할 수 있고 네 스파클링 사이다가 특별히 거품이 많다고 알려줄게.
convo.moduleintro.sparking-cider.known-consumes.f	오 그래. 그녀는 한동안 뒷문으로 술을 팔고 있어. 하지만 누구를 신뢰할지 특별히 조심해. 그녀가 널 신뢰할 수 있고 네 스파클링 사이다가 특별히 거품이 많다고 알려줄게.

convo.moduleintro.fake-beer.unknown-consumes.m	그는 이 법이 모든 걸 망치기 전에 술집을 운영했고 여전히 단골들에게 술을 팔아. 네 뒷방 맥주를 이 단골들에게 진짜인 것처럼 넘길 의향이 있을 거라고 확신해.
convo.moduleintro.fake-beer.unknown-consumes.f	그녀는 이 법이 모든 걸 망치기 전에 술집을 운영했고 여전히 단골들에게 술을 팔아. 네 뒷방 맥주를 이 단골들에게 진짜인 것처럼 넘길 의향이 있을 거라고 확신해.
convo.moduleintro.fake-beer.unknown-produces.m	다시 맥주를 보니 좋네 - 적어도 그것과 비슷한 것. 그가 파는 공급품 중 일부가 네 뒷방 맥주 사업을 도울 수 있을 것 같아.
convo.moduleintro.fake-beer.unknown-produces.f	다시 맥주를 보니 좋네 - 적어도 그것과 비슷한 것. 그녀가 파는 공급품 중 일부가 네 뒷방 맥주 사업을 도울 수 있을 것 같아.
convo.moduleintro.fake-beer.known-consumes.m	그의 고객들은 진짜 맥주를 갈망해. 너희 둘이 함께 사업을 해야 해. 네 뒷방 맥주는 그의 고객들에게 잘 먹힐 거야. 너희 둘을 소개해도 될까?
